grammatical	ungrammatical
ù ǔ K o W S l l Z G J é g K p S g ǔ T P	ù ǔ K o W S l l Z G J é T K p S g ǔ T P
ǔ F n D è g c ǎ w g L A U D j H A Z z S	ǔ F n D è g c ǎ w K L A U D j H A Z z S
á b ǔ r l g g e X B j x q A q ě V D o N	á b ǔ r l G g e X B j x q A q ě V D o N
ǎ ó c D S H V t è g d O ò k h E g A B S	ǎ ó c D S H V t è x d O ò k h E g A B S
é e ú a P k m t S b g O k g K X ǔ r O W	é e ú a P k m t S b g O k K X ǔ r O W
ě ó g c A k c L Z g U N J k X Z X R á E	ě ó r c A k c L Z g U N J k X Z X R á E
ó c P J A a C S ǔ u C ǔ g C ě R Z g ó á	ó c P J A a C S ǔ u C ǔ g C ě R Z à ó á
ò s g w n g l J o o J q ò D Y R Z H R ě	ò s w n g l J o o J q ò D Y R Z H R ě
ú Q Y k x d H g g j O N á F W h b ó F d	ú Q Y k x d H o g j O N á F W h b ó F d
A t d v R V ò ǎ k M T I g N g I X ǒ ò r	A t d v R V ò ǎ k M T I g N k I X ǒ ò r
C P e I ò t g b G Q ú é R ò é v w z g ù	C P e I ò t g b G Q ú é R ò é v w z ǎ ù
D g R Z á P f b g u v b ǔ ǒ i f ǒ i P a	D á R Z á P f b g u v b ǔ ǒ i f ǒ i P a
F à à i u i H c n ú S g C o r S g J P I	F à à i u i H c n ú S è C o r S g J P I
G g ǒ R m O l B s W F S C Y g d P u e K	G è ǒ R m O l B s W F S C Y g d P u e K
H p K ǔ g r J z w U è d k G l Q L a w g	H p K ǔ g r J z w U è d k G l Q L a w Z
J L à O g k s g N C d M b H D à L ú f l	J L à O g k s L N C d M b H D à L ú f l
K g F l f X d ě B X Q I H I g é Z E ú Z	K g F l f X d ě B X Q I H I w é Z E ú Z
L y T m P x Z ó W i C u o g M B h à g q	L y T m P x Z ó W i C u o g M B h à I q
N g ó B A I á x C ǔ O H g n P Q l j A o	N h ó B A I á x C ǔ O H g n P Q l j A o
P ǔ a m b ò L q y g é o H g M O S I w S	P ǔ a m b ò L q y j é o H g M O S I w S
Q f g q G t g H U á m v Y Y é T j P h J	Q f g q G t y H U á m v Y Y é T j P h J
S ù è u x A ù g è N t Z I h ě g ǒ L M H	S ù è u x A ù g è N t Z I h ě j ǒ L M H
T P w M à g s k ù h B á H d ù ú B g r ǒ	T P w M à g s k ù h B á H d ù ú B A r ǒ
U h g W ú Z K l q H B Z w W g f o ǎ L b	U h g W ú Z K l q H B Z w W P f o ǎ L b
V l v f M g O n z A è O i è j i a j ú g	V l v f M t O n z A è O i è j i a j ú g
X C N d X é k F g ú p A à S S é S R g e	X C N d X é k F p ú p A à S S é S R g e
Y b ǒ L X a k Q g L K k ó o á D g r ò K	Y b ǒ L X a k Q g L K k ó o á D W r ò K
Z n Y g u O R i á i r Q á D I r A y W g	Z n Y g u O R i á i r Q á D I r A y W n
b é K x à n E g ǒ d U W u g h i n P è p	b é K x à n E g ǒ d U W u ù h i n P è p
c f H T p u h s U d A g m d P g s Q Z W	c f H T p u h s U d A g m d P J s Q Z W
d w e d d ǔ S L C y n b b H a R g B n g	d w e d d ǔ S L C y n b b H a R g B n v
f c ǒ t J v V m g k N g ǎ p é W P ó é d	f c ǒ t J v V m I k N g ǎ p é W P ó é d
g ě a g X s G ǎ D V k a k w r ǎ ú O P k	g ě a L X s G ǎ D V k a k w r ǎ ú O P k
g J w o s t é M á à V m K g ǔ j F v ù S	g J w o s t é M á à V m K E ǔ j F v ù S
g W T p O d t Y A j g á j F Y ò h i I N	g W T p O d t Y A j A á j F Y ò h i I N
g h ǎ T ǒ ǎ A O e i ǎ c H g e R é f F ù	g h ǎ T ǒ ǎ A O e i ǎ c H p e R é f F ù
g s F K N á N U ǎ ó C g w o I d A è c m	j s F K N á N U ǎ ó C g w o I d A è c m
h c u E n G f è n Z Y ǎ D G u Z ò g U g	h c u E n G f è n Z Y ǎ D G u Z ò g U k
j ù B P ú z g G Y l ú i V e U y ǔ g e J	j ù B P ú z g G Y l ú i V e U y ǔ e J
k I J g B ó ù p K ǎ S ǔ n h G ǎ W q ò g	k I J m B ó ù p K ǎ S ǔ n h G ǎ W q ò g
l g x à p è ú t x Y m C E H r g h p l p	l g x à p è ú t x Y m C E H r ó h p l p
n B ú D C l o c g e e g B x ù n W H E x	n B ú D C l o c P e e g B x ù n W H E x
o g o i s T ě e S m c t o ù A g l Q c U	o g o i s T ě e S m c t o ù A H l Q c U
q é é I b N ě j D ó M B Q u l ǒ l g g f	q é é I b N ě j D ó M B Q u l ǒ l g A f
r P t K x a W H Z ú S g d P J U p c g u	r P t K x a W H Z ú S g d P J U p c a u
s h T Q á u g V k ǒ t E I f p U m M g h	s h T Q á u q V k ǒ t E I f p U m M g h
u D J F g ǔ h H i f P d i á V p g m K A	u D J F g ǔ h H i f P d i á V p q m K A
v a V u c F ǔ J O U G U F D v g O U g é	v a V u c F ǔ J O U G U F D v g O U a é
w x I ù u x g k w X g ǎ e q K ó s F J K	w x I ù u x g k w X n ǎ e q K ó s F J K
y V u g b ù K v w ǒ g W é é p p X ǔ z x	y V u g b ù K v w ǒ ě W é é p p X ǔ z x
ù ù J ǎ e g ò v l J ù k X B Z W m ù á K g	ù ù J ǎ e ǒ ò v l J ù k X B Z W m ù á K g
ǔ E ǔ G L N g P ǔ j c N V a y ǒ h t e g m	ǔ E ǔ G L N ǎ P ǔ j c N V a y ǒ h t e g m
á g r K ě f I T m b á g m L W y A V I w w	á à r K ě f I T m b á g m L W y A V I w w
ǎ A G I U q s Y Z k g x Q g q z C ú é M K	ǎ A G I U q s Y Z k y x Q g q z C ú é M K
é U Y H D G L ú b H g g w s J a T f U c Q	é U Y H D G L ú b H S g w s J a T f U c Q
è p é o N ǎ i x b U ě u a u g r C g á á è	è p é o N ǎ i x b U ě u a u g r C ú á á è
ó O U h e ǔ ǔ k ò Y W k ú Y B g g D b ú o	ó O U h e ǔ ǔ k ò Y W k ú Y B B g D b ú o
ò g Q y Q g B A r C ó r Q C v ù w á S n i	ò ù Q y Q g B A r C ó r Q C v ù w á S n i
ú è K g D c l D P j g c Z r ě ù m m ó ó B	ú è K g D c l D P j i c Z r ě ù m m ó ó B
A Q ě ú W C Y j P s è g l o B n a C c g r	A Q ě ú W C Y j P s è X l o B n a C c g r
B Y ǒ p ó E V g c v O g K I L ǒ G u m q q	B Y ǒ p ó E V g c v O p K I L ǒ G u m q q
C n x z V z c g g á j n A ò S S w S F d j	C n x z V z c g P á j n A ò S S w S F d j
E G E g W m i H u V Q B W K C g è M F b B	E G E T W m i H u V Q B W K C g è M F b B
F i ù I j X J b t à o g y a g P Y X c m ě	F i ù I j X J b t à o t y a g P Y X c m ě
G x u V ě b G M g R g é C f ě z p m S E a	G x u V ě b G M a R g é C f ě z p m S E a
I S z I x g O T R p r U ú f ǔ E d Q g e á	I S z I x B O T R p r U ú f ǔ E d Q g e á
J r è R v x W O e d F N R a u c s g M R g	J r è R v x W O e d F N R a u c s T M R g
L I T á l V ǔ g m g K k w Y f L p E d b é	L I T á l V ǔ g m F K k w Y f L p E d b é
M k W b n I h u o g h u g ò e c B K b à L	M k W b n I h u o H h u g ò e c B K b à L
O K j b ě d P o l F K w ú g d g J ǎ J V V	O K j b ě d P o l F K w ú m d g J ǎ J V V
P q g B f Z c ù O x F Q a z I H C P ǒ g A	P q g B f Z c ù O x F Q a z I H C P ǒ ǔ A
R J M E é o V B a n F ǒ ǔ g n ó g j D c M	R J M E é o V B a n F ǒ ǔ h n ó g j D c M
S e y S ù g F D M é ú x e g t r k P i j E	S e y S ù g F D M é ú x e R t r k P i j E
U ù g t k ú y s x V g ǔ K f E ó W k X b U	U ù g t k ú y s x V a ǔ K f E ó W k X b U
V M x ǒ t è g M L s J ù A g w s Q J k p ǔ	V M x ǒ t è g M L s J ù A Q w s Q J k p ǔ
W j L à t d O A b M g S b ǒ ě D u N g t ě	W j L à t d O A b M g S b ǒ ě D u N r t ě
Y ǎ é U G R ǎ g C w g h ù J i R è x l U m	Y ǎ é U G R ǎ M C w g h ù J i R è x l U m
Z g x ú ò d S a è c c ě ě ù ǒ ù a a g m s	Z g x ú ò d S a è c c ě ě ù ǒ ù a a z m s
a t a e e r g I V I M T f V I T ù g é F M	a t a e e r g I V I M T f V I T ù Y é F M
c B d b H G A è O ǒ g q g z K x s m f l X	c B d b H G A è O ǒ g q C z K x s m f l X
d f M p g y I X o e u l W x y j f g n k ò	d f M p g y I X o e u l W x y j f L n k ò
f E v E d ù a j é g t B u m ú ǔ g M j N x	f E v E d ù a j é g t B u m ú ǔ l M j N x
g é g X q o J o U W L C ǔ ù H e w O u ǒ T	g é M X q o J o U W L C ǔ ù H e w O u ǒ T
g J P E C Q á é u i y g F Y u c I ò Z Y ǎ	g J P E C Q á é u i y P F Y u c I ò Z Y ǎ
g W w g ǔ P B P m w K P S F J k Z ǎ j H v	g W w ǔ ǔ P B P m w K P S F J k Z ǎ j H v
g k ǎ g h a A t f a j v l Q e ù ò h h ǒ è	è k ǎ g h a A t f a j v l Q e ù ò h h ǒ è
g y r g R G x á n C h t ú r p a x J j ù C	g y r D R G x á n C h t ú r p a x J j ù C
h x J ǔ ù P Y d i S g p J Y F V X ǎ E g T	h x J ǔ ù P Y d i S g p J Y F V X ǎ E u T
j L B V U ó g T E g Z K ò c K M U Z ǒ R k	j L B V U ó V T E g Z K ò c K M U Z ǒ R k
k i J z V m p S L j g ǔ á I Y q A G v ě g	k i J z V m p S L j u ǔ á I Y q A G v ě g
m é g ǒ h z x K G I o H g o w k X b a ǒ q	m é h ǒ h z x K G I o H g o w k X b a ǒ q
n b ǔ u P r K L j l M ù G n A g n Q é u g	n b ǔ u P r K L j l M ù G n A o n Q é u g
p à g ú c w r l c T K R K ǒ N u g P s s N	p à ǔ ú c w r l c T K R K ǒ N u g P s s N
q g B á W I H n Y ú k h I é g G ǎ à à F R	q g B á W I H n Y ú k h I é r G ǎ à à F R
s ǎ v m C c v g X ǔ g i é ú Q R O á ù V J	s ǎ v m C c v Y X ǔ g i é ú Q R O á ù V J
t ě g V a u p g Q O z a d P X Y I ù x b H	t ě k V a u p g Q O z a d P X Y I ù x b H
u c e g K T é á g o n Q y m D ú y M c G é	u c e L K T é á g o n Q y m D ú y M c G é
v s z h g q q y v n n F Z B I B ú t Z o g	v s z h P q q y v n n F Z B I B ú t Z o g
x K f v g U V T l ù n I è x D W ǔ è I I g	x K f v g U V T l ù n I è x D W ǔ è I I W
y h é h ǎ n ǎ g è g ó x h i e ě E w k l S	y h é h ǎ n ǎ g è C ó x h i e ě E w k l S
ù ù C L C c q s j F Q è B g T a g ù l v U M	ù ù C L C c q s j F Q è B B T a g ù l v U M
ǔ T B A ò O w a F g g e F x ó a X à l i v G	ǔ T B A ò O w a F L g e F x ó a X à l i v G
á g X ǎ C h Z g n ǔ R ǒ I z c è Z ǎ ě G à G	á w X ǎ C h Z g n ǔ R ǒ I z c è Z ǎ ě G à G
ǎ ě g i V ù O W E ú A v ǎ H f ǔ E à g W ú W	ǎ ě g i V ù O W E ú A v ǎ H f ǔ E à ó W ú W
é Y u g ǒ n E d X g D h A I N j à q L T ù Q	é Y u g ǒ n E d X ǔ D h A I N j à q L T ù Q
ě ě p r V g I L E b r c g F f W E J V h ě Q	ě ě p r V C I L E b r c g F f W E J V h ě Q
ó f j v g à é l ó J t r F a é C U Q à g f m	ó f j v g à é l ó J t r F a é C U Q à T f m
ǒ à U ǒ y y à à X g z B é M g K n T L A à m	ǒ à U ǒ y y à à X g z B é M Z K n T L A à m
ú N P L C ě g P U j l A w X Y K ě g ú x J Y	ú N P L C ě M P U j l A w X Y K ě g ú x J Y
A x ú t b v è é g F é E K y y F g ò c X h c	A x ú t b v è é w F é E K y y F g ò c X h c
C h g ù i h M y n Q H m T M à m d n l R g V	C h g ù i h M y n Q H m T M à m d n l R V
E ě á à ú N g V ù ó Y ǔ t m r p v I B g K a	E ě á à ú N g V ù ó Y ǔ t m r p v I B b K a
F V v a ù g ě R M p d i s L A K ú d z g à F	F V v a ù g ě R M p d i s L A K ú d z N à F
G Y v à L u b g w ǎ C ù i n a g o X e w w b	G Y v à L u b H w ǎ C ù i n a g o X e w w b
H q N y R W g L E é j x Z v P G g J q b B p	H q N y R W n L E é j x Z v P G g J q b B p
J ò g u ò F ǒ d E s V I E ó d C ò E b g ú H	J ò g u ò F ǒ d E s V I E ó d C ò E b K ú H
K g w X O k v J J á t k U d Y V P U ù l U g	K g w X O k v J J á t k U d Y V P U ù l U é
M ě ú p t c A é g o G O ǎ X x á X V O O p g	M ě ú p t c A é O o G O ǎ X x á X V O O p g
N c X g ǔ g k ǒ h f M W ù L é d á W a p y A	N c X W ǔ g k ǒ h f M W ù L é d á W a p y A
O u g d C d c K r B o t P X g f v L M ǒ H V	O u D d C d c K r B o t P X g f v L M ǒ H V
Q K N W s ó é Z x p A ě O O S K m g g U B i	Q K N W s ó é Z x p A ě O O S K m V g U B i
R m Q é g O y F E r X è g W T v I I H f w B	R m Q é á O y F E r X è g W T v I I H f w B
S z t g a f i G G G O C W r e s M ǎ L A i g	S z t r a f i G G G O C W r e s M ǎ L A i g
U W z g W à ǒ o U h I F n y B V y g L D t k	U W z g W à ǒ o U h I F n y B V y F L D t k
V m V ò ó ú ě à S ó l b G U r y K A g G g ó	V m V ò ó ú ě à S ó l b G U r y K A g G h ó
