grammatical	ungrammatical
ù ǔ F y à k H d ǎ k c d c S c d K j p R	ù ǔ F c à k H d ǎ k c d c S c d K j p R
ǔ o w c S s à n U S a b H b z ó a b Q ú	ǔ o w c S s à n U S a b a H b z ó a b Q ú
à a t c m y p b p Q K a I b R N k I a ù	à a t c m y p b p Q K a I b R N k I a b
é T F c w W c z M y X H ú C D d f A c d	é T F c d w W c z M y X H ú C D d f A c d
ě B R w c K P d c Y c à ě d ǒ ǔ m H D d	ě B R w c K P d c Y c à ě d ǒ c m H D d
ó s y b U a n m f a O h b J D m H a b D	ó s y b U a n b f a O h b J D m H a b D
ǒ c d I f Y X c X ù W j P c e B d H B a	ǒ c d I f Y X c X d W j P c e B d H B a
A R a n K b ù a x ú a m R v ú N G X b S	A R a n K b ù a x b ú a m R v ú N G X b S
B q a y H b f R ò Z D y b o V a è m c b	B q a y H b f R ò a Z D y b o V a è m c b
D b S k s z a U T a s b d a g F q G b F	D b S k s z a b U T a s b d a g F q G b F
F W c j F d n c o b r z u Y B U A c F d	F W c j F d n c o b r z u Y B U A d c F d
H é F c S f d d c D W V w Z ú y d c q c	H é F c S f d c d c D W V w Z ú y d c q c
I c S k u D M d d c U u k W ù w c W i d	I c S k u D M d d c U d k W ù w c W i d
K M R d h c I t D d q c ě ó ǒ O d e X y	c K M R d h c I t D d q c ě ó ǒ O d e X y
L h a e b ù I K ù b a b q d t b F w U N	L h a e b ù I K ù b a b a q d t b F w U N
N a f f A S b G a I b n u F I m a X d q	N a f f A S b G a I b n u F I m a b d q
P á c V K à a f ě h y a ǒ Z X c d y c d	P á c V K à d a f ě h y a ǒ Z X c d y c d
Q a t I r Z b q w X b a z ù d b f ù u ǔ	Q a t I r Z b q w X a b a z ù d b f ù u ǔ
S ò d c ú k x ú d c O ú m g o f d i S d	S ò c d c ú k x ú d c O ú m g o f d i S d
T h A ú c c c O D d h c ǎ P d L v J k M	T h A ú c c d c O D d h c ǎ P d L v J k M
V c F M e d s c z d l Q b q t è L d ǔ D	V c F M e d s c z d l Q c q t è L d ǔ D
X B c é e y S ǔ Q c F d k l D x c W W d	X B c d é e y S ǔ Q c F d k l D x c W W d
Y c Z d A r U c d g á F h d i N v p u ù	Y c Z d A r U c d g á F h c d i N v p u ù
a à b z é è a f ě b Y d é E r b ě E é X	a à b z é è a f ě b Y a é E r b ě E é X
a E à a D ǎ V b a b t T ú Y b ě U F ú u	a E à a D ǎ V b a b t T a Y b ě U F ú u
a R b z V g X f a S b y è q C K b G b ǎ	a R b z V g X f a S b y a è q C K b G b ǎ
a b ú A e i R i a L n c a B v b L l H n	a b ú A e i R i a L n b c a B v b L l H n
a b s r g ù X n t Y q b a B E O é Q y b	a b s r a g ù X n t Y q b a B E O é Q y b
a n m b ú m E x à a ò W b b y m Z d e K	a n m b ú m E x à a ò W b a b y m Z d e K
