grammatical	ungrammatical
ù ù ù e k N T é d ǒ g Y W X b b g i l X	ù ù ù e k N T é d ǒ g Y W g b b g i l X
ǔ L C V g g s o d o Z y T t G K é e C E	ǔ L C g V g g s o d o Z y T t G K é e C E
á g F d C J k p H ě g E ǎ ǎ m Y d B b M	á g F d C J k p H ě O E ǎ ǎ m Y d B b M
à p n f F é w à a ě r p ǒ F z J g m g S	à p n f F é w à a ě r p ǒ F z J K m g S
é D T r h ú s ù G h ǒ Y f g F g w ǎ n j	é D T r h ú s ù G h ǒ Y f ó F g w ǎ n j
è d o m n ú g I y g v M ó X è é h W U ó	è d o m n ú g I y B v M ó X è é h W U ó
ó é w F s x J p c f J ǎ è Z A l g u v g	ó é w F s x J p c f J ǎ è Z A l Q u v g
ò k ǒ W l r k m L g g X t P o a c o X L	ò k ǒ W l r k m L g g X t P o g c o X L
ú Q m á P w a d f g c l p x R ǎ R j h g	ú Q m á P w a d f g c l p x R ǎ R j h G
A q d J V ǒ U O a I G L ù g p E g p m z	A q d J V ǒ U O a I G L ù g p E A p m z
C C N a à F g d x N u ó i ǎ P k á C g ú	C C N a à F g d x N u ó i ǎ P k á C I ú
D X g d F l e i g ǎ L e V h y q R w é ó	D X g d F l e i W ǎ L e V h y q R w é ó
E m p p ǎ ó g R Y j i g H r w x ù s ǔ A	E m p p ǎ ó g R Y j i g g H r w x ù s ǔ A
G K á t r G x k q M M ù ǒ g ǔ à g W k B	G K á t r G x k q M M ù ǒ g ǔ à X W k B
H f e g H P g w f f R X x u a r D W H J	H f e g H P w f f R X x u a r D W H J
J á M P g g ù p V h E B r é w H à b V T	J á M P g m ù p V h E B r é w H à b V T
K d J ó v Z P g U q v y c y é A ě g w Z	K d J ó v Z P g U q v y c y é A ě ó w Z
L o á N k s ó è G b è g g O l w Z t x Z	L o á N k s ó è G b g g g O l w Z t x Z
N ó g G m c ó G g C o w G B X b c n Q G	N ó g G m c ó G g C o w G g X b c n Q G
O L Q v ě g P U T W Q h u p X e Q g á ó	O L Q v ě g P U T W Q h u p X e Q á ó
P t W g K q O i X p s p à è Q g k ǎ x á	P t W g K q O i X p s p à è Q b k ǎ x á
R U e r L o ù g ǒ Z W F g Y C q y x è J	R U e r L o ù g ǒ Z W F k Y C q y x è J
S t ǒ r k g ǒ Y á ó B g a J ú ě B s K i	S t ǒ r k w ǒ Y á ó B g a J ú ě B s K i
U T g b g Y F B J w ò Q M H k ǎ P H Z i	U T g b u Y F B J w ò Q M H k ǎ P H Z i
V l L d T x á g A Y g L y E J y v ǎ á H	V l L d T x á g A Y g L y E J g y v ǎ á H
X ú y D g V ú v g P s Y e d ǔ Y L h j E	X ú y D ò V ú v g P s Y e d ǔ Y L h j E
Y g k v Q Q m R K Z g ǒ d q Q b ǔ Y ǎ ě	Y Y k v Q Q m R K Z g ǒ d q Q b ǔ Y ǎ ě
Z x X M X Q d Q t g ò p b T g Y U b M d	Z x X M X Q d Q t g ò p b T L Y U b M d
b M ú ò k g Y p U m G H D F k I W s I g	b M ú ò k g Y p U m G g H D F k I W s I g
c g b H i à c ě P W h r z g W J ě ě k T	c g b H i à c ě P W h r z g W J ě ě k T g
e F K U z á g H S I ò l V h g k ò N K q	e F K U z á v H S I ò l V h g k ò N K q
f g g J X f à u W B à D w á V y U ù J p	f g u J X f à u W B à D w á V y U ù J p
g ò ú B ò T é w g P à I ǔ Z i ù z W A i	ù ò ú B ò T é w g P à I ǔ Z i ù z W A i
g J ě Z ǔ X ǒ B o W ǔ z r p g x i t m h	J ě Z ǔ X ǒ B o W ǔ z r p g x i t m h
g Y m h ò O d v G T A d F g S j H i a ě	i Y m h ò O d v G T A d F g S j H i a ě
g i W y g q a u t r Q D M V j à k O ú Y	á i W y g q a u t r Q D M V j à k O ú Y
g w è ù p v T p m d è è è g B M Q m u a	ó w è ù p v T p m d è è è g B M Q m u a
h n ǔ g ǒ U X D E V h X E h r g o ó H E	h n ǔ g ǒ U X D E V h X E h r T o ó H E
j C g D u w J d Q L ú U c ě I P Q H Y g	j C N D u w J d Q L ú U c ě I P Q H Y g
k e E g Z h O a ù w d g I K v á e G ò B	k e E g Z h O a ù w d V I K v á e G ò B
m é m g X x ǎ U Z ù Q X h P g ù ě M Z p	m é m g X x ǎ U Z ù Q X h P E ù ě M Z p
n U è E t E v b d á g l X g k i E á b R	n U è E t E v b d á g l X t k i E á b R
o g f Z G W G w g ǎ i u G P ǎ E r K o Y	o g f g Z G W G w g ǎ i u G P ǎ E r K o Y
q E U L z h a c Y O g g f x T V D z ó ó	q E U L z h a c Y O g g f x T V D z ó ó g
