grammatical	ungrammatical
a a a a a a ǔ ǒ W h W D ù I b S E I c é k	a a a a a ǔ ǒ W h W D ù I b S E I c é k
ù u x r H ó D a a a a a a a T B A v é á	ù u x r H ó D a a p a a a a T B A v é á
á W f ě f U h ǒ ú j K z ǔ z a a a a a a	á W f ě f U h ǒ ú j K z ǔ z v a a a a a
à k E C z B k ò A F M ù X a a a a a a u	à k E C z B k ò A F M ù X a a a a x a u
é J à j k B i k a a a a a a q i ě J i ó s	é J à j k B i k a a a a a q i ě J i ó s
è c Y q t n G ú a a a a a a o c ǒ O t ú	è c Y q t n G ú a u a a a a o c ǒ O t ú
ě t J w è G h F a a a a a a l ě J D p D ǎ	ě t J w è G h F a a a a a l ě J D p D ǎ
ò M ǔ é A a a a a a a r l o b d A Q ě T c	ò M ǔ é A a a a a a r l o b d A Q ě T c
ǒ m g ě e f q y O O a a a a a a b à l I x	ǒ m g ě e f q y O O a a a a a b à l I x
A ò a ǎ A ò a a a a a a o s ù o g é è i	A ò a ǎ A ò ú a a a a a o s ù o g é è i
B V u z a a a a a a p S ò c ú K z u ò J	B V u z é a a a a a p S ò c ú K z u ò J
C d l a a a a a a K h a p i u á j A ò t	C d l a a m a a a K h a p i u á j A ò t
D w P p o K a a a a a a x h p j r ó g R J	D w P p o K a a a a a x h p j r ó g R J
F X x k B U R K à ě a a a a a a J ò O I	F X x k B U R K à ě a è a a a a J ò O I
G s A a a a a a a l I c E q C v t W ó ǔ e	G s A a a a a a l I c E q C v t W ó ǔ e
I F ǒ x a a a a a a o j a ǒ H à I k s l N	I F ǒ x a a a a a o j a ǒ H à I k s l N
J j G v ǒ G a a a a a a S W a n ó y M k t	J j G v ǒ G a a a a a S W a n ó y M k t
L è B s é ò J B U a a a a a a n p é q a	L è B s é ò J B U a a a a a á n p é q a
M i C a a a a a a h z ó n r ǔ á O q K B	M i C a a a a U a h z ó n r ǔ á O q K B
N r t r J c ù a a a a a a a j P ǒ r S Q	N r t r J c ù a á a a a a a j P ǒ r S Q
P K b O q a a a a a a V f J I á I q J f	P K b O q a a a a N a V f J I á I q J f
Q d H H H d p F v p a a a a a a l h é v	Q d H H H d p F v p C a a a a a l h é v
S à R E á s G n G a a a a a a w q b B v à	S à R E á s G n G a a a a a w q b B v à
T R ò a a a a a a H ò ù o M X R A z ě f ú	T R ò a a a a a H ò ù o M X R A z ě f ú
U z K E W ò U è l ǔ a a a a a a é p e d ǔ	U z K E W ò U è l ǔ a a a a a é p e d ǔ
W L a a a a a a K R n R n N p ù O T J Y	W L a a a g a a K R n R n N p ù O T J Y
X i D K à K y a a a a a a f a ú X m X h	X i D K à K y a F a a a a f a ú X m X h
Y v r q W é a r m k à a a a a a a t k x V	Y v r q W é a r m k à a a a a a t k x V
a a a a a a b i q B ó q ó e a o Y A n t q	a a a a a b i q B ó q ó e a o Y A n t q
a a a a a a N è ǒ m Z R b p ě v à w r w t	a a a a a N è ǒ m Z R b p ě v à w r w t
a a a a a a s E i p M e e ě x X i l b g	a a a a a ò s E i p M e e ě x X i l b g
a t U B W V a a a a a a I t á W K w s k	a t U B W V a a a a c a I t á W K w s k
b u c T i S z F B m á ó a a a a a a G D y	b u c T i S z F B m á ó a a a a a G D y
d M T d m ó ě e O z J ó Q g a a a a a a X	d M T d m ó ě e O z J ó Q g a a a a a X
e a a a a a a f S ǎ e a j o D n L X ú V	e a a a a a ó f S ǎ e a j o D n L X ú V
f v k h O F x l a a a a a a m D I I J U	f v k h O F x l a a a a p a m D I I J U
h ú X é P ǔ S v M f M ě d d a a a a a a	h ú X é P ǔ S v M f M ě d d a a a F a a
i J S U W ǎ a a a a a a Y ǔ ù ǔ s é á n i	i J S U W ǎ a a a a a Y ǔ ù ǔ s é á n i
j a a a a a a u ó y M h y k h Q l A M E	j a a a à a a u ó y M h y k h Q l A M E
k y J ù A a a a a a a P E M e ó ǔ i N C Z	k y J ù A a a a a a P E M e ó ǔ i N C Z
m ǒ Z S c Z Y v ò n A d a a a a a a J ǒ o	m ǒ Z S c Z Y v ò n A d a a a a a J ǒ o
n X E K è á r s é H ě á a a a a a a u C	n X E K è á r s é H ě á a a H a a a u C
o k h t J q u A s M E a a a a a a á l U O	o k h t J q u A s M E a a a a a á l U O
q ě ú f Y è u z m L f á d g a a a a a a H	q ě ú f Y è u z m L f á d g a a a a a H
r g ǎ D k c ǒ o ǎ n k è a a a a a a J y I	r g ǎ D k c ǒ o ǎ n k è a a a a a J y I
t ǔ a a a a a a X q c c ù E q w E T m N j	t ǔ a a a a a X q c c ù E q w E T m N j
u V H à Q W P B D Q a a a a a a ǔ I è à p	u V H à Q W P B D Q a a a a a ǔ I è à p
v w H ǒ é ù n i f v w I a a a a a a V g	v w H ǒ é ù n i f v w I a a a a a ǒ V g
x M n a a a a a a q e M a B S d U U Y z G	x M n a a a a a q e M a B S d U U Y z G
y f q V B a a a a a a ù ě Z W ò K U v C o	y f q V B a a a a a ù ě Z W ò K U v C o
a a a a a a ǎ è m k B P A R ǎ n X l r L I ò	a a a a a ǎ è m k B P A R ǎ n X l r L I ò
ǔ ǒ W c R y ě D ǔ D ǔ y a a a a a a y D P	ǔ ǒ W c R y ě D ǔ D ǔ y a a a a A a y D P
á E l a a a a a a z ǎ b C Y J ò K ǔ ǔ T è ù	á E l a a a a a z ǎ b C Y J ò K ǔ ǔ T è ù
à h R a a a a a a U T s r G Y A d z à k y	à h R a a a a a z U T s r G Y A d z à k y
é ò K a a a a a a ǎ ě b à ù Q m b V T D Y b	é ò K a a a a a ǎ ě b à ù Q m b V T D Y b
è I A p T K x ó q N ǔ ě á i o r a a a a a a	è I A p T K x ó q N ǔ ě á i o r a a a a a
ě a a a a a a y ú p J a k ó a M i m z e ě	ě a a a a a N y ú p J a k ó a M i m z e ě
ò á K P H v H L l a a a a a a I M ú è t N	ò á K P H v H L l a a a U a a I M ú è t N
ǒ R l é N w N f P a a a a a a è k w o g ú x	ǒ R l é N w N f P a a a a a è k w o g ú x
ú u V u Z a a a a a a C ǔ R y y L N ó F v	ú u V u Z a a a a D a C ǔ R y y L N ó F v
B ù S h G f a a a a a a ú E x O C Q G U r ó	B ù S h G f a a a a a ú E x O C Q G U r ó
C J H G ǎ q b ù ǔ á a a a a a a ǔ i m b f	C J H G ǎ q b ù ǔ á a a a a o a ǔ i m b f
D a a a a a a b G H ǔ f T j F á V ú P è i	D a a s a a a b G H ǔ f T j F á V ú P è i
E u y R ě e O I X è k T a a a a a a è y D Q	E u y R ě e O I X è k T a a a a a è y D Q
G I ǒ M f v á c é J R ǎ L y a a a a a a x g	G I ǒ M f v á c é J R ǎ L y a a a a a x g
H U Q h Y é ǔ S I e u E L a A a a a a a a	H U Q h Y é ǔ S I e u E L a A a M a a a a
I h a a a a a a M I y ǔ a ù á G T g ò é é p	I h a a a a a M I y ǔ a ù á G T g ò é é p
K J K ó Q F e ú e è u Z a a a a a a ǔ a Z	K J K ó Q F e ú e è u Z a S a a a a ǔ a Z
L p J a a a a a a è E V n I I V V S V x b	L p J a a N a a a è E V n I I V V S V x b
