grammatical	ungrammatical
ù ù w r K F ó B a a b a ú j b P é à a b	ù ù w r K F ó B a a b a ú j b P é à a s
ǔ d Z q W k g e y P x d d s d d m F U d	ǔ d Z q W k g e y P x d d s d Z m F U d
à R H ú R a K b a ǔ s R i U b k L y a k b	à R H ú R a K b a ǔ s R i U k L y a k b
é K d c T c d h H c d c e p h T g x ó S Z	é K d c T c h H c d c e p h T g x ó S Z
ě ǎ u a b j à a C O K Q C B ǎ J b a A T b	ě ǎ u a b j à C O K Q C B ǎ J b a A T b
ó h K y A F ǎ A d d X d d E S C n d d é é	ó h K y A F ǎ A d d X d d E S C n d é é
ǒ l ú ú D G d j d M F d d d h D r d a G f	ǒ l ú ú D G d j d M F d d h D r d a G f
A d G P o c U d c g ě s é d r B k c R t ù	A d G P o U d c g ě s é d r B k c R t ù
C X c V T ǒ a c E a C c u L l ó P R a Q	C X c V T ǒ a c E a C c u L l ó P R ú Q
E ò d d d T l A C h S ó e q R D d d d A	E ò d d d T l A C h S ó e q R D d L d A
F Q v g a h o d c d a f c D d c C b I u ò	F Q v g a h o c d a f c D d c C b I u ò
G t r U e ù c a c a p v c w é a C f W M B	G t r U e ù c a a p v c w é a C f W M B
I d d G g ě d q N y d à ù d G d S J à v ǒ	I d G g ě d q N y d à ù d G d S J à v ǒ
K G d Y ǔ Y c j ú d f c W L O l L d c ú	K G d Y ǔ Y c j ú d f v W L O l L d c ú
L v w E a b a L d b ǎ m c a t j é Y l b	L v w E a b a L d è ǎ m c a t j é Y l b
N c H H e U a c a Y I c ě l n k Q a y ú	N c H H e U a é a Y I c ě l n k Q a y ú
P P d H c H q d ǔ ǒ M c é j X T d c r g	P P d H c H q d ǔ ǒ M c é j X T d p r g
R ǎ s ǔ Y c a b c a c X a A j s G o f t F	R ǎ s ǔ Y c a b c a X a A j s G o f t F
S d c s x I ù d c b L d e ǒ B c i ú h ò	S d c s x I ù k c b L d e ǒ B c i ú h ò
U J y g j d g O ó c a ó ǎ ú ǔ d c d c ò V	U J y g j g O ó c a ó ǎ ú ǔ d c d c ò V
W é L K a b s a y r n A b p Y L x a U b	W é L K a b s a y r n A B p Y L x a U b
X g c ó a T ó c t A k G g U N K a c C a ǔ	X g c ó a T ó c t A k G g U N K a c C ǔ
