Subject code:	2	7	12	13	14	15	16	17	18	68T	62T	52	50	47	41	40	85	138	133	132	131	122	117	100	97	144	145	146	147	148	Unnamed: 31	1	Unnamed: 33	3	8	19	20	21	22	55	54	63T	60T	39	71	72	73	89	90	140	139	130	114	109	108	98	95	149	150	151	152	153	Unnamed: 63	2.1	Unnamed: 65	1.1	10	23	24	25	26	27	28	61T	57	56	65T	45	74	75	88	141	129	125	103	99	96	154	155	156	157	158	Unnamed: 93	2.2	Unnamed: 95
City where test taken:	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Tiszafüred	Tiszafüred	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest				Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Tiszafüred	Tiszafüred	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest				Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Tiszafüred	Budapest	Budapest	Tiszafüred	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest			
Version of questionnaire:	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	nak	nek	n	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	nak	nek	n	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	nak	nek	n
BONTEL	nak	nek	nek	nak	nek	nek	nek	BLANK	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	2	27	30	nek	NO SUFFIX ATTACHED	nek	nek	nek	nek	nek	nek	nek	nek	nek	NO SUFFIX ATTACHED	nek	nek	nek	nek	nek	nek	nak	nek	nek	nek	nek	nak	nek	nek	nek	nek	nek	2	25	29	nak	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	NO SUFFIX ATTACHED	nek	nek	nek	nek	nek	nek	nak	nek	nek	nak	nek	3	23	27
CSÁDIK	nak	nak	NO SUFFIX ATTACHED	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	NO SUFFIX ATTACHED	nak	nak	nak	NO SUFFIX ATTACHED	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	27	0	30	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	29	0	29	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nek	nak	nak	nak	nak	nak	nak	nak	26	1	27
FÁNYEDEG	nek	nek	nek	nek	nek	nek	nek	BLANK	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	0	29	30	nek	nek	nek	NO SUFFIX ATTACHED	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	NO SUFFIX ATTACHED	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	0	27	29	**en	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nak	nek	1	25	27
GYÜLÜT	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	0	30	30	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	0	29	29	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nak	nek	1	26	27
HÁDÉL	nak	nak	nek	nek	nek	nak	nek	nak	nak	nak	nek	nak	nak	nek	nek	nek	nak	nak	nek	nek	nek	nak	nak	nek	nak	nak	nek	nak	nek	nak	16	14	30	nek	nek	nek	**r?l	nak	nek	nak	nek	nek	nek	nek	nek	nek	nak	nek	nek	nek	nek	nek	nek	nek	nek	nek	nak	nek	nek	nek	nak	nek	5	23	29	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nak	nek	nak	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	2	25	27
HÍNY	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nak	nek	BLANK	1	28	30	*hínyilnak	nek	nek	nek	nek	BLANK	nek	nek	nek	nak	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nak	nak	nek	nek	nek	3	24	29	nek	nek	nek	NO SUFFIX ATTACHED	NO SUFFIX ATTACHED	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	NO SUFFIX ATTACHED	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	NO SUFFIX ATTACHED	0	23	27
KÁZEN	nek	nek	nak	nak	nek	nek	nek	BLANK	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	2	27	30	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nak	nek	nek	1	28	29	nak	nek	nek	nek	nek	NO SUFFIX ATTACHED	nek	nek	nek	nek	nek	nek	nek	nek	nak	NO SUFFIX ATTACHED	nek	nek	nek	nek	nek	nek	nek	nek	nek	nak	nek	3	22	27
KOLÉN	nek	nek	nek	nak	nek	nak	nek	nek	nak	nak	nek	nak	nek	nek	nek	nek	nak	nek	nek	nek	nek	nek	nak	nek	nek	nek	nak	nek	nek	nek	8	22	30	nek	nak	nek	nek	nak	nak	nak	nak	nak	nak	nek	nak	nek	nak	nek	nak	nek	nak	nak	nek	nek	nak	nek	nak	nak	nek	nak	nek	nak	17	12	29	nek	nek	nek	nek	nek	nek	nek	nak	nak	nek	nek	nek	nek	nek	nek	nek	nek	nek	nak	nek	nek	nek	nak	nak	nek	nak	nek	6	21	27
LÁNYITÉG	nek	nek	NO SUFFIX ATTACHED	nek	nek	nek	nek	BLANK	nek	nek	nek	nak	nek	nek	nek	nek	nek	nek	NO SUFFIX ATTACHED	nek	nek	nek	nek	nek	nek	nek	nak	nek	nek	NO SUFFIX ATTACHED	2	24	30	nek	nek	nek	nek	nek	nek	nak	nek	nek	nak	nek	nek	nek	nek	nek	nak	nek	nak	nek	nek	nek	nek	nak	nek	nek	nek	nek	**ert	nak	6	22	29	nek	nek	nek	nek	nek	nek	nek	nak	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nak	nek	nek	nek	nak	3	24	27
LUTEKER	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nak	nek	nek	nek	nek	nek	nek	nek	nek	nek	1	29	30	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	0	29	29	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	0	27	27
MONYIL	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nek	nak	nak	nak	nak	nak	nek	nak	nek	nak	nak	nak	nak	nak	nak	27	3	30	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nek	nak	nak	nak	nak	nek	nak	nek	nak	nak	nak	nak	nak	nak	26	3	29	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nek	nak	nak	nak	nak	nak	nak	nak	26	1	27
ÓREL	nek	nek	NO SUFFIX ATTACHED	nak	nek	nek	nek	BLANK	nek	**be	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	**ben	nek	nek	nak	nek	nek	2	24	30	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nak	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nak,nek	nek	1	27	29	nek	nek	nek	nek	nek	nek	nek	nek	nak	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nak	nek	nek	nek	nek	2	25	27
PORIBIT	nek	nak	nek	nek	nek	nek	nek	BLANK	nak	nek	nak	nak	nek	nak	nek	nek	nek	nek	nak	nek	nek	nek	nek	nek	nak	nek	nak	nak	nek	nek	9	20	30	nek	nek	nek	nek	nek	nek	nak	nek	nek	nak	**ben	nek	nak	nak	nek	**borbitnak	nek	nak	nek	nek	nek	**ben	nak	nek	nak	nak	nak	nek	nak	10	16	29	nak	nek	nak	nek	nek	nek	nak	nak	nek	nek	nek	nek	nek	nek	nak	nak	nak	nek	nek	nek	nek	nek	nak	nek	nek	nak	nek	9	18	27
SZANDAT	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nek	nak	nak	nak	nak	nak	nak	nak	nak	nak	29	1	30	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	NO SUFFIX ATTACHED	nak	nak	nak	nak	nak	28	0	29	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nek	nak	26	1	27
ZEFÉT	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	0	30	30	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	0	29	29	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	0	27	27
Subject code:	4	9	29	30	31	67T	66T	43	46	59	58	76	77	134	128	126	121	118	115	107	92	159	160	161	162	163		4		5	11	32	33	34	35	49	44	69T	51	78	79	80	81	84	142	124	123	120	116	106	105	93	91	164	165	166	167	168		5		6	36	37	38	42	48	53	64T	81	82	83	86	143	137	136	135	127	119	113	112	111	110	104	102	92	169	170	171	172	173		6		
City where test taken:	Budapest	Budapest	Budapest	Budapest	Budapest	Tiszafüred	Tiszafüred	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest				Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Tiszafüred	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest				Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Tiszafüred	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest	Budapest				
Version of questionnaire:	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	nak	nek	n	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	nak	nek	n	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	nak	nek	n	
ÁLENDEL	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	0	26	26	nek	nek	NO SUFFIX ATTACHED	nek	nek	nek	nek	nek	nek	nak	nek	nek	nek	NO SUFFIX ATTACHED	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	1	26	29	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	0	30	30	
ÁNYIVÉL	nek	NO SUFFIX ATTACHED	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	0	25	26	nek	nek	nek	nek	nek	nek	nek	nek	nek	nak	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	1	28	29	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	0	30	30	
BORTOG	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	BLANK	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	25	0	26	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	29	0	29	nak	nak	NO SUFFIX ATTACHED	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	NO SUFFIX ATTACHED	nak	nak	nak	nak	nak	nak	28	0	30	
CSÚLTEK	nek	nek	nek	nek	OTHERERROR	nek	nek	OTHERERROR	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nak	nak	nek	2	22	26	nek	nek	nek	nek	nek	nek	nek	nek	nek	nak	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	1	28	29	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	0	30	30	
HÖSÖG	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	NO SUFFIX ATTACHED	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	0	25	26	**ben	nek	nek	*ben	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	0	27	29	nek	nek	NO SUFFIX ATTACHED	nek	nek	nek	nek	nek	nek	nek	NO SUFFIX ATTACHED	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	BLANK	nek	nek	nek	nek	nek	nek	0	27	30	
KÁNIT	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	NO SUFFIX ATTACHED	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	25	0	26	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	29	0	29	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nek	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	29	1	30	
