Subject code:	City where test taken:	Version of questionnaire:	BONTEL	CSÁDIK	FÁNYEDEG	GYÜLÜT	HÁDÉL	HÍNY	KÁZEN	KOLÉN	LÁNYITÉG	LUTEKER	MONYIL	ÓREL	PORIBIT	SZANDAT	ZEFÉT
2	Budapest	1	nak	nak	nek	nek	nak	nek	nek	nek	nek	nek	nak	nek	nek	nak	nek
7	Budapest	1	nek	nak	nek	nek	nak	nek	nek	nek	nek	nek	nak	nek	nak	nak	nek
12	Budapest	1	nek	NO SUFFIX ATTACHED	nek	nek	nek	nek	nak	nek	NO SUFFIX ATTACHED	nek	nak	NO SUFFIX ATTACHED	nek	nak	nek
13	Budapest	1	nak	nak	nek	nek	nek	nek	nak	nak	nek	nek	nak	nak	nek	nak	nek
14	Budapest	1	nek	nak	nek	nek	nek	nek	nek	nek	nek	nek	nak	nek	nek	nak	nek
15	Budapest	1	nek	nak	nek	nek	nak	nek	nek	nak	nek	nek	nak	nek	nek	nak	nek
16	Budapest	1	nek	nak	nek	nek	nek	nek	nek	nek	nek	nek	nak	nek	nek	nak	nek
17	Budapest	1	BLANK	nak	BLANK	nek	nak	nek	BLANK	nek	BLANK	nek	nak	BLANK	BLANK	nak	nek
18	Budapest	1	nek	nak	nek	nek	nak	nek	nek	nak	nek	nek	nak	nek	nak	nak	nek
68T	Tiszafüred	1	nek	nak	nek	nek	nak	nek	nek	nak	nek	nek	nak	**be	nek	nak	nek
62T	Tiszafüred	1	nek	nak	nek	nek	nek	nek	nek	nek	nek	nek	nak	nek	nak	nak	nek
52	Budapest	1	nek	nak	nek	nek	nak	nek	nek	nak	nak	nek	nak	nek	nak	nak	nek
50	Budapest	1	nek	nak	nek	nek	nak	nek	nek	nek	nek	nek	nak	nek	nek	nak	nek
47	Budapest	1	nek	nak	nek	nek	nek	nek	nek	nek	nek	nek	nak	nek	nak	nak	nek
41	Budapest	1	nek	NO SUFFIX ATTACHED	nek	nek	nek	nek	nek	nek	nek	nek	nak	nek	nek	nak	nek
40	Budapest	1	nek	nak	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nak	nek
