row_number	subject_code	subject_age	subject_sex	stem	1st_option	2nd_option	option_chosen	nak_rating	nek_rating	nak_advantage	AGREE(back,nonlocal)	AGREE(nonhigh_front,local)	AGREE(low_front,local)	AGREE(double_front,local)	USE_FRONT/bilabial__	USE_FRONT/[+cor,+son]__	USE_FRONT/sibilant__	USE_FRONT/CC__	USE_BACK/[C0i:C0]__
110	5	23	female	szólingy	szólingynek	szólingynak	nak	6	2	4	1	0	0	0	0	0	0	1	0
111	5	23	female	étt	éttnak	éttnek	nek	1	7	-6	0	1	0	0	0	0	0	1	0
112	5	23	female	csazenip	csazenipnek	csazenipnak	nek	2	6	-4	1	0	0	1	1	0	0	0	0
113	5	23	female	nazék	nazéknek	nazéknak	nak	6	2	4	1	1	0	0	0	0	0	0	0
114	5	23	female	mámorkébb	mámorkébbnek	mámorkébbnak	nak	6	2	4	1	1	0	0	1	0	0	1	0
115	5	23	female	prágyálerc	prágyálercnak	prágyálercnek	nak	4	2	2	1	1	1	0	0	0	1	1	0
116	5	23	female	sziz	sziznek	sziznak	nek	2	5	-3	0	0	0	0	0	0	1	0	0
117	5	23	female	tomámis	tomámisnak	tomámisnek	nak	4	1	3	1	0	0	0	0	0	1	0	0
118	5	23	female	vúnték	vúntéknak	vúntéknek	nak	4	3	1	1	1	0	0	0	0	0	0	0
119	5	23	female	tarkím	tarkímnak	tarkímnek	nak	5	2	3	1	0	0	0	1	0	0	0	0
120	5	23	female	rovel	rovelnek	rovelnak	nek	2	6	-4	1	1	1	0	0	1	0	0	0
121	5	23	female	gir	girnak	girnek	nek	1	7	-6	0	0	0	0	0	1	0	0	0
122	5	23	female	merny	mernynek	mernynak	nek	1	7	-6	0	1	1	0	0	1	0	1	0
124	7	26	female	szidt	szidtnek	szidtnak	nek	1	7	-6	0	0	0	0	0	0	0	1	0
125	7	26	female	fuksir	fuksirnek	fuksirnak	nek	4	7	-3	1	0	0	0	0	1	0	0	0
127	7	26	female	jémb	jémbnak	jémbnek	nek	1	7	-6	0	1	0	0	1	0	0	1	0
128	7	26	female	antortém	antortémnak	antortémnek	nak	7	4	3	1	1	0	0	1	0	0	0	0
