row_number	subject_code	subject_age	subject_sex	stem	1st_option	2nd_option	option_chosen	nak_rating	nek_rating	nak_advantage	AGREE(back,nonlocal)	AGREE(nonhigh_front,local)	AGREE(low_front,local)	AGREE(double_front,local)	USE_FRONT/bilabial__	USE_FRONT/[+cor,+son]__	USE_FRONT/sibilant__	USE_FRONT/CC__	USE_BACK/[C0i:C0]__
113	5	23	female	nazék	nazéknek	nazéknak	nak	6	2	4	1	1	0	0	0	0	0	0	0
118	5	23	female	vúnték	vúntéknak	vúntéknek	nak	4	3	1	1	1	0	0	0	0	0	0	0
121	5	23	female	gir	girnak	girnek	nek	1	7	-6	0	0	0	0	0	1	0	0	0
125	7	26	female	fuksir	fuksirnek	fuksirnak	nek	4	7	-3	1	0	0	0	0	1	0	0	0
130	7	26	female	kávíd	kávídnek	kávídnak	nak	7	1	6	1	0	0	0	0	0	0	0	0
131	7	26	female	fokreg	fokregnak	fokregnek	nak	6	6	0	1	1	1	0	0	0	0	0	0
160	11	23	male	ir	irnek	irnak	nek	1	7	-6	0	0	0	0	0	1	0	0	0
172	11	23	male	pé	pénak	pének	nek	2	6	-4	0	1	0	0	0	0	0	0	0
173	11	23	male	ortávít	ortávítnek	ortávítnak	nak	6	2	4	1	0	0	0	0	0	0	0	0
247	18	34	female	kupirih	kupirihnak	kupirihnek	nak	7	1	6	1	0	0	1	0	0	0	0	0
251	18	34	female	gye	gyénak	gyének	nak	7	1	6	0	1	1	0	0	0	0	0	0
279	21	44	male	grarki	grarkinak	grarkinek	nak	7	1	6	1	0	0	0	0	0	0	0	0
284	21	44	male	ogyet	ogyetnek	ogyetnak	nek	1	7	-6	1	1	1	0	0	0	0	0	0
296	25	32	male	átúngyér	átúngyérnek	átúngyérnak	nak	6	2	4	1	1	0	0	0	1	0	0	0
298	25	32	male	csit	csitnak	csitnek	nek	1	7	-6	0	0	0	0	0	0	0	0	0
302	25	32	male	páde	pádének	pádénak	nak	7	3	4	1	1	1	0	0	0	0	0	0
309	28	28	male	jasesztjig	jasesztjignak	jasesztjignek	nek	2	6	-4	1	0	0	1	0	0	0	0	0
316	27	26	male	rozeleg	rozelegnak	rozelegnek	nek	2	6	-4	1	1	1	1	0	0	0	0	0
317	28	28	male	nyokárik	nyokáriknak	nyokáriknek	nak	5	2	3	1	0	0	0	0	0	0	0	0
318	27	26	male	fer	fernak	fernek	nek	1	7	-6	0	1	1	0	0	1	0	0	0
322	27	26	male	számázmé	számázménak	számázmének	nek	4	4	0	1	1	0	0	0	0	0	0	0
328	28	28	male	búkregér	búkregérnek	búkregérnak	nek	1	7	-6	1	1	0	1	0	1	0	0	0
337	29	33	male	hástir	hástirnak	hástirnek	nak	7	3	4	1	0	0	0	0	1	0	0	0
338	29	33	male	klúdé	klúdének	klúdénak	nek	5	6	-1	1	1	0	0	0	0	0	0	0
342	29	33	male	hózít	hózítnak	hózítnek	nak	6	4	2	1	0	0	0	0	0	0	0	0
346	29	33	male	nér	nérnak	nérnek	nek	1	7	-6	0	1	0	0	0	1	0	0	0
353	33	34	male	mónket	mónketnak	mónketnek	nek	1	7	-6	1	1	1	0	0	0	0	0	0
363	33	34	male	prir	prirnek	prirnak	nek	1	7	-6	0	0	0	0	0	1	0	0	0
368	33	34	male	veg	vegnak	vegnek	nek	1	7	-6	0	1	1	0	0	0	0	0	0
378	32	30	female	kásé	kásénak	kásének	nak	6	1	5	1	1	0	0	0	0	0	0	0
385	32	30	female	kasztrorsik	kasztrorsiknak	kasztrorsiknek	nak	5	1	4	1	0	0	0	0	0	0	0	0
386	34	56	male	kózik	kóziknek	kóziknak	nak	7	1	6	1	0	0	0	0	0	0	0	0
404	34	56	male	tátélfet	tátélfetnak	tátélfetnek	nek	1	7	-6	1	1	1	1	0	0	0	0	0
407	36	45	male	áósek	áóseknak	áóseknek	nek	1	7	-6	1	1	1	0	0	0	0	0	0
420	36	45	male	kalev	kalevnek	kalevnak	nek	1	7	-6	1	1	1	0	0	0	0	0	0
491	42	59	female	josmig	josmignek	josmignak	nek	1	7	-6	1	0	0	0	0	0	0	0	0
496	42	59	female	káde	kádének	kádénak	nek	1	7	-6	1	1	1	0	0	0	0	0	0
524	46	49	female	get	getnak	getnek	nek	2	6	-4	0	1	1	0	0	0	0	0	0
545	46	49	female	hoprótszer	hoprótszernak	hoprótszernek	nek	2	6	-4	1	1	1	0	0	1	0	0	0
554	46	49	female	vordidé	vordidének	vordidénak	nek	3	6	-3	1	1	0	1	0	0	0	0	0
576	48	54	male	plokvé	plokvének	plokvénak	nek	4	7	-3	1	1	0	0	0	0	0	0	0
581	48	54	male	konyig	konyignek	konyignak	nak	7	6	1	1	0	0	0	0	0	0	0	0
591	49	52	male	fátir	fátirnek	fátirnak	nek	3	7	-4	1	0	0	0	0	1	0	0	0
599	49	52	male	savik	saviknak	saviknek	nak	6	3	3	1	0	0	0	0	0	0	0	0
600	49	52	male	gyokcet	gyokcetnek	gyokcetnak	nek	2	7	-5	1	1	1	0	0	0	0	0	0
611	52	64	female	gir	girnek	girnak	nek	5	7	-2	0	0	0	0	0	1	0	0	0
614	52	64	female	ik	iknek	iknak	nek	4	7	-3	0	0	0	0	0	0	0	0	0
630	53	59	female	hártelyzek	hártelyzeknek	hártelyzeknak	nek	2	7	-5	1	1	1	1	0	0	0	0	0
631	53	59	female	fálenér	fálenérnek	fálenérnak	nak	7	2	5	1	1	0	1	0	1	0	0	0
632	53	59	female	fle	flének	flénak	nak	7	2	5	0	1	1	0	0	0	0	0	0
660	55	22	female	szónúgye	szónúgyének	szónúgyénak	nak	5	3	2	1	1	1	0	0	0	0	0	0
662	55	22	female	norótig	norótignak	norótignek	nak	5	3	2	1	0	0	0	0	0	0	0	0
668	56	27	female	nazemek	nazemeknak	nazemeknek	nek	2	6	-4	1	1	1	1	0	0	0	0	0
672	56	27	female	szócség	szócségnek	szócségnak	nek	2	6	-4	1	1	0	0	0	0	0	0	0
674	56	27	female	hanzállér	hanzállérnek	hanzállérnak	nak	5	3	2	1	1	0	0	0	1	0	0	0
700	60	31	female	szátit	szátitnak	szátitnek	nak	6	1	5	1	0	0	0	0	0	0	0	0
702	60	31	female	korvesztít	korvesztítnak	korvesztítnek	nek	5	6	-1	1	0	0	1	0	0	0	0	0
712	61	28	male	jit	jitnek	jitnak	nek	1	7	-6	0	0	0	0	0	0	0	0	0
724	61	28	male	plíg	plígnak	plígnek	nek	1	7	-6	0	0	0	0	0	0	0	0	1
751	63	27	female	mámloszé	mámloszénak	mámloszének	nek	5	7	-2	1	1	0	0	0	0	0	0	0
752	63	27	female	honyit	honyitnek	honyitnak	nak	7	3	4	1	0	0	0	0	0	0	0	0
755	64	18	female	dólték	dóltéknak	dóltéknek	nak	7	3	4	1	1	0	0	0	0	0	0	0
757	64	18	female	szaírfik	szaírfiknek	szaírfiknak	nek	3	7	-4	1	0	0	1	0	0	0	0	0
776	65	35	female	fágyét	fágyétnek	fágyétnak	nak	7	6	1	1	1	0	0	0	0	0	0	0
780	65	35	female	gyer	gyernak	gyernek	nek	2	7	-5	0	1	1	0	0	1	0	0	0
785	65	35	female	kújánzé	kújánzénak	kújánzének	nek	6	7	-1	1	1	0	0	0	0	0	0	0
788	66	26	female	tázardik	tázardiknak	tázardiknek	nak	7	1	6	1	0	0	0	0	0	0	0	0
789	66	26	female	kalmír	kalmírnek	kalmírnak	nak	7	1	6	1	0	0	0	0	1	0	0	0
792	66	26	female	ácse	ácsénak	ácsének	nak	6	2	4	1	1	1	0	0	0	0	0	0
800	67	30	male	szobojtit	szobojtitnak	szobojtitnek	nak	6	2	4	1	0	0	0	0	0	0	0	0
802	67	30	male	té	ténak	tének	nek	1	7	-6	0	1	0	0	0	0	0	0	0
808	67	30	male	kogyozer	kogyozernek	kogyozernak	nek	1	7	-6	1	1	1	0	0	1	0	0	0
841	71	26	female	ganvi	ganvinek	ganvinak	nak	5	4	1	1	0	0	0	0	0	0	0	0
850	71	26	female	fándék	fándéknak	fándéknek	nak	5	3	2	1	1	0	0	0	0	0	0	0
852	71	26	female	kákoler	kákolernak	kákolernek	nek	3	5	-2	1	1	1	0	0	1	0	0	0
855	72	50	female	nyozeg	nyozegnek	nyozegnak	nak	7	4	3	1	1	1	0	0	0	0	0	0
858	72	50	female	kándézek	kándézeknak	kándézeknek	nek	2	7	-5	1	1	1	1	0	0	0	0	0
859	72	50	female	tuttér	tuttérnak	tuttérnek	nak	7	4	3	1	1	0	0	0	1	0	0	0
895	76	18	female	dúlmí	dúlmínek	dúlmínak	nak	7	1	6	1	0	0	0	0	0	0	0	0
902	76	18	female	sortek	sorteknak	sorteknek	nak	4	3	1	1	1	1	0	0	0	0	0	0
942	82	32	male	nubóner	nubónernek	nubónernak	nak	6	4	2	1	1	1	0	0	1	0	0	0
943	82	32	male	kórádég	kórádégnak	kórádégnek	nak	6	4	2	1	1	0	0	0	0	0	0	0
947	82	32	male	ompi	ompinek	ompinak	nak	7	4	3	1	0	0	0	0	0	0	0	0
985	86	33	female	katir	katirnek	katirnak	nak	6	2	4	1	0	0	0	0	1	0	0	0
991	86	33	female	túrgogé	túrgogénak	túrgogének	nak	7	1	6	1	1	0	0	0	0	0	0	0
994	86	33	female	kóaze	kóazénak	kóazének	nak	7	1	6	1	1	1	0	0	0	0	0	0
1024	89	35	male	kárék	káréknak	káréknek	nak	7	5	2	1	1	0	0	0	0	0	0	0
1026	89	35	male	mosirer	mosirernek	mosirernak	nek	5	7	-2	1	1	1	1	0	1	0	0	0
1029	89	35	male	ulólmít	ulólmítnek	ulólmítnak	nak	7	6	1	1	0	0	0	0	0	0	0	0
1034	90	42	male	darúti	darútinek	darútinak	nak	7	3	4	1	0	0	0	0	0	0	0	0
1042	90	42	male	fávi	fávinek	fávinak	nak	7	1	6	1	0	0	0	0	0	0	0	0
1046	90	42	male	csuékir	csuékirnek	csuékirnak	nek	2	6	-4	1	0	0	1	0	1	0	0	0
1062	92	33	male	mánótér	mánótérnak	mánótérnek	nek	4	6	-2	1	1	0	0	0	1	0	0	0
1065	92	33	male	csolferet	csolferetnek	csolferetnak	nek	3	6	-3	1	1	1	1	0	0	0	0	0
1070	92	33	male	csogek	csogeknak	csogeknek	nek	4	6	-2	1	1	1	0	0	0	0	0	0
1071	92	33	male	kec	kecnak	kecnek	nek	3	6	-3	0	1	1	0	0	0	1	0	0
1078	94	29	male	nanye	nanyénak	nanyének	nak	7	4	3	1	1	1	0	0	0	0	0	0
1090	94	29	male	kagópzev	kagópzevnak	kagópzevnek	nek	2	7	-5	1	1	1	0	0	0	0	0	0
1133	98	50	female	hápsugég	hápsugégnak	hápsugégnek	nak	7	1	6	1	1	0	0	0	0	0	0	0
1135	98	50	female	azde	azdének	azdénak	nak	7	1	6	1	1	1	0	0	0	0	0	0
1147	98	50	female	cér	cérnek	cérnak	nek	1	7	-6	0	1	0	0	0	1	0	0	0
1155	99	27	male	vé	vének	vénak	nek	4	5	-1	0	1	0	0	0	0	0	0	0
1164	100	21	male	tig	tignak	tignek	nek	1	7	-6	0	0	0	0	0	0	0	0	0
1167	100	21	male	trolér	trolérnak	trolérnek	nak	7	1	6	1	1	0	0	0	1	0	0	0
1168	100	21	male	mágék	mágéknak	mágéknek	nak	7	1	6	1	1	0	0	0	0	0	0	0
1175	101	36	male	fájcid	fájcidnek	fájcidnak	nak	6	4	2	1	0	0	0	0	0	0	0	0
1176	101	36	male	hér	hérnek	hérnak	nek	1	7	-6	0	1	0	0	0	1	0	0	0
1181	101	36	male	glé	glénak	glének	nek	1	7	-6	0	1	0	0	0	0	0	0	0
