row_number	subject_code	subject_age	subject_sex	stem	1st_option	2nd_option	option_chosen	nak_rating	nek_rating	nak_advantage	predicted_sr	predicted_nAk
113	5	23	female	nazék	nazéknek	nazéknak	nak	6	2	4	nazéknak	nak
118	5	23	female	vúnték	vúntéknak	vúntéknek	nak	4	3	1	vúntéknak	nak
121	5	23	female	gir	girnak	girnek	nek	1	7	-6	girnek	nek
130	7	26	female	kávíd	kávídnek	kávídnak	nak	7	1	6	kávídnak	nak
131	7	26	female	fokreg	fokregnak	fokregnek	nak	6	6	0	fokregnak	nak
160	11	23	male	ir	irnek	irnak	nek	1	7	-6	irnek	nek
172	11	23	male	pé	pénak	pének	nek	2	6	-4	pének	nek
173	11	23	male	ortávít	ortávítnek	ortávítnak	nak	6	2	4	ortávítnak	nak
247	18	34	female	kupirih	kupirihnak	kupirihnek	nak	7	1	6	kupirihnak	nak
279	21	44	male	grarki	grarkinak	grarkinek	nak	7	1	6	grarkinak	nak
296	25	32	male	átúngyér	átúngyérnek	átúngyérnak	nak	6	2	4	átúngyérnak	nak
298	25	32	male	csit	csitnak	csitnek	nek	1	7	-6	csitnek	nek
302	25	32	male	páde	pádének	pádénak	nak	7	3	4	pádenak	nak
317	28	28	male	nyokárik	nyokáriknak	nyokáriknek	nak	5	2	3	nyokáriknak	nak
318	27	26	male	fer	fernak	fernek	nek	1	7	-6	fernek	nek
337	29	33	male	hástir	hástirnak	hástirnek	nak	7	3	4	hástirnak	nak
342	29	33	male	hózít	hózítnak	hózítnek	nak	6	4	2	hózítnak	nak
346	29	33	male	nér	nérnak	nérnek	nek	1	7	-6	nérnek	nek
363	33	34	male	prir	prirnek	prirnak	nek	1	7	-6	prirnek	nek
368	33	34	male	veg	vegnak	vegnek	nek	1	7	-6	vegnek	nek
378	32	30	female	kásé	kásénak	kásének	nak	6	1	5	kásénak	nak
385	32	30	female	kasztrorsik	kasztrorsiknak	kasztrorsiknek	nak	5	1	4	kasztrorsiknak	nak
386	34	56	male	kózik	kóziknek	kóziknak	nak	7	1	6	kóziknak	nak
524	46	49	female	get	getnak	getnek	nek	2	6	-4	getnek	nek
581	48	54	male	konyig	konyignek	konyignak	nak	7	6	1	konyignak	nak
599	49	52	male	savik	saviknak	saviknek	nak	6	3	3	saviknak	nak
611	52	64	female	gir	girnek	girnak	nek	5	7	-2	girnek	nek
614	52	64	female	ik	iknek	iknak	nek	4	7	-3	iknek	nek
631	53	59	female	fálenér	fálenérnek	fálenérnak	nak	7	2	5	fálenérnak	nak
660	55	22	female	szónúgye	szónúgyének	szónúgyénak	nak	5	3	2	szónúgyenak	nak
662	55	22	female	norótig	norótignak	norótignek	nak	5	3	2	norótignak	nak
674	56	27	female	hanzállér	hanzállérnek	hanzállérnak	nak	5	3	2	hanzállérnak	nak
700	60	31	female	szátit	szátitnak	szátitnek	nak	6	1	5	szátitnak	nak
712	61	28	male	jit	jitnek	jitnak	nek	1	7	-6	jitnek	nek
724	61	28	male	plíg	plígnak	plígnek	nek	1	7	-6	plígnek	nek
752	63	27	female	honyit	honyitnek	honyitnak	nak	7	3	4	honyitnak	nak
755	64	18	female	dólték	dóltéknak	dóltéknek	nak	7	3	4	dóltéknak	nak
776	65	35	female	fágyét	fágyétnek	fágyétnak	nak	7	6	1	fágyétnak	nak
780	65	35	female	gyer	gyernak	gyernek	nek	2	7	-5	gyernek	nek
788	66	26	female	tázardik	tázardiknak	tázardiknek	nak	7	1	6	tázardiknak	nak
789	66	26	female	kalmír	kalmírnek	kalmírnak	nak	7	1	6	kalmírnak	nak
792	66	26	female	ácse	ácsénak	ácsének	nak	6	2	4	ácsenak	nak
800	67	30	male	szobojtit	szobojtitnak	szobojtitnek	nak	6	2	4	szobojtitnak	nak
802	67	30	male	té	ténak	tének	nek	1	7	-6	tének	nek
841	71	26	female	ganvi	ganvinek	ganvinak	nak	5	4	1	ganvinak	nak
850	71	26	female	fándék	fándéknak	fándéknek	nak	5	3	2	fándéknak	nak
855	72	50	female	nyozeg	nyozegnek	nyozegnak	nak	7	4	3	nyozegnak	nak
859	72	50	female	tuttér	tuttérnak	tuttérnek	nak	7	4	3	tuttérnak	nak
895	76	18	female	dúlmí	dúlmínek	dúlmínak	nak	7	1	6	dúlmínak	nak
902	76	18	female	sortek	sorteknak	sorteknek	nak	4	3	1	sorteknak	nak
942	82	32	male	nubóner	nubónernek	nubónernak	nak	6	4	2	nubónernak	nak
943	82	32	male	kórádég	kórádégnak	kórádégnek	nak	6	4	2	kórádégnak	nak
947	82	32	male	ompi	ompinek	ompinak	nak	7	4	3	ompinak	nak
985	86	33	female	katir	katirnek	katirnak	nak	6	2	4	katirnak	nak
991	86	33	female	túrgogé	túrgogénak	túrgogének	nak	7	1	6	túrgogénak	nak
994	86	33	female	kóaze	kóazénak	kóazének	nak	7	1	6	kóazenak	nak
1024	89	35	male	kárék	káréknak	káréknek	nak	7	5	2	káréknak	nak
1029	89	35	male	ulólmít	ulólmítnek	ulólmítnak	nak	7	6	1	ulólmítnak	nak
1034	90	42	male	darúti	darútinek	darútinak	nak	7	3	4	darútinak	nak
1042	90	42	male	fávi	fávinek	fávinak	nak	7	1	6	fávinak	nak
1071	92	33	male	kec	kecnak	kecnek	nek	3	6	-3	kecnek	nek
1078	94	29	male	nanye	nanyénak	nanyének	nak	7	4	3	nanyenak	nak
1133	98	50	female	hápsugég	hápsugégnak	hápsugégnek	nak	7	1	6	hápsugégnak	nak
1135	98	50	female	azde	azdének	azdénak	nak	7	1	6	azdenak	nak
1147	98	50	female	cér	cérnek	cérnak	nek	1	7	-6	cérnek	nek
1155	99	27	male	vé	vének	vénak	nek	4	5	-1	vének	nek
1164	100	21	male	tig	tignak	tignek	nek	1	7	-6	tignek	nek
1167	100	21	male	trolér	trolérnak	trolérnek	nak	7	1	6	trolérnak	nak
1168	100	21	male	mágék	mágéknak	mágéknek	nak	7	1	6	mágéknak	nak
1175	101	36	male	fájcid	fájcidnek	fájcidnak	nak	6	4	2	fájcidnak	nak
1176	101	36	male	hér	hérnek	hérnak	nek	1	7	-6	hérnek	nek
1181	101	36	male	glé	glénak	glének	nek	1	7	-6	glének	nek
1202	103	45	female	hev	hevnak	hevnek	nek	1	7	-6	hevnek	nek
1215	105	29	female	lí	línak	línek	nek	1	7	-6	línek	nek
1310	116	31	male	zagye	zagyénak	zagyének	nak	7	1	6	zagyenak	nak
1315	116	31	male	assezpir	assezpirnak	assezpirnek	nak	6	1	5	assezpirnak	nak
1319	116	31	male	szodóné	szodónénak	szodónének	nak	6	3	3	szodónénak	nak
1333	118	31	female	ir	irnek	irnak	nek	1	7	-6	irnek	nek
1359	121	38	male	cej	cejnek	cejnak	nek	2	6	-4	cejnek	nek
1396	124	35	female	fone	fonének	fonénak	nak	7	1	6	fonenak	nak
1407	125	32	female	vuvsé	vuvsénak	vuvsének	nak	6	3	3	vuvsénak	nak
1415	125	32	female	kází	kázínak	kázínek	nak	5	4	1	kázínak	nak
1422	130	24	male	zsí	zsínek	zsínak	nek	2	7	-5	zsínek	nek
1461	133	32	female	hándég	hándégnek	hándégnak	nak	7	1	6	hándégnak	nak
1467	133	32	female	fázdir	fázdirnak	fázdirnek	nak	7	1	6	fázdirnak	nak
1480	135	40	female	kóde	kódének	kódénak	nak	6	1	5	kódenak	nak
1486	135	40	female	cir	cirnek	cirnak	nek	1	7	-6	cirnek	nek
1493	134	19	male	málle	mállének	mállénak	nak	6	4	2	mállenak	nak
1497	134	19	male	kungodét	kungodétnek	kungodétnak	nak	6	3	3	kungodétnak	nak
1503	138	30	female	fí	fínak	fínek	nek	1	7	-6	fínek	nek
1548	143	55	female	teg	tegnak	tegnek	nek	1	5	-4	tegnek	nek
1563	144	58	female	báragzit	báragzitnek	báragzitnak	nak	5	4	1	báragzitnak	nak
1586	147	30	female	eg	egnak	egnek	nek	1	7	-6	egnek	nek
1603	147	30	female	jarli	jarlinek	jarlinak	nak	7	1	6	jarlinak	nak
1608	148	21	female	ongolje	ongoljénak	ongoljének	nak	5	5	0	ongoljenak	nak
1612	148	21	female	pranfárte	pranfártének	pranfárténak	nak	6	5	1	pranfártenak	nak
1618	149	50	female	keg	kegnek	kegnak	nek	1	7	-6	kegnek	nek
1646	151	60	female	atálek	atáleknek	atáleknak	nak	6	3	3	atáleknak	nak
1653	152	23	male	mágodék	mágodéknak	mágodéknek	nak	7	1	6	mágodéknak	nak
1676	154	40	male	tokik	tokiknak	tokiknek	nak	5	1	4	tokiknak	nak
1691	155	30	male	lér	lérnak	lérnek	nek	1	7	-6	lérnek	nek
1698	155	30	male	ket	ketnek	ketnak	nek	1	7	-6	ketnek	nek
1711	156	70	male	cseg	csegnek	csegnak	nek	1	7	-6	csegnek	nek
1825	165	47	male	nég	négnek	négnak	nek	1	7	-6	négnek	nek
1828	165	47	male	fer	fernak	fernek	nek	1	7	-6	fernek	nek
1859	168	31	female	fazdi	fazdinak	fazdinek	nak	7	1	6	fazdinak	nak
1869	169	39	male	olit	olitnek	olitnak	nak	5	3	2	olitnak	nak
1884	170	31	female	fré	frénak	frének	nek	1	7	-6	frének	nek
1887	170	31	female	rufgore	rufgorének	rufgorénak	nak	7	1	6	rufgorenak	nak
1894	171	24	female	almoi	almoinak	almoinek	nak	7	1	6	almoinak	nak
1896	171	24	female	arve	arvénak	arvének	nak	7	1	6	arvenak	nak
1915	172	21	female	feg	fegnek	fegnak	nek	1	7	-6	fegnek	nek
1964	176	36	male	astole	astolének	astolénak	nak	4	3	1	astolenak	nak
1965	176	36	male	ahote	ahoténak	ahotének	nak	5	3	2	ahotenak	nak
1988	178	30	female	ányég	ányégnek	ányégnak	nak	7	4	3	ányégnak	nak
2020	181	18	female	agi	aginek	aginak	nak	7	2	5	aginak	nak
2032	182	30	male	fóler	fólernak	fólernek	nak	4	3	1	fólernak	nak
2051	183	29	male	dogég	dogégnak	dogégnek	nak	7	1	6	dogégnak	nak
2055	183	29	male	juzalé	juzalének	juzalénak	nak	7	1	6	juzalénak	nak
2074	186	56	female	bókték	bóktéknek	bóktéknak	nak	6	3	3	bóktéknak	nak
2091	187	18	female	kagúli	kagúlinak	kagúlinek	nak	5	4	1	kagúlinak	nak
2107	188	57	female	sér	sérnak	sérnek	nek	2	6	-4	sérnek	nek
2113	189	38	female	szulke	szulkénak	szulkének	nak	5	2	3	szulkenak	nak
2117	189	38	female	holer	holernek	holernak	nak	6	4	2	holernak	nak
2123	189	38	female	álambé	álambénak	álambének	nak	6	6	0	álambénak	nak
2133	191	38	female	krec	krecnek	krecnak	nek	1	6	-5	krecnek	nek
2134	191	38	female	kik	kiknek	kiknak	nek	2	6	-4	kiknek	nek
2139	191	38	female	batáte	batáténak	batátének	nak	7	1	6	batátenak	nak
2153	193	33	female	marmatit	marmatitnak	marmatitnek	nak	7	1	6	marmatitnak	nak
2169	194	34	female	gyé	gyének	gyénak	nek	1	7	-6	gyének	nek
2174	194	34	female	szaklollir	szaklollirnak	szaklollirnek	nak	7	1	6	szaklollirnak	nak
2177	194	34	female	teg	tegnek	tegnak	nek	1	7	-6	tegnek	nek
2187	195	35	female	szig	szignak	szignek	nek	1	7	-6	szignek	nek
2191	195	35	female	pli	plinek	plinak	nek	1	7	-6	plinek	nek
2198	196	26	male	cé	cének	cénak	nek	3	7	-4	cének	nek
2201	196	26	male	makse	maksének	maksénak	nak	7	3	4	maksenak	nak
2274	203	18	male	ozugyve	ozugyvénak	ozugyvének	nak	7	1	6	ozugyvenak	nak
