subject_code	subject_age	subject_sex	stem	predicted_sr	predicted_nAk	option_chosen	nak_rating	nek_rating	nak_advantage	vowel_label
64	18	female	szaírfik	szaírfiknak	nak	nek	3	7	-4	BNN
181	18	female	szakek	szakeknak	nak	nek	4	6	-2	BN
181	18	female	bancsnemer	bancsnemernak	nak	nek	3	6	-3	BNN
187	18	female	kamodíf	kamodífnak	nak	nek	2	5	-3	BN
238	18	male	kápeh	kápehnak	nak	nek	1	7	-6	BN
294	18	male	dagysék	dagyséknak	nak	nek	4	6	-2	BN
263	19	female	kalég	kalégnak	nak	nek	2	6	-4	BN
134	19	male	szodrísszher	szodrísszhernak	nak	nek	1	7	-6	BNN
230	20	female	ósésszer	ósésszernak	nak	nek	1	7	-6	BNN
230	20	female	gyábisztér	gyábisztérnak	nak	nek	1	7	-6	BNN
234	20	female	bálseg	bálsegnak	nak	nek	3	7	-4	BN
274	20	female	szárdóncse	szárdóncsenak	nak	nek	3	7	-4	BN
274	20	female	arjázi	arjázinak	nak	nek	4	7	-3	BN
221	20	male	katelir	katelirnak	nak	nek	1	7	-6	BNN
172	21	female	válkiszeg	válkiszegnak	nak	nek	1	7	-6	BNN
205	21	male	rater	raternak	nak	nek	2	6	-4	BN
205	21	male	mailkék	mailkéknak	nak	nek	2	6	-4	BNN
152	23	male	táimlet	táimletnak	nak	nek	1	7	-6	BNN
160	24	female	pátóze	pátózenak	nak	nek	5	7	-2	BN
160	24	female	mákser	máksernak	nak	nek	5	7	-2	BN
304	24	female	sánbánser	sánbánsernak	nak	nek	1	6	-5	BN
304	24	female	komégyik	komégyiknak	nak	nek	4	6	-2	BNN
304	24	female	ármenyte	ármenytenak	nak	nek	3	5	-2	BNN
130	24	male	kartegik	kartegiknak	nak	nek	2	7	-5	BNN
7	26	female	fuksir	fuksirnak	nak	nek	4	7	-3	BN
71	26	female	kákoler	kákolernak	nak	nek	3	5	-2	BN
27	26	male	rozeleg	rozelegnak	nak	nek	2	6	-4	BNN
196	26	male	raszser	raszsernak	nak	nek	3	7	-4	BN
56	27	female	nazemek	nazemeknak	nak	nek	2	6	-4	BNN
56	27	female	szócség	szócségnak	nak	nek	2	6	-4	BN
63	27	female	mámloszé	mámloszénak	nak	nek	5	7	-2	BN
296	28	female	ocet	ocetnak	nak	nek	3	5	-2	BN
28	28	male	jasesztjig	jasesztjignak	nak	nek	2	6	-4	BNN
28	28	male	búkregér	búkregérnak	nak	nek	1	7	-6	BNN
105	29	female	rápárer	rápárernak	nak	nek	1	7	-6	BN
105	29	female	házegyig	házegyignak	nak	nek	1	7	-6	BNN
94	29	male	kagópzev	kagópzevnak	nak	nek	2	7	-5	BN
183	29	male	háráver	hárávernak	nak	nek	1	7	-6	BN
138	30	female	vuguzé	vuguzénak	nak	nek	1	7	-6	BN
178	30	female	dodvi	dodvinak	nak	nek	4	6	-2	BN
67	30	male	kogyozer	kogyozernak	nak	nek	1	7	-6	BN
155	30	male	rómattér	rómattérnak	nak	nek	1	7	-6	BN
155	30	male	ódikeg	ódikegnak	nak	nek	1	7	-6	BNN
182	30	male	gyómdét	gyómdétnak	nak	nek	2	6	-4	BN
182	30	male	prafég	prafégnak	nak	nek	1	6	-5	BN
207	30	male	rányvet	rányvetnak	nak	nek	1	6	-5	BN
207	30	male	polmener	polmenernak	nak	nek	1	7	-6	BNN
207	30	male	hálkeg	hálkegnak	nak	nek	1	7	-6	BN
118	31	female	lonyé	lonyénak	nak	nek	1	7	-6	BN
118	31	female	szánéjik	szánéjiknak	nak	nek	1	7	-6	BNN
168	31	female	sartéze	sartézenak	nak	nek	1	7	-6	BNN
170	31	female	ódátér	ódátérnak	nak	nek	1	7	-6	BN
214	31	male	tokindég	tokindégnak	nak	nek	3	6	-3	BNN
133	32	female	akimé	akiménak	nak	nek	1	7	-6	BNN
92	33	male	mánótér	mánótérnak	nak	nek	4	6	-2	BN
92	33	male	csolferet	csolferetnak	nak	nek	3	6	-3	BNN
