Word,Frequency
éva,31
szépen,367
fogsz,55
fözni,7
nem,5763
jó,3878
mit,1570
füz,1
füzöl,2
golyót,12
milyen,492
szinü,15
ez,2491
a,11195
golyó,16
és,2073
még,885
meg,1760
pirosak,1
zöld,111
az,4074
piros,112
hozd,93
jól,243
van,3744
haza,29
megyek,110
mész,116
szervusz,75
keresd,84
köszönöm,293
na,1136
most,1431
zöldet,22
itt,2063
mi,1407
hazamegyünk,1
vonattal,12
kérdezd,15
tőle,29
hogy,1432
fáergá,1
igen,1497
oh,30
visszaadja,4
Barna,381
bácsi,686
nincsen,131
ellopott,1
több,28
nézd,400
benne,129
adjál,52
többet,39
tudsz,87
adni,33
nagyon,798
szegény,125
vagyok,242
mert,573
nincs,463
golyóm,1
tizenkilenc,2
tessék,673
mindenki,46
csak,1007
beszél,35
egy,1583
picit,79
csinál,269
kutya,95
ugat,7
igy,37
nagyszerü,6
kutyus,164
nézz,217
ide,1014
szimatol,1
megy,328
nyom,2
után,17
megvan,32
Évike,25
téged,62
keresett,3
hol,1208
füle,42
ott,1444
másik,375
szája,46
min,7
áll,45
kell,1145
mondani,35
azt,870
amit,43
én,1432
mondok,5
ejnye,55
Éva,53
tudod,524
nekem,501
kutyusnak,12
keze,18
kutyának,4
lába,65
négy,39
szeret,19
enni,107
ebédelni,26
hús,8
csontot,1
mondd,122
Viktor,25
kérdez,1
tőled,14
mondjad,60
hanem,67
hallottad,3
visszateszem,8
kérem,328
majd,487
visszatesze,1
ne,785
vidd,26
el,599
Géza,1
is,2171
micsoda,166
kekem,1
ő,38
hangja,8
kérsz,281
előbb,5
kicsit,222
azután,17
odaadja,7
neked,451
de,1312
összegörbitsd,1
gyenge,3
legény,1
vagy,889
vedd,113
Gézától,1
mindjárt,213
odaadom,19
kettő,79
Gyurika,28
fogadj,2
szót,9
képzeld,11
ittam,8
kávét,32
tejes,2
fekete,56
állat,34
fáj,286
valamilye,1
fáradt,23
oroszlán,40
miért,336
sír,84
azért,165
neki,338
bajusza,25
bajuszom,5
sírok,11
látod,327
görbe,7
szegénynek,3
melyik,137
hát,751
te,1203
vigasztald,1
fogd,56
füled,4
sírjál,43
sütve,3
meggyógyitom,2
fülecskéje,1
azelőtt,1
fájott,1
szegenyke,1
csinált,64
pisilt,6
be,516
törültél,1
aj,20
náthás,11
beteg,50
csinálsz,230
gyógyitom,1
évike,24
fözöl,6
rétest,1
rétes,1
megint,92
lepisilte,1
ilyen,156
nagy,488
mégis,6
ilyesmit,5
gyertek,25
ágy,27
takard,4
rajta,59
szép,491
paplan,3
jaj,573
fázik,8
adja,18
folyik,15
vér,4
lábán,7
fehérrel,1
megstoppoljuk,1
énnekem,7
kékem,1
kicsi,329
kék,46
helyen,7
persze,44
vérzik,10
megszelyelt,1
simitsd,1
szegénykémnek,1
meggyógyultam,1
aranyos,82
voltál,56
meggyógyitottad,1
elmegy,37
csavarogni,2
öserdöbe,1
pista,3
azonnal,24
összeszedni,3
légy,50
szives,15
már,593
meggyógyult,19
anyuka,17
boci,11
farka,27
kivánsz,1
értem,26
végig,6
takarni,3
fejét,8
igaza,2
Magdi,25
néni,374
betakarja,1
alszik,87
biztos,65
álmos,9
lehet,374
fáradva,1
úgy,480
gondolom,6
éhes,41
valamit,122
akar,40
ebédre,2
vacsorát,2
lesz,559
vacsora,3
csecsemő,12
ki,903
szegényke,7
szabad,477
kivenni,34
megszurjátok,1
egymást,5
fölösleges,1
játék,57
akkor,1182
elvisz,1
kiesik,1
helikopter,8
gurigázzunk,1
ezt,670
vegyük,29
le,642
kötényt,19
mondta,58
adta,9
oda,886
odaadni,17
odaadani,1
megnézzem,2
Dini,4
ügyes,180
egyél,21
essen,10
vigyázz,259
vigyázol,8
igyekezz,1
goromba,1
gyere,831
Gabi,25
Évikém,17
beszélj,20
ám,22
uh,16
hum,2
levest,12
finom,142
eltesszük,10
zöldséget,7
pucolni,2
reszelő,20
reszelni,1
csukni,6
ajtót,33
fözök,4
aztán,127
odaraktam,1
fölrakod,1
föl,216
akarod,56
tenni,37
vissza,346
beszélni,29
közben,12
betetted,3
doted,1
sok,166
adod,43
így,392
no,6
nyitni,12
nyiss,3
kinyitottad,5
gázt,3
fölteszed,1
lábast,1
tedd,151
eltettem,2
gázra,1
rakni,38
bele,153
sütjük,1
süteményt,3
föltettem,4
sütemény,6
u,8
mivel,76
fogjuk,10
megtölteni,2
megfött,3
sül,1
pirul,1
gyujtani,1
oltani,1
erre,45
kinyitni,26
veszed,12
belőle,22
segitsek,8
kisebb,10
fér,58
teszem,33
ebbe,59
várjál,240
segitek,1
készen,25
mosd,23
elmosod,1
utána,57
adok,69
eltörölgetni,1
ügyesen,49
letörültem,1
zárd,6
minden,39
közösen,1
fözzetek,2
ebédet,24
sikerült,15
tovább,20
reklamálják,1
mindig,63
valami,117
forditva,3
tészta,14
elcsúszik,1
betettem,4
lássam,6
egyszer,105
játszok,8
betesszük,15
reszelőt,3
finomat,10
kináljatok,1
minket,5
visszatettem,7
belefér,15
aztat,7
menni,138
ezekbe,1
kis,638
lyukakba,1
vegyétek,1
fö,1
ebéd,40
kiszedni,5
állitani,2
lábosokat,1
sajt,6
sajtos,2
palacsinta,6
megsült,1
kinek,96
hasa,33
gyereknek,3
leszedjük,3
asztalt,25
teritjük,1
ezzel,107
vizes,23
asztal,37
mosogatásban,1
elszakadt,8
gyerek,60
tudom,197
baja,28
csukd,23
kikáka,1
szó,7
veletek,4
fogok,30
valakinek,4
valaki,29
nek,3
Viktornak,2
sokat,52
ette,7
evett,10
gulyás,1
pörkölt,5
Kornélnak,4
kávé,20
villa,14
kanál,20
eszünk,16
ebéded,1
igaz,80
törve,8
fogom,32
megenni,12
ha,327
akarsz,160
megeszem,17
eszem,10
eszed,4
esz,4
eszik,41
galuskával,1
reszelsz,1
elég,83
kérünk,12
pörköltöt,1
hozni,17
konyhából,1
oldalon,5
láthat,1
másikat,58
volt,427
takaritani,4
já,1
hülyéskedj,1
fújni,8
fujjad,6
száddal,3
orral,1
segits,3
mer,15
háta,8
visszatesszük,14
visszatenni,6
semmi,75
pohár,21
gyönyörü,26
lett,73
venni,42
Kornél,3
lefeküdt,7
lusta,3
kitalálják,1
ilyenkor,8
feküdni,14
akarnak,5
hasad,15
úgye,218
fényes,1
ügyesek,3
vagytok,42
bácsival,10
együtt,36
akarja,19
kakaót,9
mostoha,1
kaptam,19
zsebedbe,17
csinálok,60
angyalt,2
izlik,8
magyar,3
koszt,7
szobába,40
visszamenni,13
tepsi,13
vitte,12
malacok,4
láttam,27
tepsit,2
malac,13
elvitte,56
lelle,1
elszaladt,6
bement,20
kórházba,11
vinni,9
bevinni,1
hm,262
letesszük,1
figyelj,130
nyisd,28
beszorult,1
megnézed,7
nézze,10
beszorul,1
ujjad,17
egész,31
piszkos,134
kalács,2
láng,4
lángja,2
bedugni,2
sütö,1
hozom,128
ah,12
mézes,5
csináltok,14
kalácsot,4
szeretitek,1
Gyúrni,4
tésztát,4
hignak,1
lenni,25
lisztet,1
belerakni,2
sütöben,2
csinálod,13
dió,6
darálva,2
daráló,1
melyikkel,10
darált,1
fözöm,2
magasabbra,5
palacsintát,11
vele,100
föz,1
alacsonyan,2
kinyissuk,4
rágó,1
földobni,1
olyan,334
magas,36
alig,4
látom,108
magasra,5
hadd,78
nézzük,101
jön,295
kacsa,30
szeretnék,26
kakaó,8
vannak,158
kacsák,8
saláta,3
levelet,10
szereti,39
kukoricadarát,1
add,207
engedd,4
visszaadom,6
kacsát,8
letörölöd,1
mindent,31
letörülök,1
kacsá,1
poros,2
eszel,34
feltartja,1
háp,10
akarok,40
veszekedni,5
kacs,2
vége,37
kijött,23
feje,27
vendégünk,2
izlett,2
tönkrement,1
vendég,4
megsértödött,1
hazament,4
tapsi,3
játszunk,94
ragasztva,4
falon,4
fölakasztva,1
valahogy,11
ragasztani,1
elment,114
mérges,25
kapott,14
mért,65
csunya,182
mókus,68
elvenni,16
koros,1
mutasd,142
rókát,34
kérek,148
hintázni,4
csacsi,141
hintázunk,5
sokan,25
löktyek,1
löktek,1
csináljunk,127
sárgát,24
aki,40
csinálta,14
adsz,68
fehéret,16
pedig,122
feketét,27
pirosat,29
kéket,21
tegyük,76
szivem,7
csinálni,99
ezeket,35
rakjál,10
hagyjuk,13
feketél,1
tegyél,43
sárga,42
játszani,107
ezen,37
sarkon,2
tudok,70
segitsz,1
szönyegen,1
Éváé,6
köténye,4
egymás,11
mellé,16
tegyétek,2
fia,1
tesszük,19
se,81
olyat,20
oldálon,1
visszajöttek,2
gyerekek,94
odarakni,2
uj,29
sorat,1
először,32
pirost,6
hagyjad,6
enyém,68
en,11
mittegyél,1
teszi,6
jo,17
ami,28
adtál,26
mégegyszer,12
tegeyen,1
tegyen,1
két,122
mellett,9
más,28
összetépte,2
poci,1
visszamegy,9
ajándékoztam,2
fiut,3
Misi,15
néninek,25
rakjunk,7
szbad,8
sorban,7
ilyet,22
rakjuk,44
tojásot,1
fehér,47
fejéje,1
hova,460
maradni,8
órám,4
ezek,254
világit,3
kint,45
lámpa,31
Faludi,22
forditsak,2
párnát,15
csináljak,56
puska,33
kocka,48
igazi,24
úgyanazt,1
puskát,8
mint,79
pusákt,1
puskával,3
löni,5
szobában,23
belerakja,2
dobozt,15
lelötted,3
engem,38
motorkám,1
motor,28
rádio,18
belelöttem,1
rádióba,1
gyerkek,1
hány,67
rádió,22
kettó,3
három,91
elrontotta,8
rontotta,4
hivják,11
hivnak,12
Peti,10
Petike,2
mondasz,9
elrontottál,2
hétfön,1
birni,1
rossz,68
legjobb,11
legszebb,13
ahaja,1
szöke,1
hajam,14
mikor,66
fiatal,3
vizbe,51
eldobta,12
tóban,6
eldobtam,5
visszanö,1
ahányszor,1
