SF,Freq,Lemma,Analysis,Segmentation
szépen,367,szép,ADJ.NOM.SG-ON+ESS,szép-en
fogsz,55,fog,V.IND.PRS.INDF.3.SG-IND.PRS.INDF.2.SG,fog-sz
golyót,12,golyó,N.NOM-ACC,golyó-t
milyen,492,mily,mily-ON+ESS,mily-en
pirosak,1,piros,ADJ.NOM.SG-PL,piros-ak
hozd,93,hoz,V.IND.PRS.INDF.3.SG-PSS2S,hoz-d
megyek,110,megye,N.NOM-PL,megye-k
szervusz,75,szervu,szervu-IND.PRS.INDF.2.SG,szervu-sz
keresd,84,keres,V.IND.PRS.INDF.3.SG-PSS2S,keres-d
köszönöm,293,köszön,V.IND.PRS.INDF.3.SG-IND.PRS.DEF.1.SG,köszön-öm
most,1431,mos,V.IND.PRS.INDF.3.SG-ACC,mos-t
zöldet,22,zöld,ADJ.NOM.SG-ACC,zöld-et
hazamegyünk,1,hazamegy,hazamegy-PSS1P,hazamegy-ünk
kérdezd,15,kérdez,V.IND.PRS.INDF.3.SG-PSS2S,kérdez-d
visszaadja,4,visszaad,V.IND.PRS.INDF.3.SG-PSS3S,visszaad-ja
ellopott,1,ellop,V.IND.PRS.INDF.3.SG-V.PTCP.PST,ellop-ott
nézd,400,néz,V.IND.PRS.INDF.3.SG-PSS2S,néz-d
többet,39,több,ADJ.SG-ACC,több-et
tudsz,87,tud,V.IND.PRS.INDF.3.SG-IND.PRS.INDF.2.SG,tud-sz
adni,33,ad,V.IND.PRS.INDF.3.SG-NFIN,ad-ni
nagyon,798,nagy,ADJ.NOM.SG-ON+ESS,nagy-on
mert,573,mer,V.IND.PRS.INDF.3.SG-ACC,mer-t
golyóm,1,golyó,N.NOM-PSS1S,golyó-m
mindenki,46,m,N.NOM-PSS3S.PL-ON+ESS-PSS2S-PSS3S-PSS1P-PSS3S.PL,m-i-n-d-e-nk-i
picit,79,pici,ADJ.SG-ACC,pici-t
megvan,32,meg,meg-V.CVB-ON+ESS,meg-va-n
évike,25,év,N.NOM-PSS3P.PL-PSS3S,év-ik-e
téged,62,tég,tég-PSS2S,tég-ed
keresett,3,kereset,N.NOM-ACC,kereset-t
másik,375,más,ADJ.NOM.SG-PSS3P.PL,más-ik
mondani,35,monda,N.NOM-NFIN,monda-ni
mondok,5,mond,V.IND.PRS.INDF.3.SG-PL,mond-ok
tudod,524,tud,V.IND.PRS.INDF.3.SG-PSS2S,tud-od
enni,107,enn,N.NOM-PSS3S.PL,enn-i
ebédelni,26,ebédel,V.IND.PRS.INDF.3.SG-NFIN,ebédel-ni
csontot,1,csont,N.NOM-ACC,csont-ot
mondd,122,mond,V.IND.PRS.INDF.3.SG-PSS2S,mond-d
mondjad,60,mond,V.IND.PRS.INDF.3.SG-SBJV.PRS.INDF.2.SG-PSS2S.SG,mond-j-ad
hallottad,3,hall,V.IND.PRS.INDF.3.SG-IND.PST.DEF.2.SG,hall-ottad
visszateszem,8,vissza,N.NOM-IND.PST.DEF.3.SG-IND.PRS.INDF.2.SG-PSS1S,vissza-te-sz-em
kérem,328,kér,V.IND.PRS.INDF.3.SG-PSS1S,kér-em
majd,487,ma,N.NOM-SBJV.PRS.INDF.2.SG-PSS2S,ma-j-d
visszatesze,1,vissza,N.NOM-IND.PST.DEF.3.SG-IND.PRS.INDF.2.SG-PSS3S,vissza-te-sz-e
géza,1,géz,N.NOM-PSS3S,géz-a
hangja,8,hang,N.NOM-PSS3S,hang-ja
kérsz,281,kér,V.IND.PRS.INDF.3.SG-IND.PRS.INDF.2.SG,kér-sz
kicsit,222,kicsi,ADJ.SG-ACC,kicsi-t
odaadja,7,odaad,V.IND.PRS.INDF.3.SG-PSS3S,odaad-ja
összegörbitsd,1,összegörbits,összegörbits-PSS2S,összegörbits-d
gézától,1,gézá,gézá-AT+ABL,gézá-tól
mindjárt,213,mindjár,mindjár-ACC,mindjár-t
