Word,Frequency
igen,1729
szépen,128
még,488
kérek,123
ilyet,32
jó,903
te,439
csunya,86
vagy,145
fözel,1
neked,90
is,1371
adják,3
számoljál,15
nekem,306
neki,55
de,475
golyót,7
kék,19
ez,1409
zöld,40
van,1006
itt,1128
a,3937
sárgácska,1
sárga,20
ott,1126
milyen,65
szinü,2
na,370
már,143
többet,14
ne,722
vegyel,1
nincsen,30
kérem,311
mit,202
csinál,55
kutya,67
va,30
ugat,3
úgy,72
nem,3884
mentem,7
tôl,2
po,26
pu,10
pop,1
szeme,20
orra,4
szája,12
keze,15
lába,17
tésztát,1
és,450
levest,4
álljál,3
föl,48
állj,7
lábát,8
kis,110
micsoda,7
tedd,39
vissza,99
ô,31
elvette,48
tôlem,14
csak,328
adja,13
oda,856
kecske,3
nézz,170
ide,536
meg,561
tessék,284
sikit,5
hogy,249
kell,317
azt,290
összegörbitsd,1
legyen,7
szives,4
most,649
én,1346
oroszlán,16
figyelj,15
mert,209
az,757
sikitani,2
fog,33
jönni,10
Magdi,15
néni,421
sír,59
azért,97
valami,16
fáj,106
bajusza,8
sírjál,54
meggyógyitom,3
vigasszal,1
majd,116
füled,2
ma,91
fülecske,2
bekötöm,2
fülejét,1
bekötöttem,2
ezt,456
popsija,1
bepisilt,1
pisilt,3
be,204
rontotta,1
fülét,2
tudod,69
ollát,1
mért,43
folyott,2
náthás,2
gyógyitsad,1
aztán,42
adjad,2
játszik,5
köszönöm,59
lepisilte,1
le,181
takaró,7
szép,84
paplan,2
gyógyit,1
adom,96
folyik,8
vérzik,2
vérzett,1
gyógyult,4
beteg,34
boci,8
ennek,28
hátul,5
nézem,11
farkát,2
nincs,238
farka,11
bosi,2
betekerni,1
meggyógyult,7
betakarom,6
paplanban,1
betakarni,2
mindár,2
aludni,31
leveszik,1
éhes,4
vacsorát,1
csecsemô,6
bántsátok,1
akkor,245
beteszem,15
szabad,62
kivenni,21
kivette,1
Gyurika,1
gurissuk,2
gyele,3
lele,2
gu,9
gulisuk,1
dele,15
gurigázunk,1
levegyük,1
kérlek,5
ági,6
kösz,11
mindjárt,86
odaadom,19
forgat,1
forgato,1
látod,45
forgatom,1
adod,7
felesleges,1
guritom,4
jövök,25
lefekszik,2
alszik,57
mamár,6
má,70
menjen,6
Gabi,9
húslevest,1
evettem,1
fogsz,2
megreszelem,1
elveszem,22
másik,308
tej,7
fözni,3
betettem,3
csavárok,1
tette,3
lábast,1
vedd,45
lehet,21
tenni,19
teszem,13
ni,59
csukom,1
pálacsinta,1
sütemény,5
sóval,1
fogom,20
tölteni,2
kihúzom,1
forró,3
nagyon,39
kinyitom,3
letesze,1
gázt,4
becsukom,8
elcsavarok,1
evvel,37
játszok,15
beketeszem,1
gázba,1
