SF,Freq,Lemma,Analysis,Segmentation
szépen,128,szép,ADJ.NOM.SG-ON+ESS,szép-en
kérek,123,kér,V.IND.PRS.INDF.3.SG-PL,kér-ek
adják,3,ad,V.IND.PRS.INDF.3.SG-SBJV.PRS.DEF.3.PL,ad-ják
golyót,7,golyó,N.NOM-ACC,golyó-t
sárgácska,1,sárgács,sárgács-PL-PSS3S,sárgács-k-a
milyen,65,mily,mily-ON+ESS,mily-en
többet,14,több,ADJ.SG-ACC,több-et
kérem,311,kér,V.IND.PRS.INDF.3.SG-PSS1S,kér-em
mentem,7,mente,N.NOM-PSS1S,mente-m
tésztát,1,tésztá,tésztá-ACC,tésztá-t
levest,4,leves,N.NOM-ACC,leves-t
állj,7,áll,V.IND.PRS.INDF.3.SG-SBJV.PRS.INDF.2.SG,áll-j
lábát,8,lábá,lábá-ACC,lábá-t
elvette,48,elvet,V.IND.PRS.INDF.3.SG-IND.PST.DEF.3.SG,elvet-te
adja,13,ad,V.IND.PRS.INDF.3.SG-PSS3S,ad-ja
összegörbitsd,1,összegörbits,összegörbits-PSS2S,összegörbits-d
legyen,7,legy,legy-ON+ESS,legy-en
most,649,mos,V.IND.PRS.INDF.3.SG-ACC,mos-t
figyelj,15,figyel,V.IND.PRS.INDF.3.SG-SBJV.PRS.INDF.2.SG,figyel-j
mert,209,mer,V.IND.PRS.INDF.3.SG-ACC,mer-t
jönni,10,jön,V.IND.PRS.INDF.3.SG-NFIN,jön-ni
magdi,15,mag,N.NOM-PSS2S-PSS3S.PL,mag-d-i
bajusza,8,bajusz,N.NOM-PSS3S,bajusz-a
meggyógyitom,3,meggyógy,meggyógy-PSS3S.PL-ACC-PSS1S,meggyógy-i-t-om
majd,116,ma,N.NOM-SBJV.PRS.INDF.2.SG-PSS2S,ma-j-d
füled,2,füle,N.SG-PSS2S,füle-d
fülecske,2,fülecs,fülecs-PL-PSS3S,fülecs-k-e
fülejét,1,füle,N.SG-SBJV.PRS.INDF.2.SG-PSS4S-ACC,füle-j-é-t
