Word,Frequency
éva,31
szépen,495
fogsz,57
fözni,10
igen,3226
még,1373
kérek,271
ilyet,54
jó,4781
te,1642
csunya,268
vagy,1034
fözel,1
neked,541
is,3542
adják,8
számoljál,19
nekem,807
neki,393
nem,9647
de,1787
mit,1772
füz,1
füzöl,2
golyót,19
milyen,557
szinü,17
ez,3900
a,15132
golyó,23
kék,65
és,2523
meg,2321
pirosak,1
zöld,151
az,4831
piros,144
van,4750
hozd,102
jól,274
haza,40
megyek,201
mész,140
szervusz,118
keresd,88
köszönöm,352
itt,3191
sárgácska,1
sárga,62
na,1506
most,2080
zöldet,28
mi,1693
hazamegyünk,2
vonattal,16
ott,2570
kérdezd,15
tôle,33
hogy,1681
fáergá,1
már,736
többet,53
ne,1507
vegyel,2
oh,44
visszaadja,4
Barna,1055
bácsi,1590
nincsen,161
ellopott,1
több,32
nézd,545
benne,160
adjál,62
tudsz,93
adni,37
nagyon,837
szegény,130
vagyok,381
mert,782
nincs,701
golyóm,1
tizenkilenc,2
tessék,957
mindenki,54
csak,1335
kérem,639
beszél,39
egy,2090
picit,93
csinál,324
kutya,162
va,32
ugat,10
úgy,552
igy,65
nagyszerü,6
kutyus,184
nézz,387
ide,1550
szimatol,1
megy,443
nyom,16
után,20
megvan,43
Évike,30
téged,70
keresett,3
mentem,16
tôl,2
po,27
pu,10
pop,1
hol,1578
füle,50
másik,683
szeme,70
orra,25
szája,58
min,9
áll,63
kell,1462
mondani,36
azt,1160
amit,51
én,2778
mondok,5
ejnye,62
Éva,55
tudod,593
keze,33
kutyusnak,12
kutyának,5
lába,82
négy,64
szeret,20
enni,127
ebédelni,31
tésztát,5
levest,16
hús,13
csontot,1
álljál,4
föl,264
állj,23
mondd,129
Viktor,32
kérdez,1
tôled,21
mondjad,65
hanem,76
lábát,31
kis,748
hallottad,4
micsoda,173
visszateszem,19
tedd,190
vissza,445
majd,603
visszatesze,1
ô,69
elvette,86
tôlem,35
vidd,33
el,782
Géza,1
adja,31
oda,1742
kekem,1
kecske,14
hangja,8
kérsz,307
elôbb,12
kicsit,268
azután,34
odaadja,10
sikit,8
összegörbitsd,2
gyenge,3
legény,1
vedd,158
Gézától,1
legyen,71
szives,19
mindjárt,299
odaadom,38
kettô,111
Gyurika,29
fogadj,2
szót,11
képzeld,19
ittam,12
kávét,39
tejes,2
fekete,81
oroszlán,56
állat,36
figyelj,145
sikitani,2
fog,234
jönni,43
Magdi,40
néni,795
fáj,392
valamilye,1
fáradt,24
sír,143
miért,394
azért,262
valami,133
bajusza,33
bajuszom,5
sírok,12
sírjál,97
látod,372
görbe,10
szegénynek,3
melyik,159
meggyógyitom,5
vigasszal,1
hát,1188
vigasztald,1
fogd,62
füled,6
sütve,3
ma,130
fülecske,2
fülecskéje,1
azelôtt,1
fájott,1
szegenyke,1
bekötöm,4
fülejét,1
bekötöttem,2
ezt,1126
popsija,3
csinált,71
bepisilt,5
pisilt,9
be,720
rontotta,5
fülét,6
törültél,1
ollát,2
mért,108
folyott,2
aj,27
náthás,13
beteg,84
csinálsz,256
gyógyitom,1
évike,26
gyógyitsad,1
aztán,169
adjad,7
játszik,28
fözöl,6
rétest,1
rétes,1
megint,126
lepisilte,2
ilyen,237
nagy,674
mégis,12
ilyesmit,6
le,823
gyertek,27
ágy,42
takard,10
rajta,82
takaró,25
szép,575
paplan,5
jaj,721
fázik,14
gyógyit,1
adom,277
folyik,23
vér,5
lábán,7
fehérrel,1
megstoppoljuk,1
énnekem,16
kékem,1
kicsi,445
helyen,7
persze,46
vérzik,12
megszelyelt,1
vérzett,5
simitsd,1
szegénykémnek,1
meggyógyultam,3
aranyos,95
voltál,60
gyógyult,5
meggyógyitottad,1
elmegy,49
csavarogni,2
öserdöbe,1
pista,3
azonnal,24
összeszedni,3
légy,54
meggyógyult,26
anyuka,39
boci,19
ennek,89
hátul,10
nézem,24
farkát,4
farka,38
bosi,2
kivánsz,1
betekerni,1
értem,26
betakarom,7
paplanban,1
végig,6
takarni,4
betakarni,2
fejét,9
igaza,2
betakarja,1
alszik,144
mindár,2
aludni,200
leveszik,2
biztos,79
álmos,14
lehet,395
fáradva,1
gondolom,6
éhes,45
valamit,131
akar,45
ebédre,2
vacsorát,3
lesz,636
vacsora,3
csecsemô,18
ki,1132
szegényke,7
bántsátok,1
szabad,539
kivenni,55
megszurjátok,1
egymást,5
fölösleges,1
játék,68
akkor,1427
beteszem,28
kivette,2
gurissuk,2
gyele,6
elvisz,7
lele,2
kiesik,1
helikopter,13
gu,9
gulisuk,1
dele,15
gurigázzunk,2
gurigázunk,3
levegyük,9
vegyük,45
kötényt,27
mondta,75
kérlek,10
adta,15
odaadni,19
odaadani,1
ági,12
kösz,22
forgat,1
forgato,1
forgatom,1
megnézzem,4
adod,50
felesleges,1
Dini,14
ügyes,192
egyél,25
essen,11
vigyázz,270
vigyázol,10
igyekezz,1
guritom,4
jövök,97
lefekszik,9
goromba,1
mamár,6
má,81
menjen,41
Gabi,34
gyere,1071
Évikém,17
beszélj,22
ám,33
uh,25
hum,5
húslevest,2
finom,146
evettem,1
eltesszük,15
zöldséget,7
pucolni,2
reszelô,23
reszelni,1
megreszelem,1
csukni,6
ajtót,39
fözök,8
odaraktam,1
fölrakod,1
elveszem,50
akarod,58
tenni,56
beszélni,33
közben,12
tej,16
betetted,3
betettem,7
doted,1
sok,245
így,580
no,15
nyitni,13
nyiss,4
csavárok,1
kinyitottad,7
gázt,7
fölteszed,1
lábast,2
tette,8
eltettem,5
gázra,1
rakni,42
bele,192
sütjük,1
süteményt,3
föltettem,5
teszem,46
ni,163
csukom,1
sütemény,11
pálacsinta,1
u,15
mivel,79
fogjuk,12
megtölteni,2
sóval,1
fogom,52
tölteni,2
megfött,7
sül,1
pirul,1
kihúzom,2
forró,48
gyujtani,1
oltani,1
erre,62
kinyitom,6
kinyitni,28
letesze,1
becsukom,10
elcsavarok,1
evvel,61
játszok,23
beketeszem,1
gázba,1
beleteszem,8
veszed,20
belôle,23
segitsek,9
kisebb,11
fér,73
ebbe,120
várjál,249
segitek,6
készen,27
mosogatok,5
mosd,24
elmosod,1
elmostam,2
utána,112
adok,106
eltörölgetni,1
ügyesen,53
letörültem,2
zárd,6
minden,51
kész,113
ráteszem,1
közösen,1
fözzetek,2
ebédet,30
tud,136
sikerült,23
csavarom,2
tovább,22
elzárom,2
reklamálják,1
mindig,80
forditva,7
se,156
eszek,9
tészta,14
forditsd,5
hozzám,21
leteszem,4
elcsúszik,1
forditok,1
reszelek,5
lássam,6
egyszer,138
eh,17
e,347
betesszük,17
reszelôt,4
semmi,102
finomat,11
kináljatok,1
minket,7
visszatettem,13
belefér,17
aztat,11
menni,167
ezekbe,1
lyukakba,1
vegyétek,2
fö,11
ebéd,62
kiszedni,6
állitani,3
lábosokat,1
sajt,18
sajtos,2
palacsinta,8
megsült,1
kinek,101
hasa,49
gyereknek,3
leszedjük,3
asztalt,26
teritjük,1
ezzel,141
vizes,37
asztal,61
mosogatásban,1
elszakadt,9
gyerek,66
tudom,445
baja,28
csukd,38
kikáka,3
szó,11
veletek,4
fogok,43
valakinek,4
valaki,36
nek,7
Viktornak,3
sokat,68
ette,7
evett,10
gulyás,1
pörkölt,5
Kornélnak,4
kávé,37
villa,15
kanál,24
eszünk,21
ebéded,1
igaz,80
törve,11
megenni,14
ha,408
akarsz,169
megeszem,26
eszem,12
eszed,4
esz,11
eszik,53
galuskával,1
zsegitek,1
tör,2
össze,87
sajtot,4
reszelsz,1
elég,94
kérünk,12
pörköltöt,1
hozni,20
konyhából,1
várj,32
né,63
nézze,11
oldalon,6
láthat,1
másikat,131
volt,528
várjal,2
leverted,1
takaritani,4
já,33
hülyéskedj,1
fújni,9
fujjad,6
száddal,3
orral,1
segits,8
mer,25
háta,17
kéremszépen,1
visszatesszük,16
visszatenni,7
pohár,26
gyönyörü,26
lett,84
venni,55
Kornél,3
lefeküdt,9
lusta,3
kitalálják,1
ilyenkor,8
feküdni,15
akarnak,5
hasad,17
úgye,235
fényes,1
ügyesek,3
vagytok,43
bácsival,15
együtt,36
kakaó,26
akarja,20
kakaót,12
mostoha,1
kaptam,38
zsebedbe,21
betenni,20
törleni,1
csinálok,111
angyalt,3
angyal,5
izlik,8
magyar,3
koszt,7
szobába,61
visszamenni,14
akarok,83
angyalkám,5
tepsi,16
elvitte,87
malacok,8
vitte,13
láttam,38
tepsit,4
malac,18
lelle,1
elszaladt,9
bement,34
kórházba,16
vinni,11
bevinni,3
hm,1767
letesszük,1
nyisd,39
beszorult,1
megnézed,7
beszorul,1
ujjad,19
egész,37
piszkos,175
kalács,2
segitete,1
láng,4
lángja,2
bedugni,2
sütö,2
hozom,153
ah,37
enyém,146
mézes,5
csináltok,14
kalácsot,6
szeretitek,1
Gyúrni,4
hignak,1
lenni,29
lisztet,1
belerakni,2
sütöben,2
csinálod,16
kopogogom,1
dió,9
darálva,4
daráló,1
avval,39
melyikkel,10
darált,1
daráltam,1
magasra,17
fözöm,8
magasabbra,5
palacsintát,12
vele,107
föz,1
mégegyszer,17
lassan,37
alacsonyan,2
kinyissuk,19
rágó,1
földobni,1
földobjam,1
olyan,424
magas,44
alig,12
látom,126
hadd,119
nézzük,118
jön,416
kacsa,46
szeretnék,40
vannak,186
kacsák,8
saláta,7
levelet,10
szereti,42
kukoricadarát,1
add,303
engedd,7
visszaadom,9
kacsát,12
letörölöd,1
mindent,35
letörülök,1
kacsá,1
poros,3
eszel,36
feltartja,1
háp,14
hap,22
veszekedni,6
kacs,2
kössed,3
vége,46
kijött,39
feje,41
vendégünk,2
izlett,2
tönkrement,1
vendég,4
megsértödött,1
hazament,4
fogjad,3
tapsi,3
kukucskál,1
lalika,1
játszunk,113
egyedül,65
ragasztva,5
falon,4
fölakasztva,1
valahogy,11
ragasztani,1
elment,176
mérges,31
kapott,16
kap,40
megcsinálom,31
hintát,3
lót,4
szállok,5
leestél,9
leesek,6
babsz,1
bapsz,1
mókus,94
elvenni,20
kössz,3
koros,1
mutasd,172
rókát,46
hintázni,9
hintázzál,1
leült,2
csacsi,241
hintázom,2
hintázunk,6
leülsz,8
sokan,33
elhozom,6
hintalovat,1
gyöjj,1
utánam,1
od,7
löktyek,1
