SF	Freq	Lemma	Analysis	Segmentation
szépen	495	szép	ADJ.SG-ON+ESS	szép-en
fogsz	57	fog	V-IND.PRS.INDF.2.SG(asz)	fog-sz
igen	3226	igen	N.NOM.SG	igen
kérek	271	kér	V-IND.PRS.INDF.1.SG	kér-ek
jó	4781	jó	N.NOM.SG	jó
jó	4781	jó	N.NOM.SG	jó
jó	4781	jó	ADJ.NOM.SG	jó
adják	8	ad	V-IND.PRS.DEF.3.PL	ad-ják
adják	8	ad	V-SBJV.PRS.DEF.3.PL	ad-ják
nem	9647	nem	N.NOM.SG	nem
nem	9647	nem	N.NOM.SG	nem
golyót	19	golyó	N.SG-ACC	golyó-t
golyó	23	golyó	N.NOM.SG	golyó
kék	65	kék	N.NOM.SG	kék
kék	65	kék	ADJ.NOM.SG	kék
zöld	151	zöld	ADJ.NOM.SG	zöld
piros	144	piros	N.NOM.SG	piros
hozd	102	hoz	V-SBJV.PRS.DEF.2.SG	hoz-d
haza	40	haza	N.NOM.SG	haza
megyek	201	megy	V-IND.PRS.INDF.1.SG	megy-ek
mész	140	mész	N.NOM.SG	mész
mész	140	megy	V-IND.PRS.INDF.2.SG(asz)	megy-sz
keresd	88	keres	V-SBJV.PRS.DEF.2.SG	keres-d
köszönöm	352	köszön	V-IND.PRS.DEF.1.SG	köszön-öm
sárga	62	sárga	ADJ.NOM.SG	sárga
zöldet	28	zöld	ADJ.SG-ACC	zöld-et
vonattal	16	vonat	N.SG-INST	vonat-val
kérdezd	15	kérdez	V-SBJV.PRS.DEF.2.SG	kérdez-d
többet	53	több	N.SG-ACC	több-et
többet	53	több	N.SG-ACC	több-et
többet	53	több	ADJ.SG-ACC	több-et
visszaadja	4	visszaad	V-IND.PRS.DEF.3.SG	visszaad-ja
visszaadja	4	visszaad	V-SBJV.PRS.DEF.3.SG	visszaad-ja
Barna	1055	Barna	N.NOM.SG	Barna
bácsi	1590	bácsi	N.NOM.SG	bácsi
bácsi	1590	bácsi	ADJ.NOM.SG	bácsi
ellopott	1	ellop	V-IND.PST.INDF.3.SG	ellop-ott
ellopott	1	ellop	V-V.PTCP.PST	ellop-ott
ellopott	1	ellop	V-IND.PST.INDF.3.SG	ellop-ott
ellopott	1	ellop	V-V.PTCP.PST	ellop-ott
több	32	több	N.NOM.SG	több
több	32	több	N.NOM.SG	több
több	32	több	ADJ.NOM.SG	több
nézd	545	néz	V-SBJV.PRS.DEF.2.SG	néz-d
tudsz	93	tud	V-IND.PRS.INDF.2.SG(asz)	tud-sz
adni	37	ad	V-NFIN	ad-ni
nagyon	837	nagy	N.SG-ON+ESS	nagy-on
nagyon	837	nagy	ADJ.SG-ON+ESS	nagy-on
szegény	130	szegény	N.NOM.SG	szegény
szegény	130	szegény	ADJ.NOM.SG	szegény
mert	782	mer	V-IND.PST.INDF.3.SG	mer-t
mert	782	mer	V-V.PTCP.PST	mer-t
golyóm	1	golyó	N.NOM-PSS1S.SG	golyó-m
tizenkilenc	2	tizenkilenc	N.NOM.SG	tizenkilenc
kérem	639	kér	V-IND.PRS.DEF.1.SG	kér-em
