SF	Freq	Lemma	Analysis	Segmentation
szépen	495	szép	ADJ.SG-ON+ESS	szép-en
fogsz	57	fog	V-IND.PRS.INDF.2.SG.asz	fog-sz
igen	3226	igen	N.NOM.SG	igen
kérek	271	kér	V-IND.PRS.INDF.1.SG	kér-ek
jó	4781	jó	N.NOM.SG	jó
adják	8	ad	V-IND.PRS.DEF.3.PL	ad-ják
nem	9647	nem	N.NOM.SG	nem
golyót	19	golyó	N.SG-ACC	golyó-t
golyó	23	golyó	N.NOM.SG	golyó
kék	65	kék	N.NOM.SG	kék
zöld	151	zöld	ADJ.NOM.SG	zöld
piros	144	piros	N.NOM.SG	piros
hozd	102	hoz	V-SBJV.PRS.DEF.2.SG	hoz-d
haza	40	haza	N.NOM.SG	haza
megyek	201	megy	V-IND.PRS.INDF.1.SG	megy-ek
mész	140	mész	N.NOM.SG	mész
keresd	88	keres	V-SBJV.PRS.DEF.2.SG	keres-d
köszönöm	352	köszön	V-IND.PRS.DEF.1.SG	köszön-öm
sárga	62	sárga	ADJ.NOM.SG	sárga
zöldet	28	zöld	ADJ.SG-ACC	zöld-et
vonattal	16	vonat	N.SG-INST	vonat-val
kérdezd	15	kérdez	V-SBJV.PRS.DEF.2.SG	kérdez-d
többet	53	több	N.SG-ACC	több-et
visszaadja	4	visszaad	V-IND.PRS.DEF.3.SG	visszaad-ja
barna	1055	barna	N.NOM.SG	barna
bácsi	1590	bácsi	N.NOM.SG	bácsi
ellopott	1	ellop	V-IND.PST.INDF.3.SG	ellop-ott
több	32	több	N.NOM.SG	több
nézd	545	néz	V-SBJV.PRS.DEF.2.SG	néz-d
tudsz	93	tud	V-IND.PRS.INDF.2.SG.asz	tud-sz
adni	37	ad	V-NFIN	ad-ni
nagyon	837	nagy	N.SG-ON+ESS	nagy-on
szegény	130	szegény	N.NOM.SG	szegény
mert	782	mer	V-IND.PST.INDF.3.SG	mer-t
golyóm	1	golyó	N.NOM-PSS1S.SG	golyó-m
tizenkilenc	2	tizenkilenc	N.NOM.SG	tizenkilenc
kérem	639	kér	V-IND.PRS.DEF.1.SG	kér-em
beszél	39	beszél	V.IND.PRS.INDF.3.SG	beszél
egy	2090	egy	N.NOM.SG	egy
picit	93	pici	N.SG-ACC	pici-t
csinál	324	csinál	V.IND.PRS.INDF.3.SG	csinál
kutya	162	kutya	N.NOM.SG	kutya
ugat	10	ugat	V.IND.PRS.INDF.3.SG	ugat
nézz	387	néz	V-SBJV.PRS.INDF.2.SG	néz-j
szimatol	1	szimatol	V.IND.PRS.INDF.3.SG	szimatol
megy	443	megy	V.IND.PRS.INDF.3.SG	megy
nyom	16	nyom	N.NOM.SG	nyom
keresett	3	keres	V-IND.PST.INDF.3.SG	keres-ett
mentem	16	mente	N.NOM-PSS1S.SG	mente-m
füle	50	fül	N.NOM-PSS3S.SG	fül-e
szeme	70	szem	N.NOM-PSS3S.SG	szem-e
orra	25	orra	N.NOM.SG	orra
szája	58	száj	N.NOM-PSS3S.SG	száj-a
áll	63	áll	N.NOM.SG	áll
kell	1462	kell	V.IND.PRS.INDF.3.SG	kell
