SF	Freq	Lemma	Segmentation	Analysis
iszonyú	11	iszonyú	iszonyú	ADJ.NOM.SG
teherautón	1	teherautó	teherautó-n	N.SG-ON+ESS
könyvben	8	könyv	könyv-ben	N.SG-IN+ESS
dunán	2	duna	duna-n	N.SG-ON+ESS
lógni	1	lóg	lóg-ni	V-NFIN
elhúztad	2	elhúz	elhúz-tad	V-IND.PST.DEF.2.SG
kívánsz	1	kíván	kíván-sz	V-IND.PRS.INDF.2.SG.asz
tornyod	1	torony	torony-od	N.NOM-PSS2S.SG
nevet	7	név	név-et	N.SG-ACC
úszkálnak	1	úszkál	úszkál-nak	V-IND.PRS.INDF.3.PL
megengedem	6	megenged	megenged-em	V-IND.PRS.DEF.1.SG
töröljük	4	töröl	töröl-jük	V-IND.PRS.DEF.1.PL
csillagos	1	csillagos	csillagos	ADJ.NOM.SG
szivacsra	4	szivacs	szivacs-ra	N.SG-ON+ALL
salátával	1	saláta	saláta-val	N.SG-INST
kártya	4	kártya	kártya	N.NOM.SG
maradok	6	marad	marad-ok	V-IND.PRS.INDF.1.SG
állát	1	áll	áll-a-t	N.SG-PSS3S-ACC
megnézed	7	megnéz	megnéz-ed	V-IND.PRS.DEF.2.SG
dolgát	1	dolga	dolga-t	N.SG-ACC
pakoltál	1	pakol	pakol-tál	V-IND.PST.INDF.2.SG
akváriumba	2	akvárium	akvárium-ba	N.SG-IN+ALL
megtaláljuk	1	megtalál	megtalál-juk	V-IND.PRS.DEF.1.PL
börtön	1	börtön	börtön	N.NOM.SG
iskolát	2	iskola	iskola-t	N.SG-ACC
vidám	5	vidám	vidám	ADJ.NOM.SG
pályára	1	pálya	pálya-ra	N.SG-ON+ALL
kalapáccsal	3	kalapács	kalapács-val	N.SG-INST
vonatra	4	vonat	vonat-ra	N.SG-ON+ALL
sárgarépa	1	sárgarépa	sárgarépa	N.NOM.SG
bontsd	1	bont	bont-d	V-SBJV.PRS.DEF.2.SG
hidat	21	híd	híd-at	N.SG-ACC
kapják	1	kap	kap-ják	V-IND.PRS.DEF.3.PL
hülyék	2	hülye	hülye-k	N.NOM-PL
delfin	2	delfin	delfin	N.NOM.SG
csipke	3	csipke	csipke	N.NOM.SG
deszkáról	1	deszka	deszka-ról	N.SG-ON+ABL
ólomkatonának	1	ólomkatona	ólomkatona-nak	N.SG-DAT.SG
visszaadom	9	visszaad	visszaad-om	V-IND.PRS.DEF.1.SG
éva	55	éva	éva	N.NOM.SG
garázsok	1	garázs	garázs-ok	N.NOM-PL
döntsd	7	dönt	dönt-d	V-SBJV.PRS.DEF.2.SG
ülünk	9	ül	ül-ünk	V-IND.PRS.INDF.1.PL
felépítjük	1	felépít	felépít-jük	V-IND.PRS.DEF.1.PL
csináljam	3	csinál	csinál-jam	V-SBJV.PRS.DEF.1.SG
kutya	162	kutya	kutya	N.NOM.SG
hátáról	2	hát	hát-a-ról	N.SG-PSS3S-ON+ABL
homokkal	2	homok	homok-val	N.SG-INST
múlva	5	múlik	múl-va	V-V.CVB
kalapál	2	kalapál	kalapál	V.IND.PRS.INDF.3.SG
könyved	1	könyv	könyv-ed	N.NOM-PSS2S.SG
kerestem	1	keres	keres-tem	V-IND.PST.INDF.1.SG
kikapcsoljuk	3	kikapcsol	kikapcsol-juk	V-IND.PRS.DEF.1.PL
rajzolunk	22	rajzol	rajzol-unk	V-IND.PRS.INDF.1.PL
képre	1	kép	kép-re	N.SG-ON+ALL
kérsz	307	kér	kér-sz	V-IND.PRS.INDF.2.SG.asz
szőr	1	szőr	szőr	N.NOM.SG
szatyrot	1	szatyor	szatyor-ot	N.SG-ACC
misi	23	misi	misi	N.NOM.SG
jakja	3	jak	jak-ja	N.NOM-PSS3S.SG
könyvecske	1	könyvecske	könyvecske	N.NOM.SG
érett	2	érik	ér-ett	V-IND.PST.INDF.3.SG
inge	1	ing	ing-e	N.NOM-PSS3S.SG
