SF	Freq	Lemma	Segmentation	Analysis
gyurmás	1	gyur	gyur-m-ás	gyur-PSS1S-V.MSDR
elbújsz	6	elbújik	elbúj-sz	V-IND.PRS.INDF.2.SG.asz
meghoztad	1	meg	meg-hoz-tad	meg-AT+ALL-IND.PST.DEF.2.SG
ölembe	10	öle	öle-m-be	N.SG-PSS1S-IN+ALL
televizión	1	televiz	televiz-i-ó-n	televiz-PSS3S.PL-V.PTCP.PRS-ON+ESS
szerintem	34	szer	szer-i-n-tem	N.NOM-PSS3S.PL-ON+ESS-IND.PST.DEF.1.SG
mindezeket	1	mindez	mindez-ek-et	mindez-PL-ACC
pannni	1	p	p-a-n-nni	N.NOM-PSS3S-ON+ESS-NFIN
meglátogatják	1	meglátogat	meglátogat-ják	V-IND.PRS.DEF.3.PL
kérdezem	4	kérdez	kérdez-em	V-IND.PRS.DEF.1.SG
pelesem	1	peles	peles-em	peles-PSS1S
királyunk	1	király	király-unk	N.NOM-PSS1P.SG
megfújja	2	megfú	megfú-j-ja	megfú-SBJV.PRS.INDF.2.SG-PSS3S
megpróbáljuk	2	megpróbál	megpróbál-juk	V-IND.PRS.DEF.1.PL
masiniszta	2	mas	mas-i-ni-sz-ta	mas-PSS3S.PL-NFIN-IND.PRS.INDF.2.SG.asz-IND.PST.DEF.3.SG
szerint	2	szer	szer-i-n-t	N.NOM-PSS3S.PL-ON+ESS-ACC
elfelejtjük	1	elfelejt	elfelejt-jük	V-IND.PRS.DEF.1.PL
szokott	43	szokik	szok-ott	V-IND.PST.INDF.3.SG
megjöttél	3	meg	meg-j-öttél	meg-SBJV.PRS.INDF.2.SG-IND.PST.INDF.2.SG
várjuk	1	vár	vár-juk	V-IND.PRS.DEF.1.PL
leszállna	3	leszáll	leszáll-na	V-COND.PRS.INDF.3.SG
mackója	1	mackó	mackó-ja	N.NOM-PSS3S.SG
bírja	3	bír	bír-ja	V-IND.PRS.DEF.3.SG
megfött	3	megf	megf-ött	megf-V.PTCP.PST
ebéd	62	ebéd	ebéd	N.NOM.SG
kicsiké	1	kicsi	kicsi-k-é	ADJ.SG-PL-PSS4S
harapott	1	harap	harap-ott	V-IND.PST.INDF.3.SG
táskámat	1	táská	táská-m-at	táská-PSS1S-ACC
mondott	15	mond	mond-ott	V-IND.PST.INDF.3.SG
beszélsz	15	beszél	beszél-sz	V-IND.PRS.INDF.2.SG.asz
mamát	1	mama	mama-t	N.SG-ACC
sálga	1	sálg	sálg-a	sálg-PSS3S
szürke	3	szürke	szürke	ADJ.NOM.SG
maladj	1	mal	mal-ad-j	mal-PSS2S.SG-SBJV.PRS.INDF.2.SG
mosogatásban	1	mosogat	mosogat-ás-ban	V.IND.PRS.INDF.3.SG-V.MSDR-IN+ESS
bontogatja	1	bontog	bontog-at-ja	bontog-ACC-PSS3S
belled	4	bell	bell-ed	bell-PSS2S
spiccel	1	spicc	spicc-vel	N.SG-INST
csatja	1	csat	csat-ja	N.NOM-PSS3S.SG
géten	1	gé	gé-t-en	N.NOM-ACC-ON+ESS
beleteszem	3	bele	bele-te-sz-em	N.SG-IND.PST.DEF.3.SG-IND.PRS.INDF.2.SG.asz-PSS1S
szedted	1	szed	szed-ted	V-IND.PST.DEF.2.SG
fölhúzzuk	1	fölhúzz	fölhúzz-uk	fölhúzz-PSS3P
cumikázni	1	cumikáz	cumikáz-ni	cumikáz-NFIN
lássanak	1	lát	lát-janak	V-SBJV.PRS.INDF.3.PL
rongyot	1	rongy	rongy-ot	N.SG-ACC
bácsik	20	bácsi	bácsi-k	ADJ.SG-PL
olvadni	1	olvad	olvad-ni	V-NFIN
virágokat	6	virág	virág-ok-at	N.NOM-PL-ACC
benzin	3	benzin	benzin	N.NOM.SG
nyúlhatsz	2	nyúl	nyúl-hat-sz	V.IND.PRS.INDF.3.SG-POT-IND.PRS.INDF.2.SG.asz
teherautóval	1	teherautó	teherautó-val	N.SG-INST
elhiszed	3	elhisz	elhisz-ed	V-IND.PRS.DEF.2.SG
hagyjam	1	hagy	hagy-jam	V-SBJV.PRS.DEF.1.SG
kössünk	1	köt	köt-jünk	V-SBJV.PRS.INDF.1.PL
há	71	há	há	N.NOM.SG
megfésülted	1	megf	megf-és-ül-ted	megf-V.MSDR-BYWAY-IND.PST.DEF.2.SG
gyümölcsöknek	1	gyümölcs	gyümölcs-ök-nek	N-PL-DAT.SG
lapon	1	lap	lap-on	N.SG-ON+ESS
legbe	1	leg	leg-be	N.NOM-IN+ALL
hozták	1	hoz	hoz-ták	V-IND.PST.DEF.3.PL
rakd	17	rak	rak-d	V-SBJV.PRS.DEF.2.SG
sarokból	2	sarok	sarok-ból	N.SG-IN+ABL
ló	60	ló	ló	N.NOM.SG
postaláda	2	postaláda	postaláda	N.NOM.SG
jóvan	1	jó	jó-va-n	ADJ.NOM.SG-V.CVB-ON+ESS
katonával	5	katona	katona-val	N.SG-INST
ütöttük	1	üt	üt-öttük	V-IND.PST.DEF.1.PL
énekélj	1	énekél	énekél-j	énekél-SBJV.PRS.INDF.2.SG
kikapcsoljuk	3	kikapcsol	kikapcsol-juk	V-IND.PRS.DEF.1.PL
mosóport	2	mosópor	mosópor-t	mosópor-ACC
magnóba	2	magnó	magnó-ba	N.SG-IN+ALL
finomságot	3	finomság	finomság-ot	finomság-ACC
hír	1	hír	hír	N.NOM.SG
kantár	1	kantár	kantár	N.NOM.SG
bújt	12	bújik	búj-t	V-IND.PST.INDF.3.SG
gyurmából	4	gyurmá	gyurmá-ból	gyurmá-IN+ABL
