SF	Freq	Lemma	Analysis	Segmentation
igen	1729	igen	N.NOM.SG	igen
szépen	128	szép	ADJ.SG-ON+ESS	szép-en
kérek	123	kér	V-IND.PRS.INDF.1.SG	kér-ek
jó	903	jó	N.NOM.SG	jó
jó	903	jó	ADJ.NOM.SG	jó
adják	3	ad	V-IND.PRS.DEF.3.PL	ad-ják
adják	3	ad	V-SBJV.PRS.DEF.3.PL	ad-ják
golyót	7	golyó	N.SG-ACC	golyó-t
kék	19	kék	N.NOM.SG	kék
kék	19	kék	ADJ.NOM.SG	kék
zöld	40	zöld	ADJ.NOM.SG	zöld
sárga	20	sárga	ADJ.NOM.SG	sárga
többet	14	több	N.SG-ACC	több-et
többet	14	több	ADJ.SG-ACC	több-et
kérem	311	kér	V-IND.PRS.DEF.1.SG	kér-em
csinál	55	csinál	V.IND.PRS.INDF.3.SG	csinál
kutya	67	kutya	N.NOM.SG	kutya
ugat	3	ugat	V.IND.PRS.INDF.3.SG	ugat
nem	3884	nem	N.NOM.SG	nem
mentem	7	mente	N.NOM-PSS1S.SG	mente-m
mentem	7	ment	V-IND.PRS.DEF.1.SG	ment-em
mentem	7	megy	V-IND.PST.INDF.1.SG	megy-tem
mentem	7	menik	V-IND.PST.INDF.1.SG	menik-tem
pop	1	pop	N.NOM.SG	pop
szeme	20	szem	N.NOM-PSS3S.SG	szem-e
szeme	20	szeme	N.NOM.SG	szeme
orra	4	orra	N.NOM.SG	orra
orra	4	orr	N.SG-ON+ALL	orr-ra
orra	4	orr	N.NOM-PSS3S.SG	orr-a
szája	12	száj	N.NOM-PSS3S.SG	száj-a
szája	12	szája	N.NOM.SG	szája
keze	15	kéz	N.NOM-PSS3S.SG	kéz-e
lába	17	lába	N.NOM.SG	lába
lába	17	láb	N.NOM-PSS3S.SG	láb-a
tésztát	1	tészta	N.SG-ACC	tészta-t
levest	4	leves	N.SG-ACC	leves-t
föl	48	föl	N.NOM.SG	föl
állj	7	áll	V-SBJV.PRS.INDF.2.SG	áll-j
lábát	8	láb	N.SG-PSS3S-ACC	láb-a-t
