SF	Freq	Lemma	Analysis	Segmentation
tá	50	tá	N.NOM.SG	tá
pé	22	pé	N.NOM.SG	pé
megnéz	19	megnéz	V.IND.PRS.INDF.3.SG	megnéz
hám	16	hám	N.NOM.SG	hám
dele	15	dél	N.NOM-PSS3S.SG	dél-e
go	12	go	N.NOM.SG	go
katonák	12	katona	N.NOM-PL	katona-k
úd	9	úd	N.NOM.SG	úd
g	8	g	N.NOM.SG	g
munkahely	8	munkahely	N.NOM.SG	munkahely
ebe	8	eb	N.NOM-PSS3S.SG	eb-e
nyit	7	nyit	V.IND.PRS.INDF.3.SG	nyit
autóm	7	autó	N.NOM-PSS1S.SG	autó-m
tim	7	ti	N.NOM-PSS1S.SG	ti-m
fej	6	fej	N.NOM.SG	fej
óda	6	óda	N.NOM.SG	óda
hun	6	hun	N.NOM.SG	hun
bécs	6	bécs	N.NOM.SG	bécs
lök	6	lök	V.IND.PRS.INDF.3.SG	lök
jak	6	jak	N.NOM.SG	jak
bajom	6	bajom	N.NOM.SG	bajom
kijövök	6	kijön	V-IND.PRS.INDF.1.SG	kijön-ök
bácsim	6	bácsi	N.NOM-PSS1S.SG	bácsi-m
mangóhoz	6	mangó	N.SG-AT+ALL	mangó-hoz
pisilek	6	pisil	V-IND.PRS.INDF.1.SG	pisil-ek
hév	5	hév	N.NOM.SG	hév
bé	5	bé	N.NOM.SG	bé
tisza	5	tisza	N.NOM.SG	tisza
szita	5	szita	N.NOM.SG	szita
tünde	5	tünde	N.NOM.SG	tünde
komp	5	komp	N.NOM.SG	komp
vej	5	vej	N.NOM.SG	vej
reszelek	5	reszel	V-IND.PRS.INDF.1.SG	reszel-ek
megfogtam	5	megfog	V-IND.PST.INDF.1.SG	megfog-tam
mangót	5	mangó	N.SG-ACC	mangó-t
öld	5	öl	V-SBJV.PRS.DEF.2.SG	öl-d
festem	5	fest	V-IND.PRS.DEF.1.SG	fest-em
ebé	5	eb	N.SG-PSS4S	eb-é
menek	5	menik	V-IND.PRS.INDF.1.SG	menik-ek
cirkusz	4	cirkusz	N.NOM.SG	cirkusz
csat	4	csat	N.NOM.SG	csat
segítség	4	segítség	N.NOM.SG	segítség
ken	4	ken	V.IND.PRS.INDF.3.SG	ken
tan	4	tan	N.NOM.SG	tan
hátam	4	hát	N.NOM-PSS1S.SG	hát-am
csizmába	4	csizma	N.SG-IN+ALL	csizma-ba
pénzem	4	pénz	N.NOM-PSS1S.SG	pénz-em
magason	4	magas	ADJ.SG-ON+ESS	magas-on
pén	4	pé	N.SG-ON+ESS	pé-n
találkoztam	4	találkozik	V-IND.PST.INDF.1.SG	találkozik-tam
tengerbe	4	tenger	N.SG-IN+ALL	tenger-be
szer	3	szer	N.NOM.SG	szer
töröl	3	töröl	V.IND.PRS.INDF.3.SG	töröl
fordul	3	fordul	V.IND.PRS.INDF.3.SG	fordul
dug	3	dug	V.IND.PRS.INDF.3.SG	dug
dunyha	3	dunyha	N.NOM.SG	dunyha
megmos	3	megmos	V.IND.PRS.INDF.3.SG	megmos
epe	3	epe	N.NOM.SG	epe
szí	3	szí	V.IND.PRS.INDF.3.SG	szí
menü	3	menü	N.NOM.SG	menü
tanya	3	tanya	N.NOM.SG	tanya
kanyar	3	kanyar	N.NOM.SG	kanyar
anyó	3	anyó	N.NOM.SG	anyó
hintát	3	hinta	N.SG-ACC	hinta-t
nesze	3	nesz	N.NOM-PSS3S.SG	nesz-e
barnát	3	barna	N.SG-ACC	barna-t
megcsinálják	3	megcsinál	V-IND.PRS.DEF.3.PL	megcsinál-ják
mán	3	ma	N.SG-ON+ESS	ma-n
megmutasd	3	megmutat	V-SBJV.PRS.DEF.2.SG	megmutat-d
éje	3	éj	N.NOM-PSS3S.SG	éj-e
mászom	3	mászik	V-IND.PRS.DEF.1.SG	mászik-om
tára	3	tár	N.NOM-PSS3S.SG	tár-a
petét	3	pete	N.SG-ACC	pete-t
kolompot	3	kolomp	N.SG-ACC	kolomp-ot
ágyunk	3	ágy	N.NOM-PSS1P.SG	ágy-unk
árnyékba	3	árnyék	N.SG-IN+ALL	árnyék-ba
jegesmedvét	3	jegesmedve	N.SG-ACC	jegesmedve-t
köbe	3	köb	N.NOM-PSS3S.SG	köb-e
emi	3	emik	V-IND.PRS.DEF.3.SG	emik-i
jégen	3	jég	N.SG-ON+ESS	jég-en
síj	3	sí	V-SBJV.PRS.INDF.2.SG	sí-j
teje	3	tej	N.NOM-PSS3S.SG	tej-e
zsebkendőn	3	zsebkendő	N.SG-ON+ESS	zsebkendő-n
tör	2	tör	V.IND.PRS.INDF.3.SG	tör
köll	2	köll	V.IND.PRS.INDF.3.SG	köll
csend	2	csend	N.NOM.SG	csend
siet	2	siet	V.IND.PRS.INDF.3.SG	siet
bika	2	bika	N.NOM.SG	bika
töm	2	töm	V.IND.PRS.INDF.3.SG	töm
zárt	2	zárt	ADJ.NOM.SG	zárt
dám	2	dám	N.NOM.SG	dám
egyike	2	egyike	N.NOM.SG	egyike
isi	2	isi	N.NOM.SG	isi
bekapcsol	2	bekapcsol	V.IND.PRS.INDF.3.SG	bekapcsol
lak	2	lak	N.NOM.SG	lak
csé	2	csé	N.NOM.SG	csé
ok	2	ok	N.NOM.SG	ok
ész	2	ész	N.NOM.SG	ész
szilva	2	szilva	N.NOM.SG	szilva
úszkál	2	úszkál	V.IND.PRS.INDF.3.SG	úszkál
innivaló	2	innivaló	N.NOM.SG	innivaló
cseng	2	cseng	V.IND.PRS.INDF.3.SG	cseng
iga	2	iga	N.NOM.SG	iga
fű	2	fű	N.NOM.SG	fű
váj	2	váj	V.IND.PRS.INDF.3.SG	váj
cici	2	cici	N.NOM.SG	cici
bani	2	bani	N.NOM.SG	bani
hajol	2	hajol	V.IND.PRS.INDF.3.SG	hajol
