alpha_size,tier,window_size,threshold,id,gen_method,train_test_class,step,epoch,dev_loss,TRUE_scores,FALSE_scores,model_type,batch_size,lr,mean_loss
04,04,2,1,3,LSA,04.04.SL.2.1.3_LSA,0,0,41.08939,-53.99766540527344,-54.69790267944336,diag_ssm,2,0.001,37.05067443847656
04,04,2,1,3,LSA,04.04.SL.2.1.3_LSA,10,0,40.964127,-53.77679061889648,-54.49250030517578,diag_ssm,2,0.001,37.67763519287109
04,04,2,1,3,LSA,04.04.SL.2.1.3_LSA,20,0,40.8456,-53.56401062011719,-54.29513931274414,diag_ssm,2,0.001,42.35248565673828
04,04,2,1,3,LSA,04.04.SL.2.1.3_LSA,30,0,40.72738,-53.354103088378906,-54.09986114501953,diag_ssm,2,0.001,47.02366638183594
04,04,2,1,3,LSA,04.04.SL.2.1.3_LSA,40,0,40.61427,-53.1585807800293,-53.91697692871094,diag_ssm,2,0.001,38.82568359375
04,04,2,1,3,LSA,04.04.SL.2.1.3_LSA,50,0,40.507328,-52.97309494018555,-53.74359130859375,diag_ssm,2,0.001,44.08519744873047
04,04,2,1,3,LSA,04.04.SL.2.1.3_LSA,60,0,40.401356,-52.78639602661133,-53.5697021484375,diag_ssm,2,0.001,34.75297546386719
04,04,2,1,3,LSA,04.04.SL.2.1.3_LSA,70,0,40.303085,-52.61050415039063,-53.40670776367188,diag_ssm,2,0.001,44.2552490234375
04,04,2,1,3,LSA,04.04.SL.2.1.3_LSA,80,0,40.204193,-52.42701721191406,-53.23820495605469,diag_ssm,2,0.001,38.40860748291016
04,04,2,1,3,LSA,04.04.SL.2.1.3_LSA,90,0,40.112576,-52.2536506652832,-53.0797004699707,diag_ssm,2,0.001,39.679046630859375
04,04,2,1,3,LSA,04.04.SL.2.1.3_LSA,100,0,40.02523,-52.086124420166016,-52.92704772949219,diag_ssm,2,0.001,38.67692565917969
04,04,2,1,3,LSA,04.04.SL.2.1.3_LSA,110,0,39.940777,-51.92534637451172,-52.78054428100586,diag_ssm,2,0.001,43.13451766967773
04,04,2,1,3,LSA,04.04.SL.2.1.3_LSA,120,0,39.85767,-51.76954650878906,-52.6378288269043,diag_ssm,2,0.001,35.49546813964844
04,04,2,1,3,LSA,04.04.SL.2.1.3_LSA,130,0,39.780178,-51.62225341796875,-52.503509521484375,diag_ssm,2,0.001,36.2137336730957
04,04,2,1,3,LSA,04.04.SL.2.1.3_LSA,140,0,39.707966,-51.48199081420898,-52.37613296508789,diag_ssm,2,0.001,38.54219055175781
04,04,2,1,3,LSA,04.04.SL.2.1.3_LSA,150,0,39.64057,-51.345970153808594,-52.25311279296875,diag_ssm,2,0.001,39.145545959472656
04,04,2,1,3,LSA,04.04.SL.2.1.3_LSA,160,0,39.57577,-51.20888900756836,-52.13058090209961,diag_ssm,2,0.001,34.621795654296875
04,04,2,1,3,LSA,04.04.SL.2.1.3_LSA,170,0,39.513863,-51.07394790649414,-52.01039123535156,diag_ssm,2,0.001,35.71430206298828
04,04,2,1,3,LSA,04.04.SL.2.1.3_LSA,180,0,39.454693,-50.94890213012695,-51.898094177246094,diag_ssm,2,0.001,40.874961853027344
04,04,2,1,3,LSA,04.04.SL.2.1.3_LSA,190,0,39.398396,-50.827091217041016,-51.78968048095703,diag_ssm,2,0.001,39.13750457763672
04,04,2,1,3,LSA,04.04.SL.2.1.3_LSA,200,0,39.34478,-50.70736312866211,-51.68408966064453,diag_ssm,2,0.001,36.47055816650391
04,04,2,1,3,LSA,04.04.SL.2.1.3_LSA,210,0,39.294163,-50.59049606323242,-51.58159255981445,diag_ssm,2,0.001,40.21749114990234
04,04,2,1,3,LSA,04.04.SL.2.1.3_LSA,220,0,39.246296,-50.48264694213867,-51.48637771606445,diag_ssm,2,0.001,36.50676727294922
04,04,2,1,3,LSA,04.04.SL.2.1.3_LSA,230,0,39.202026,-50.37508392333984,-51.392974853515625,diag_ssm,2,0.001,41.51998519897461
04,04,2,1,3,LSA,04.04.SL.2.1.3_LSA,240,0,39.157257,-50.27406311035156,-51.30366134643555,diag_ssm,2,0.001,38.57616424560547
04,04,2,1,3,LSA,04.04.SL.2.1.3_LSA,250,1,39.115303,-50.17918014526367,-51.2196159362793,diag_ssm,2,0.001,42.969337463378906
04,04,2,1,3,LSA,04.04.SL.2.1.3_LSA,260,1,39.077435,-50.0865478515625,-51.1390380859375,diag_ssm,2,0.001,43.00797653198242
04,04,2,1,3,LSA,04.04.SL.2.1.3_LSA,270,1,39.04301,-49.99620819091797,-51.06166458129883,diag_ssm,2,0.001,39.70536804199219
04,04,2,1,3,LSA,04.04.SL.2.1.3_LSA,280,1,39.01026,-49.911888122558594,-50.98911285400391,diag_ssm,2,0.001,34.791168212890625
04,04,2,1,3,LSA,04.04.SL.2.1.3_LSA,290,1,38.980698,-49.83012008666992,-50.91997528076172,diag_ssm,2,0.001,36.19373321533203
04,04,2,1,3,LSA,04.04.SL.2.1.3_LSA,300,1,38.950035,-49.753684997558594,-50.85375595092773,diag_ssm,2,0.001,36.9814453125
04,04,2,1,3,LSA,04.04.SL.2.1.3_LSA,310,1,38.925793,-49.67920303344727,-50.79151916503906,diag_ssm,2,0.001,34.274986267089844
04,04,2,1,3,LSA,04.04.SL.2.1.3_LSA,320,1,38.904846,-49.60618591308594,-50.73196029663086,diag_ssm,2,0.001,41.57767105102539
04,04,2,1,3,LSA,04.04.SL.2.1.3_LSA,330,1,38.88284,-49.536991119384766,-50.67448043823242,diag_ssm,2,0.001,41.6629524230957
04,04,2,1,3,LSA,04.04.SL.2.1.3_LSA,340,1,38.86523,-49.47124481201172,-50.621707916259766,diag_ssm,2,0.001,31.876480102539062
04,04,2,1,3,LSA,04.04.SL.2.1.3_LSA,350,1,38.84709,-49.408878326416016,-50.57075119018555,diag_ssm,2,0.001,33.745948791503906
04,04,2,1,3,LSA,04.04.SL.2.1.3_LSA,360,1,38.82966,-49.35042572021485,-50.52220916748047,diag_ssm,2,0.001,36.88740921020508
04,04,2,1,3,LSA,04.04.SL.2.1.3_LSA,370,1,38.811108,-49.29390335083008,-50.4743537902832,diag_ssm,2,0.001,32.29746627807617
04,04,2,1,3,LSA,04.04.SL.2.1.3_LSA,380,1,38.78702,-49.240840911865234,-50.42710113525391,diag_ssm,2,0.001,42.232688903808594
04,04,2,1,3,LSA,04.04.SL.2.1.3_LSA,390,1,38.755,-49.18649291992188,-50.3751106262207,diag_ssm,2,0.001,34.271270751953125
04,04,2,1,3,LSA,04.04.SL.2.1.3_LSA,400,1,38.730385,-49.133697509765625,-50.32767868041992,diag_ssm,2,0.001,38.72476959228516
04,04,2,1,3,LSA,04.04.SL.2.1.3_LSA,410,1,38.712986,-49.08327865600586,-50.2849235534668,diag_ssm,2,0.001,43.978145599365234
04,04,2,1,3,LSA,04.04.SL.2.1.3_LSA,420,1,38.691463,-49.03337860107422,-50.240509033203125,diag_ssm,2,0.001,40.32764434814453
04,04,2,1,3,LSA,04.04.SL.2.1.3_LSA,430,1,38.676144,-48.98714447021485,-50.201133728027344,diag_ssm,2,0.001,36.20806121826172
04,04,2,1,3,LSA,04.04.SL.2.1.3_LSA,440,1,38.673313,-48.943206787109375,-50.16977310180664,diag_ssm,2,0.001,40.13557434082031
04,04,2,1,3,LSA,04.04.SL.2.1.3_LSA,450,1,38.66388,-48.902286529541016,-50.1376953125,diag_ssm,2,0.001,39.5455322265625
04,04,2,1,3,LSA,04.04.SL.2.1.3_LSA,460,1,38.64572,-48.86368942260742,-50.10285949707031,diag_ssm,2,0.001,40.96516418457031
04,04,2,1,3,LSA,04.04.SL.2.1.3_LSA,470,1,38.6376,-48.82749938964844,-50.07443237304688,diag_ssm,2,0.001,36.05250930786133
04,04,2,1,3,LSA,04.04.SL.2.1.3_LSA,480,1,38.638885,-48.79503631591797,-50.05293273925781,diag_ssm,2,0.001,36.48261260986328
04,04,2,1,3,LSA,04.04.SL.2.1.3_LSA,490,1,38.635754,-48.76070785522461,-50.028263092041016,diag_ssm,2,0.001,30.612354278564453
04,04,2,1,3,LSA,04.04.SL.2.1.3_LSA,500,2,38.634243,-48.73083114624024,-50.00778198242188,diag_ssm,2,0.001,38.88107299804688
04,04,2,1,3,LSA,04.04.SL.2.1.3_LSA,510,2,38.625656,-48.701316833496094,-49.98383712768555,diag_ssm,2,0.001,34.96753692626953
04,04,2,1,3,LSA,04.04.SL.2.1.3_LSA,520,2,38.61882,-48.66757583618164,-49.95679473876953,diag_ssm,2,0.001,40.395057678222656
04,04,2,1,3,LSA,04.04.SL.2.1.3_LSA,530,2,38.611023,-48.634315490722656,-49.929630279541016,diag_ssm,2,0.001,39.075531005859375
04,04,2,1,3,LSA,04.04.SL.2.1.3_LSA,540,2,38.606182,-48.60229110717773,-49.9052734375,diag_ssm,2,0.001,38.14530944824219
04,04,2,1,3,LSA,04.04.SL.2.1.3_LSA,550,2,38.595863,-48.57102584838867,-49.87911224365234,diag_ssm,2,0.001,41.82672882080078
04,04,2,1,3,LSA,04.04.SL.2.1.3_LSA,560,2,38.59665,-48.54300308227539,-49.860633850097656,diag_ssm,2,0.001,38.74830627441406
04,04,2,1,3,LSA,04.04.SL.2.1.3_LSA,570,2,38.590088,-48.51434326171875,-49.8375244140625,diag_ssm,2,0.001,35.49131393432617
04,04,2,1,3,LSA,04.04.SL.2.1.3_LSA,580,2,38.580395,-48.48712921142578,-49.81465911865234,diag_ssm,2,0.001,40.201507568359375
04,04,2,1,3,LSA,04.04.SL.2.1.3_LSA,590,2,38.572777,-48.462738037109375,-49.79498291015625,diag_ssm,2,0.001,31.52473258972168
04,04,2,1,3,LSA,04.04.SL.2.1.3_LSA,600,2,38.586407,-48.44539260864258,-49.79070281982422,diag_ssm,2,0.001,37.668006896972656
04,04,2,1,3,LSA,04.04.SL.2.1.3_LSA,610,2,38.58206,-48.42355728149414,-49.77490234375,diag_ssm,2,0.001,36.20115661621094
04,04,2,1,3,LSA,04.04.SL.2.1.3_LSA,620,2,38.573524,-48.40036010742188,-49.75587463378906,diag_ssm,2,0.001,32.51632308959961
04,04,2,1,3,LSA,04.04.SL.2.1.3_LSA,630,2,38.56238,-48.37665939331055,-49.73495101928711,diag_ssm,2,0.001,39.18636322021485
04,04,2,1,3,LSA,04.04.SL.2.1.3_LSA,640,2,38.557068,-48.35489273071289,-49.71874237060547,diag_ssm,2,0.001,34.35546875
04,04,2,1,3,LSA,04.04.SL.2.1.3_LSA,650,2,38.56293,-48.33538055419922,-49.7093391418457,diag_ssm,2,0.001,34.32441711425781
04,04,2,1,3,LSA,04.04.SL.2.1.3_LSA,660,2,38.56044,-48.317569732666016,-49.69735336303711,diag_ssm,2,0.001,38.276588439941406
04,04,2,1,3,LSA,04.04.SL.2.1.3_LSA,670,2,38.55145,-48.2960319519043,-49.67948532104492,diag_ssm,2,0.001,36.49686050415039
04,04,2,1,3,LSA,04.04.SL.2.1.3_LSA,680,2,38.55256,-48.278411865234375,-49.6689682006836,diag_ssm,2,0.001,36.69406509399414
