alpha_size,tier,window_size,threshold,id,gen_method,train_test_class,step,epoch,dev_loss,TRUE_scores,FALSE_scores,model_type,batch_size,lr,mean_loss
04,04,4,1,4,LSA,04.04.SL.4.1.4_LSA,0,0,41.052074,-53.92463302612305,-54.55066680908203,pfsa,4,0.01,41.04584503173828
04,04,4,1,4,LSA,04.04.SL.4.1.4_LSA,10,0,40.412556,-52.97541046142578,-53.6208610534668,pfsa,4,0.01,37.25537490844727
04,04,4,1,4,LSA,04.04.SL.4.1.4_LSA,20,0,39.885204,-52.17890167236328,-52.84634399414063,pfsa,4,0.01,37.81048202514648
04,04,4,1,4,LSA,04.04.SL.4.1.4_LSA,30,0,39.461323,-51.51438903808594,-52.20875930786133,pfsa,4,0.01,36.24470901489258
04,04,4,1,4,LSA,04.04.SL.4.1.4_LSA,40,0,39.13061,-50.971317291259766,-51.696407318115234,pfsa,4,0.01,40.6600227355957
04,04,4,1,4,LSA,04.04.SL.4.1.4_LSA,50,0,38.865482,-50.52937698364258,-51.28248977661133,pfsa,4,0.01,35.91590118408203
04,04,4,1,4,LSA,04.04.SL.4.1.4_LSA,60,0,38.663803,-50.17877960205078,-50.96001815795898,pfsa,4,0.01,34.81363296508789
04,04,4,1,4,LSA,04.04.SL.4.1.4_LSA,70,0,38.51511,-49.89773178100586,-50.70842742919922,pfsa,4,0.01,37.38570785522461
04,04,4,1,4,LSA,04.04.SL.4.1.4_LSA,80,0,38.390495,-49.65555191040039,-50.49504470825195,pfsa,4,0.01,37.35333633422852
04,04,4,1,4,LSA,04.04.SL.4.1.4_LSA,90,0,38.287483,-49.4395751953125,-50.311126708984375,pfsa,4,0.01,38.89839172363281
04,04,4,1,4,LSA,04.04.SL.4.1.4_LSA,100,0,38.185886,-49.23751068115234,-50.1419677734375,pfsa,4,0.01,35.83891296386719
04,04,4,1,4,LSA,04.04.SL.4.1.4_LSA,110,0,38.102493,-49.054683685302734,-49.99764633178711,pfsa,4,0.01,35.462623596191406
04,04,4,1,4,LSA,04.04.SL.4.1.4_LSA,120,0,38.02375,-48.878700256347656,-49.86442947387695,pfsa,4,0.01,40.37049102783203
04,04,4,1,4,LSA,04.04.SL.4.1.4_LSA,130,1,37.947285,-48.71012878417969,-49.74282836914063,pfsa,4,0.01,39.29083251953125
04,04,4,1,4,LSA,04.04.SL.4.1.4_LSA,140,1,37.8883,-48.55484008789063,-49.64242935180664,pfsa,4,0.01,35.531272888183594
04,04,4,1,4,LSA,04.04.SL.4.1.4_LSA,150,1,37.84431,-48.40678024291992,-49.557411193847656,pfsa,4,0.01,40.26784133911133
04,04,4,1,4,LSA,04.04.SL.4.1.4_LSA,160,1,37.806454,-48.2716064453125,-49.490821838378906,pfsa,4,0.01,33.84761428833008
