step,epoch,dev_loss,TRUE_scores,FALSE_scores,model_type,batch_size,lr,mean_loss
0,0,41.039246,-53.90757369995117,-54.58648681640625,ptsl2,32,0.001,40.329166412353516
10,0,41.000942,-53.84136962890625,-54.526920318603516,ptsl2,32,0.001,41.13759994506836
20,1,40.963287,-53.775936126708984,-54.46814727783203,ptsl2,32,0.001,40.03653335571289
30,1,40.92584,-53.71112823486328,-54.40978240966797,ptsl2,32,0.001,40.974510192871094
40,2,40.88851,-53.64616012573242,-54.35144805908203,ptsl2,32,0.001,40.53064727783203
50,3,40.851257,-53.58108901977539,-54.2931022644043,ptsl2,32,0.001,40.84131622314453
60,3,40.81418,-53.51593017578125,-54.23484802246094,ptsl2,32,0.001,42.16033172607422
70,4,40.7772,-53.45112609863281,-54.176719665527344,ptsl2,32,0.001,39.7286262512207
80,5,40.74032,-53.386417388916016,-54.118709564208984,ptsl2,32,0.001,41.104835510253906
90,5,40.703438,-53.32144546508789,-54.06057357788086,ptsl2,32,0.001,40.022735595703125
100,6,40.666878,-53.256622314453125,-54.002750396728516,ptsl2,32,0.001,41.80023956298828
110,6,40.630367,-53.191402435302734,-53.94476318359375,ptsl2,32,0.001,40.31665802001953
120,7,40.59422,-53.127685546875,-53.887657165527344,ptsl2,32,0.001,40.339637756347656
130,8,40.55815,-53.063148498535156,-53.83023452758789,ptsl2,32,0.001,39.58159637451172
140,8,40.522167,-52.998348236083984,-53.77273941040039,ptsl2,32,0.001,39.360076904296875
150,9,40.486504,-52.934364318847656,-53.71584701538086,ptsl2,32,0.001,41.45872497558594
160,10,40.451057,-52.87039566040039,-53.65907669067383,ptsl2,32,0.001,40.110618591308594
170,10,40.415947,-52.80647659301758,-53.60261154174805,ptsl2,32,0.001,40.39979553222656
175,10,40.398464,-52.774620056152344,-53.57444763183594,ptsl2,32,0.001,39.449424743652344
