step,epoch,dev_loss,TRUE_scores,FALSE_scores,model_type,batch_size,lr,mean_loss
0,0,41.062965,-53.94029235839844,-53.94247055053711,ptsl2,32,0.001,41.506526947021484
10,0,41.023537,-53.879703521728516,-53.898677825927734,ptsl2,32,0.001,40.75275802612305
20,1,40.983974,-53.81900405883789,-53.853919982910156,ptsl2,32,0.001,39.35163116455078
30,1,40.94428,-53.758079528808594,-53.808868408203125,ptsl2,32,0.001,41.36063003540039
40,2,40.904648,-53.69699478149414,-53.76476287841797,ptsl2,32,0.001,41.46687316894531
50,3,40.86477,-53.635597229003906,-53.719993591308594,ptsl2,32,0.001,41.570011138916016
60,3,40.82488,-53.574039459228516,-53.67534255981445,ptsl2,32,0.001,41.01133728027344
70,4,40.784878,-53.51240921020508,-53.63041305541992,ptsl2,32,0.001,40.56853103637695
80,5,40.74477,-53.45032501220703,-53.585697174072266,ptsl2,32,0.001,41.017051696777344
90,5,40.70463,-53.38810729980469,-53.54133987426758,ptsl2,32,0.001,40.830177307128906
100,6,40.66449,-53.32573699951172,-53.49712371826172,ptsl2,32,0.001,40.520320892333984
110,6,40.62434,-53.26328659057617,-53.45289993286133,ptsl2,32,0.001,42.692901611328125
120,7,40.58409,-53.200809478759766,-53.40804672241211,ptsl2,32,0.001,40.37718963623047
130,8,40.543663,-53.13786315917969,-53.3634147644043,ptsl2,32,0.001,39.83243942260742
140,8,40.503338,-53.07501983642578,-53.31903839111328,ptsl2,32,0.001,40.89353561401367
150,9,40.462925,-53.011802673339844,-53.27495193481445,ptsl2,32,0.001,38.68498992919922
160,10,40.42268,-52.948875427246094,-53.23112487792969,ptsl2,32,0.001,40.5723991394043
170,10,40.382656,-52.88623809814453,-53.187503814697266,ptsl2,32,0.001,41.16310119628906
175,10,40.36265,-52.854793548583984,-53.16567611694336,ptsl2,32,0.001,39.74229431152344
