alpha_size,tier,window_size,threshold,id,gen_method,train_test_class,step,epoch,dev_loss,TRUE_scores,FALSE_scores,model_type,batch_size,lr,mean_loss
04,04,2,1,5,LSA,04.04.SL.2.1.5_LSA,0,0,41.05056,-53.92216491699219,-54.58277130126953,ptsl2,16,0.001,40.64433288574219
04,04,2,1,5,LSA,04.04.SL.2.1.5_LSA,10,0,41.01024,-53.856693267822266,-54.52239990234375,ptsl2,16,0.001,41.49400329589844
04,04,2,1,5,LSA,04.04.SL.2.1.5_LSA,20,0,40.971153,-53.7921028137207,-54.46339797973633,ptsl2,16,0.001,41.75403594970703
04,04,2,1,5,LSA,04.04.SL.2.1.5_LSA,30,0,40.932323,-53.72799682617188,-54.404727935791016,ptsl2,16,0.001,40.19588470458984
04,04,2,1,5,LSA,04.04.SL.2.1.5_LSA,40,1,40.893196,-53.66360092163086,-54.3458137512207,ptsl2,16,0.001,41.449256896972656
04,04,2,1,5,LSA,04.04.SL.2.1.5_LSA,50,1,40.85375,-53.598331451416016,-54.286399841308594,ptsl2,16,0.001,41.09082794189453
04,04,2,1,5,LSA,04.04.SL.2.1.5_LSA,60,1,40.81425,-53.53267288208008,-54.22662734985352,ptsl2,16,0.001,40.54444122314453
04,04,2,1,5,LSA,04.04.SL.2.1.5_LSA,70,2,40.77501,-53.46735000610352,-54.16709518432617,ptsl2,16,0.001,42.77742004394531
04,04,2,1,5,LSA,04.04.SL.2.1.5_LSA,80,2,40.73495,-53.400299072265625,-54.10614776611328,ptsl2,16,0.001,40.25483703613281
04,04,2,1,5,LSA,04.04.SL.2.1.5_LSA,90,2,40.69468,-53.33298110961914,-54.04519271850586,ptsl2,16,0.001,40.41816711425781
04,04,2,1,5,LSA,04.04.SL.2.1.5_LSA,100,3,40.654324,-53.26495742797852,-53.98402404785156,ptsl2,16,0.001,39.53327178955078
04,04,2,1,5,LSA,04.04.SL.2.1.5_LSA,110,3,40.613663,-53.19577407836914,-53.92208480834961,ptsl2,16,0.001,42.4130859375
04,04,2,1,5,LSA,04.04.SL.2.1.5_LSA,120,3,40.572514,-53.12636184692383,-53.85961151123047,ptsl2,16,0.001,40.124114990234375
04,04,2,1,5,LSA,04.04.SL.2.1.5_LSA,130,4,40.53182,-53.056976318359375,-53.797481536865234,ptsl2,16,0.001,40.71815872192383
04,04,2,1,5,LSA,04.04.SL.2.1.5_LSA,140,4,40.491154,-52.98730850219727,-53.73533248901367,ptsl2,16,0.001,39.568450927734375
04,04,2,1,5,LSA,04.04.SL.2.1.5_LSA,150,4,40.44996,-52.91633605957031,-53.67206573486328,ptsl2,16,0.001,40.77316665649414
04,04,2,1,5,LSA,04.04.SL.2.1.5_LSA,160,5,40.408375,-52.8447494506836,-53.60831069946289,ptsl2,16,0.001,38.72439193725586
04,04,2,1,5,LSA,04.04.SL.2.1.5_LSA,170,5,40.36655,-52.77302169799805,-53.54463577270508,ptsl2,16,0.001,39.27897644042969
04,04,2,1,5,LSA,04.04.SL.2.1.5_LSA,180,5,40.324955,-52.70073699951172,-53.48063659667969,ptsl2,16,0.001,39.765403747558594
04,04,2,1,5,LSA,04.04.SL.2.1.5_LSA,190,5,40.283165,-52.62794876098633,-53.41643905639648,ptsl2,16,0.001,40.66497802734375
04,04,2,1,5,LSA,04.04.SL.2.1.5_LSA,200,6,40.24196,-52.55559921264648,-53.35239028930664,ptsl2,16,0.001,40.5727653503418
04,04,2,1,5,LSA,04.04.SL.2.1.5_LSA,210,6,40.20075,-52.48276901245117,-53.28855514526367,ptsl2,16,0.001,40.31481552124024
04,04,2,1,5,LSA,04.04.SL.2.1.5_LSA,220,6,40.158867,-52.40946578979492,-53.22416687011719,ptsl2,16,0.001,41.34248733520508
04,04,2,1,5,LSA,04.04.SL.2.1.5_LSA,230,7,40.116776,-52.33502578735352,-53.15933990478516,ptsl2,16,0.001,41.47155380249024
04,04,2,1,5,LSA,04.04.SL.2.1.5_LSA,240,7,40.074947,-52.26046371459961,-53.094608306884766,ptsl2,16,0.001,40.39194107055664
04,04,2,1,5,LSA,04.04.SL.2.1.5_LSA,250,7,40.03337,-52.18624114990234,-53.03017425537109,ptsl2,16,0.001,38.71474075317383
04,04,2,1,5,LSA,04.04.SL.2.1.5_LSA,260,8,39.992306,-52.11259078979492,-52.96635055541992,ptsl2,16,0.001,40.171913146972656
04,04,2,1,5,LSA,04.04.SL.2.1.5_LSA,270,8,39.951473,-52.03903579711914,-52.90283203125,ptsl2,16,0.001,39.97100830078125
04,04,2,1,5,LSA,04.04.SL.2.1.5_LSA,280,8,39.910664,-51.96547317504883,-52.839351654052734,ptsl2,16,0.001,40.80915069580078
04,04,2,1,5,LSA,04.04.SL.2.1.5_LSA,290,9,39.869934,-51.891231536865234,-52.77534866333008,ptsl2,16,0.001,38.00569915771485
04,04,2,1,5,LSA,04.04.SL.2.1.5_LSA,300,9,39.829365,-51.81731033325195,-52.71173095703125,ptsl2,16,0.001,39.30260467529297
04,04,2,1,5,LSA,04.04.SL.2.1.5_LSA,310,9,39.789185,-51.743595123291016,-52.648555755615234,ptsl2,16,0.001,38.705223083496094
04,04,2,1,5,LSA,04.04.SL.2.1.5_LSA,320,10,39.749195,-51.66973114013672,-52.58560180664063,ptsl2,16,0.001,40.33539581298828
04,04,2,1,5,LSA,04.04.SL.2.1.5_LSA,330,10,39.70903,-51.59534454345703,-52.52233505249024,ptsl2,16,0.001,39.38142776489258
04,04,2,1,5,LSA,04.04.SL.2.1.5_LSA,340,10,39.66965,-51.52178955078125,-52.45990753173828,ptsl2,16,0.001,39.36482238769531
04,04,2,1,5,LSA,04.04.SL.2.1.5_LSA,350,10,39.63067,-51.44900894165039,-52.398223876953125,ptsl2,16,0.001,39.73327255249024
04,04,2,1,5,LSA,04.04.SL.2.1.5_LSA,351,10,39.626766,-51.44173431396485,-52.39207077026367,ptsl2,16,0.001,43.42061233520508
04,04,2,1,5,LSA,04.04.SL.2.1.5_LSA,0,0,41.04446,-53.91505432128906,-54.575950622558594,ptsl2,2,0.01,37.02592086791992
