step,epoch,dev_loss,TRUE_scores,FALSE_scores,model_type,batch_size,lr,mean_loss
0,0,41.05417,-53.955204010009766,-54.63691329956055,sl2,16,0.01,41.66439437866211
10,0,40.216705,-52.39558410644531,-53.25651550292969,sl2,16,0.01,40.48025894165039
20,0,39.569786,-51.09989547729492,-52.13784408569336,sl2,16,0.01,39.67500305175781
30,0,39.081387,-50.030086517333984,-51.24095916748047,sl2,16,0.01,38.741275787353516
40,1,38.730087,-49.16313552856445,-50.53596115112305,sl2,16,0.01,36.53870391845703
50,1,38.485336,-48.45843505859375,-49.9881477355957,sl2,16,0.01,37.21923828125
60,1,38.318607,-47.88002014160156,-49.55879592895508,sl2,16,0.01,38.42538070678711
70,2,38.205853,-47.397117614746094,-49.215396881103516,sl2,16,0.01,37.099151611328125
80,2,38.14916,-47.00830841064453,-48.96001052856445,sl2,16,0.01,36.16695785522461
90,2,38.12909,-46.689659118652344,-48.76353454589844,sl2,16,0.01,34.79322052001953
100,3,38.132885,-46.417686462402344,-48.606170654296875,sl2,16,0.01,35.412628173828125
110,3,38.15409,-46.18711853027344,-48.486263275146484,sl2,16,0.01,35.549354553222656
120,3,38.195663,-45.99623107910156,-48.39834976196289,sl2,16,0.01,34.245853424072266
130,4,38.253746,-45.83631134033203,-48.33456802368164,sl2,16,0.01,33.83591842651367
140,4,38.32458,-45.6943244934082,-48.286895751953125,sl2,16,0.01,35.368526458740234
150,4,38.391556,-45.571739196777344,-48.2531623840332,sl2,16,0.01,35.18017578125
160,5,38.45757,-45.47382354736328,-48.235321044921875,sl2,16,0.01,36.167236328125
170,5,38.526783,-45.386722564697266,-48.225730895996094,sl2,16,0.01,35.47203063964844
180,5,38.607147,-45.315025329589844,-48.229366302490234,sl2,16,0.01,32.68533706665039
190,5,38.67065,-45.240623474121094,-48.22593688964844,sl2,16,0.01,34.75580978393555
200,6,38.734306,-45.16997528076172,-48.223480224609375,sl2,16,0.01,33.776432037353516
210,6,38.808693,-45.119232177734375,-48.23834991455078,sl2,16,0.01,34.3829345703125
220,6,38.887897,-45.06755828857422,-48.25296401977539,sl2,16,0.01,33.99479293823242
230,7,38.970753,-45.023563385009766,-48.269500732421875,sl2,16,0.01,32.853355407714844
240,7,39.049942,-44.98902130126953,-48.292869567871094,sl2,16,0.01,35.00056838989258
250,7,39.11743,-44.948246002197266,-48.30895233154297,sl2,16,0.01,36.6856689453125
260,8,39.189518,-44.91416931152344,-48.33051300048828,sl2,16,0.01,35.71647644042969
270,8,39.265663,-44.890174865722656,-48.359779357910156,sl2,16,0.01,34.64020538330078
280,8,39.33471,-44.86479568481445,-48.38562774658203,sl2,16,0.01,33.20186233520508
290,9,39.399544,-44.839229583740234,-48.41024398803711,sl2,16,0.01,34.79238510131836
300,9,39.46903,-44.82111740112305,-48.44176483154297,sl2,16,0.01,34.94717788696289
310,9,39.54399,-44.79990005493164,-48.46965408325195,sl2,16,0.01,33.83128356933594
320,10,39.605694,-44.7779655456543,-48.49220657348633,sl2,16,0.01,34.341552734375
330,10,39.650787,-44.7587890625,-48.5152702331543,sl2,16,0.01,33.86207962036133
340,10,39.712337,-44.742000579833984,-48.541412353515625,sl2,16,0.01,34.58530807495117
350,10,39.78229,-44.72611618041992,-48.56887435913086,sl2,16,0.01,34.038917541503906
351,10,39.789783,-44.725528717041016,-48.57251739501953,sl2,16,0.01,36.12947463989258
