step,epoch,dev_loss,TRUE_scores,FALSE_scores,model_type,batch_size,lr,mean_loss
0,0,41.085804,-53.96403503417969,-53.967750549316406,sl2,32,0.01,41.773094177246094
10,0,40.448196,-53.023170471191406,-53.085060119628906,sl2,32,0.01,40.062259674072266
20,1,39.955666,-52.27643585205078,-52.41793441772461,sl2,32,0.01,40.233985900878906
30,1,39.577236,-51.694732666015625,-51.89633560180664,sl2,32,0.01,39.354942321777344
40,2,39.27685,-51.2542839050293,-51.4569206237793,sl2,32,0.01,39.7013053894043
50,3,39.062206,-50.91620635986328,-51.14374923706055,sl2,32,0.01,39.30659103393555
60,3,38.914326,-50.65766525268555,-50.936134338378906,sl2,32,0.01,38.52143096923828
70,4,38.77595,-50.45781707763672,-50.716861724853516,sl2,32,0.01,38.38154983520508
80,5,38.673447,-50.30189514160156,-50.549461364746094,sl2,32,0.01,39.24531936645508
90,5,38.598934,-50.186458587646484,-50.42314910888672,sl2,32,0.01,39.38754653930664
100,6,38.55654,-50.084083557128906,-50.35932922363281,sl2,32,0.01,37.698936462402344
110,6,38.52648,-50.00082015991211,-50.317012786865234,sl2,32,0.01,38.44517135620117
120,7,38.49381,-49.93758773803711,-50.26197052001953,sl2,32,0.01,38.567909240722656
130,8,38.456665,-49.882476806640625,-50.19185256958008,sl2,32,0.01,38.80775451660156
140,8,38.41548,-49.831321716308594,-50.116844177246094,sl2,32,0.01,37.923980712890625
150,9,38.397217,-49.80220031738281,-50.076725006103516,sl2,32,0.01,38.25276184082031
160,10,38.38895,-49.775089263916016,-50.05790710449219,sl2,32,0.01,37.808773040771484
170,10,38.39138,-49.750633239746094,-50.0561637878418,sl2,32,0.01,39.38678741455078
175,10,38.376747,-49.73310470581055,-50.03083419799805,sl2,32,0.01,39.1749153137207
