alpha_size,tier,window_size,threshold,id,gen_method,train_test_class,step,epoch,dev_loss,TRUE_scores,FALSE_scores,model_type,batch_size,lr,mean_loss
04,04,6,1,9,LSR,04.04.SL.6.1.9_LSR,0,0,41.098576,-54.00412368774414,-53.95243453979492,sl2_times_ptsl2,32,0.01,41.06335067749024
04,04,6,1,9,LSR,04.04.SL.6.1.9_LSR,10,0,39.601818,-51.29140090942383,-53.1603889465332,sl2_times_ptsl2,32,0.01,38.11707305908203
04,04,6,1,9,LSR,04.04.SL.6.1.9_LSR,20,1,38.407177,-48.98916244506836,-52.75170135498047,sl2_times_ptsl2,32,0.01,35.85396194458008
04,04,6,1,9,LSR,04.04.SL.6.1.9_LSR,30,1,37.563618,-47.17562103271485,-52.7646713256836,sl2_times_ptsl2,32,0.01,36.07583618164063
04,04,6,1,9,LSR,04.04.SL.6.1.9_LSR,40,2,37.064327,-45.8695182800293,-53.10534286499024,sl2_times_ptsl2,32,0.01,34.644020080566406
04,04,6,1,9,LSR,04.04.SL.6.1.9_LSR,50,3,36.85464,-45.02864456176758,-53.6650390625,sl2_times_ptsl2,32,0.01,32.28422164916992
04,04,6,1,9,LSR,04.04.SL.6.1.9_LSR,60,3,36.81637,-44.521240234375,-54.25385665893555,sl2_times_ptsl2,32,0.01,31.885835647583008
04,04,6,1,9,LSR,04.04.SL.6.1.9_LSR,70,4,36.831665,-44.198387145996094,-54.7223014831543,sl2_times_ptsl2,32,0.01,32.952911376953125
04,04,6,1,9,LSR,04.04.SL.6.1.9_LSR,80,5,36.827297,-43.94021987915039,-55.0063362121582,sl2_times_ptsl2,32,0.01,31.59798812866211
04,04,6,1,9,LSR,04.04.SL.6.1.9_LSR,90,5,36.7881,-43.70319366455078,-55.13670349121094,sl2_times_ptsl2,32,0.01,31.03249168395996
04,04,6,1,9,LSR,04.04.SL.6.1.9_LSR,100,6,36.72397,-43.47794342041016,-55.165897369384766,sl2_times_ptsl2,32,0.01,30.596046447753903
04,04,6,1,9,LSR,04.04.SL.6.1.9_LSR,110,6,36.649353,-43.26622009277344,-55.1426887512207,sl2_times_ptsl2,32,0.01,31.206748962402344
04,04,6,1,9,LSR,04.04.SL.6.1.9_LSR,120,7,36.567017,-43.0533332824707,-55.08697509765625,sl2_times_ptsl2,32,0.01,30.28338623046875
04,04,6,1,9,LSR,04.04.SL.6.1.9_LSR,130,8,36.50601,-42.86894226074219,-55.06528091430664,sl2_times_ptsl2,32,0.01,29.778789520263672
04,04,6,1,9,LSR,04.04.SL.6.1.9_LSR,140,8,36.448723,-42.69435119628906,-55.04698181152344,sl2_times_ptsl2,32,0.01,31.248828887939453
04,04,6,1,9,LSR,04.04.SL.6.1.9_LSR,150,9,36.413944,-42.5468978881836,-55.08350372314453,sl2_times_ptsl2,32,0.01,29.96012115478516
04,04,6,1,9,LSR,04.04.SL.6.1.9_LSR,160,10,36.363613,-42.390625,-55.08269882202149,sl2_times_ptsl2,32,0.01,29.82183837890625
04,04,6,1,9,LSR,04.04.SL.6.1.9_LSR,170,10,36.32502,-42.239540100097656,-55.10084533691406,sl2_times_ptsl2,32,0.01,29.262496948242188
04,04,6,1,9,LSR,04.04.SL.6.1.9_LSR,175,10,36.302208,-42.16732406616211,-55.09904479980469,sl2_times_ptsl2,32,0.01,29.9233341217041
04,04,6,1,9,LSR,04.04.SL.6.1.9_LSR,0,0,41.03897,-53.901893615722656,-53.93350601196289,sl2_times_ptsl2,4,0.001,41.0238151550293
04,04,6,1,9,LSR,04.04.SL.6.1.9_LSR,10,0,40.887363,-53.63029098510742,-53.85005569458008,sl2_times_ptsl2,4,0.001,38.36497116088867
04,04,6,1,9,LSR,04.04.SL.6.1.9_LSR,20,0,40.73879,-53.36520385742188,-53.76705551147461,sl2_times_ptsl2,4,0.001,41.71608352661133
04,04,6,1,9,LSR,04.04.SL.6.1.9_LSR,30,0,40.592903,-53.102783203125,-53.6878662109375,sl2_times_ptsl2,4,0.001,40.743125915527344
04,04,6,1,9,LSR,04.04.SL.6.1.9_LSR,40,0,40.448902,-52.84234237670898,-53.6127815246582,sl2_times_ptsl2,4,0.001,38.92414474487305
04,04,6,1,9,LSR,04.04.SL.6.1.9_LSR,50,0,40.305695,-52.58161544799805,-53.541595458984375,sl2_times_ptsl2,4,0.001,37.79877853393555
04,04,6,1,9,LSR,04.04.SL.6.1.9_LSR,60,0,40.167496,-52.32918930053711,-53.47422790527344,sl2_times_ptsl2,4,0.001,37.24028396606445
04,04,6,1,9,LSR,04.04.SL.6.1.9_LSR,70,0,40.033386,-52.08346557617188,-53.40995407104492,sl2_times_ptsl2,4,0.001,36.111209869384766
04,04,6,1,9,LSR,04.04.SL.6.1.9_LSR,80,0,39.900936,-51.84041595458984,-53.34897613525391,sl2_times_ptsl2,4,0.001,40.666622161865234
04,04,6,1,9,LSR,04.04.SL.6.1.9_LSR,90,0,39.769875,-51.59904098510742,-53.29005432128906,sl2_times_ptsl2,4,0.001,40.97101211547852
04,04,6,1,9,LSR,04.04.SL.6.1.9_LSR,100,0,39.64187,-51.36121368408203,-53.23381042480469,sl2_times_ptsl2,4,0.001,36.37783432006836
04,04,6,1,9,LSR,04.04.SL.6.1.9_LSR,110,0,39.516975,-51.12696075439453,-53.18303298950195,sl2_times_ptsl2,4,0.001,40.05455017089844
04,04,6,1,9,LSR,04.04.SL.6.1.9_LSR,120,0,39.393166,-50.8930892944336,-53.13739013671875,sl2_times_ptsl2,4,0.001,35.86433792114258
04,04,6,1,9,LSR,04.04.SL.6.1.9_LSR,130,1,39.273506,-50.66539764404297,-53.0953254699707,sl2_times_ptsl2,4,0.001,36.888282775878906
04,04,6,1,9,LSR,04.04.SL.6.1.9_LSR,140,1,39.15832,-50.44438934326172,-53.05690002441406,sl2_times_ptsl2,4,0.001,36.662139892578125
04,04,6,1,9,LSR,04.04.SL.6.1.9_LSR,150,1,39.04714,-50.22905731201172,-53.02205657958984,sl2_times_ptsl2,4,0.001,38.07321166992188
04,04,6,1,9,LSR,04.04.SL.6.1.9_LSR,160,1,38.939224,-50.0201530456543,-52.987064361572266,sl2_times_ptsl2,4,0.001,36.96886444091797
04,04,6,1,9,LSR,04.04.SL.6.1.9_LSR,170,1,38.833103,-49.81371307373047,-52.955528259277344,sl2_times_ptsl2,4,0.001,36.919715881347656
04,04,6,1,9,LSR,04.04.SL.6.1.9_LSR,180,1,38.72919,-49.610633850097656,-52.92593765258789,sl2_times_ptsl2,4,0.001,37.534549713134766
04,04,6,1,9,LSR,04.04.SL.6.1.9_LSR,190,1,38.628483,-49.4127311706543,-52.89847946166992,sl2_times_ptsl2,4,0.001,34.37823486328125
04,04,6,1,9,LSR,04.04.SL.6.1.9_LSR,200,1,38.530254,-49.21676635742188,-52.87628936767578,sl2_times_ptsl2,4,0.001,38.19565963745117
04,04,6,1,9,LSR,04.04.SL.6.1.9_LSR,210,1,38.434566,-49.023773193359375,-52.85745620727539,sl2_times_ptsl2,4,0.001,38.09806823730469
04,04,6,1,9,LSR,04.04.SL.6.1.9_LSR,220,1,38.34142,-48.833255767822266,-52.84276580810547,sl2_times_ptsl2,4,0.001,35.08955383300781
04,04,6,1,9,LSR,04.04.SL.6.1.9_LSR,230,1,38.251774,-48.65102005004883,-52.82663345336914,sl2_times_ptsl2,4,0.001,38.10007858276367
04,04,6,1,9,LSR,04.04.SL.6.1.9_LSR,240,1,38.16521,-48.47409057617188,-52.81337356567383,sl2_times_ptsl2,4,0.001,37.54981231689453
04,04,6,1,9,LSR,04.04.SL.6.1.9_LSR,250,2,38.08218,-48.2999153137207,-52.808719635009766,sl2_times_ptsl2,4,0.001,38.14508819580078
