step,epoch,dev_loss,TRUE_scores,FALSE_scores,model_type,batch_size,lr,mean_loss
0,0,41.049015,-53.927337646484375,-53.91032791137695,soft_tsl2,32,0.001,40.90070343017578
10,0,41.00566,-53.844459533691406,-53.87332534790039,soft_tsl2,32,0.001,40.38522720336914
20,1,40.962086,-53.761314392089844,-53.83588409423828,soft_tsl2,32,0.001,40.172698974609375
30,1,40.918465,-53.67824172973633,-53.79824447631836,soft_tsl2,32,0.001,41.363441467285156
40,2,40.874638,-53.59431076049805,-53.76081085205078,soft_tsl2,32,0.001,42.3990364074707
50,3,40.830532,-53.50954055786133,-53.72331237792969,soft_tsl2,32,0.001,40.49843978881836
60,3,40.786495,-53.42440414428711,-53.68607711791992,soft_tsl2,32,0.001,39.95366668701172
70,4,40.74195,-53.33859634399414,-53.648399353027344,soft_tsl2,32,0.001,39.53143310546875
80,5,40.697323,-53.252052307128906,-53.61100769042969,soft_tsl2,32,0.001,40.78752517700195
90,5,40.652824,-53.165504455566406,-53.573673248291016,soft_tsl2,32,0.001,40.63165283203125
100,6,40.60797,-53.07811737060547,-53.536190032958984,soft_tsl2,32,0.001,40.544769287109375
110,6,40.563023,-52.9904899597168,-53.49856948852539,soft_tsl2,32,0.001,41.5180549621582
120,7,40.517742,-52.9017448425293,-53.46122741699219,soft_tsl2,32,0.001,40.240684509277344
130,8,40.472767,-52.81300735473633,-53.424339294433594,soft_tsl2,32,0.001,39.355247497558594
140,8,40.427765,-52.723777770996094,-53.38762664794922,soft_tsl2,32,0.001,39.98200988769531
150,9,40.38264,-52.63463592529297,-53.35055923461914,soft_tsl2,32,0.001,41.51539611816406
160,10,40.33757,-52.54486846923828,-53.31413269042969,soft_tsl2,32,0.001,41.25733947753906
170,10,40.292458,-52.45465850830078,-53.278018951416016,soft_tsl2,32,0.001,40.64726638793945
175,10,40.26995,-52.40946960449219,-53.26021194458008,soft_tsl2,32,0.001,40.401451110839844
