step,epoch,dev_loss,TRUE_scores,FALSE_scores,model_type,batch_size,lr,mean_loss
0,0,41.056343,-53.933834075927734,-54.60487365722656,soft_tsl2,32,0.001,42.81085205078125
10,0,41.01831,-53.8803825378418,-54.55116653442383,soft_tsl2,32,0.001,40.55675506591797
20,1,40.981556,-53.82834243774414,-54.499568939208984,soft_tsl2,32,0.001,41.17598342895508
30,1,40.94482,-53.7763557434082,-54.44785690307617,soft_tsl2,32,0.001,40.43129348754883
40,2,40.907608,-53.72391128540039,-54.39534378051758,soft_tsl2,32,0.001,42.59554672241211
50,3,40.87144,-53.672359466552734,-54.34452819824219,soft_tsl2,32,0.001,40.35778045654297
60,3,40.835514,-53.620948791503906,-54.29414367675781,soft_tsl2,32,0.001,40.773033142089844
70,4,40.799023,-53.56901550292969,-54.24272918701172,soft_tsl2,32,0.001,41.57960510253906
80,5,40.762238,-53.516658782958984,-54.19087600708008,soft_tsl2,32,0.001,42.03760528564453
90,5,40.724987,-53.46356201171875,-54.13809585571289,soft_tsl2,32,0.001,40.451332092285156
100,6,40.68842,-53.411399841308594,-54.08648681640625,soft_tsl2,32,0.001,42.553104400634766
110,6,40.651417,-53.35883712768555,-54.03422927856445,soft_tsl2,32,0.001,39.333526611328125
120,7,40.61479,-53.306278228759766,-53.98235321044922,soft_tsl2,32,0.001,40.33906173706055
130,8,40.577866,-53.25348663330078,-53.92997360229492,soft_tsl2,32,0.001,41.68865203857422
140,8,40.541306,-53.20112991333008,-53.87824249267578,soft_tsl2,32,0.001,41.16119384765625
150,9,40.506104,-53.149845123291016,-53.82863235473633,soft_tsl2,32,0.001,40.47085189819336
160,10,40.47033,-53.09804153442383,-53.77799606323242,soft_tsl2,32,0.001,39.34648895263672
170,10,40.434734,-53.04636001586914,-53.72751998901367,soft_tsl2,32,0.001,39.421424865722656
175,10,40.416843,-53.02048873901367,-53.702152252197266,soft_tsl2,32,0.001,41.503665924072266
