alpha_size,tier,window_size,threshold,id,gen_method,train_test_class,step,epoch,dev_loss,TRUE_scores,FALSE_scores,model_type,batch_size,lr,mean_loss
04,04,2,1,8,LSA,04.04.SL.2.1.8_LSA,0,0,41.03709,-53.90373992919922,-54.4416389465332,soft_tsl2,4,0.01,43.44914245605469
04,04,2,1,8,LSA,04.04.SL.2.1.8_LSA,10,0,40.732216,-53.43948745727539,-54.04122543334961,soft_tsl2,4,0.01,38.28784942626953
04,04,2,1,8,LSA,04.04.SL.2.1.8_LSA,20,0,40.42272,-52.96293258666992,-53.62701416015625,soft_tsl2,4,0.01,45.13362121582031
04,04,2,1,8,LSA,04.04.SL.2.1.8_LSA,30,0,40.11348,-52.47896194458008,-53.21335983276367,soft_tsl2,4,0.01,40.74166488647461
04,04,2,1,8,LSA,04.04.SL.2.1.8_LSA,40,0,39.815113,-52.00189208984375,-52.81865310668945,soft_tsl2,4,0.01,39.23956298828125
04,04,2,1,8,LSA,04.04.SL.2.1.8_LSA,50,0,39.532024,-51.54338455200195,-52.4480094909668,soft_tsl2,4,0.01,38.91141128540039
04,04,2,1,8,LSA,04.04.SL.2.1.8_LSA,60,0,39.27284,-51.10795211791992,-52.11975860595703,soft_tsl2,4,0.01,33.00175857543945
04,04,2,1,8,LSA,04.04.SL.2.1.8_LSA,70,0,39.044144,-50.70383834838867,-51.831634521484375,soft_tsl2,4,0.01,34.98804473876953
04,04,2,1,8,LSA,04.04.SL.2.1.8_LSA,80,0,38.855247,-50.34820556640625,-51.59775161743164,soft_tsl2,4,0.01,40.287410736083984
04,04,2,1,8,LSA,04.04.SL.2.1.8_LSA,90,0,38.700584,-50.04023742675781,-51.41349792480469,soft_tsl2,4,0.01,38.21045684814453
04,04,2,1,8,LSA,04.04.SL.2.1.8_LSA,100,0,38.577797,-49.77213287353516,-51.26930618286133,soft_tsl2,4,0.01,34.61104965209961
04,04,2,1,8,LSA,04.04.SL.2.1.8_LSA,110,0,38.484047,-49.54322814941406,-51.16105651855469,soft_tsl2,4,0.01,38.78403472900391
04,04,2,1,8,LSA,04.04.SL.2.1.8_LSA,120,0,38.4063,-49.34012222290039,-51.06884002685547,soft_tsl2,4,0.01,36.28626251220703
04,04,2,1,8,LSA,04.04.SL.2.1.8_LSA,130,1,38.346,-49.1625862121582,-50.99542236328125,soft_tsl2,4,0.01,36.25802993774414
04,04,2,1,8,LSA,04.04.SL.2.1.8_LSA,140,1,38.310177,-49.01464080810547,-50.955352783203125,soft_tsl2,4,0.01,37.73548889160156
04,04,2,1,8,LSA,04.04.SL.2.1.8_LSA,150,1,38.28365,-48.88397216796875,-50.924163818359375,soft_tsl2,4,0.01,35.449737548828125
04,04,2,1,8,LSA,04.04.SL.2.1.8_LSA,160,1,38.27155,-48.77729034423828,-50.92461013793945,soft_tsl2,4,0.01,37.76107406616211
04,04,2,1,8,LSA,04.04.SL.2.1.8_LSA,170,1,38.27774,-48.694149017333984,-50.95094299316406,soft_tsl2,4,0.01,36.12557601928711
04,04,2,1,8,LSA,04.04.SL.2.1.8_LSA,180,1,38.285862,-48.6196517944336,-50.97092819213867,soft_tsl2,4,0.01,37.33802032470703
04,04,2,1,8,LSA,04.04.SL.2.1.8_LSA,190,1,38.29472,-48.55424880981445,-50.992923736572266,soft_tsl2,4,0.01,38.90070724487305
04,04,2,1,8,LSA,04.04.SL.2.1.8_LSA,200,1,38.307407,-48.49432373046875,-51.02912521362305,soft_tsl2,4,0.01,40.52581787109375
04,04,2,1,8,LSA,04.04.SL.2.1.8_LSA,210,1,38.332302,-48.44717025756836,-51.07575607299805,soft_tsl2,4,0.01,36.13628387451172
04,04,2,1,8,LSA,04.04.SL.2.1.8_LSA,220,1,38.356457,-48.40834045410156,-51.1251106262207,soft_tsl2,4,0.01,37.30601119995117
04,04,2,1,8,LSA,04.04.SL.2.1.8_LSA,230,1,38.371883,-48.37082290649414,-51.167179107666016,soft_tsl2,4,0.01,41.69415283203125
04,04,2,1,8,LSA,04.04.SL.2.1.8_LSA,240,1,38.38726,-48.3388900756836,-51.19803237915039,soft_tsl2,4,0.01,37.201942443847656
04,04,2,1,8,LSA,04.04.SL.2.1.8_LSA,250,2,38.41412,-48.31686782836914,-51.25553131103516,soft_tsl2,4,0.01,33.67972183227539
04,04,2,1,8,LSA,04.04.SL.2.1.8_LSA,260,2,38.44466,-48.3029670715332,-51.31792068481445,soft_tsl2,4,0.01,36.340087890625
04,04,2,1,8,LSA,04.04.SL.2.1.8_LSA,270,2,38.472828,-48.290130615234375,-51.36911010742188,soft_tsl2,4,0.01,39.98144912719727
04,04,2,1,8,LSA,04.04.SL.2.1.8_LSA,280,2,38.49192,-48.26902770996094,-51.4118766784668,soft_tsl2,4,0.01,37.2885856628418
04,04,2,1,8,LSA,04.04.SL.2.1.8_LSA,290,2,38.51185,-48.243289947509766,-51.4372444152832,soft_tsl2,4,0.01,37.21075439453125
04,04,2,1,8,LSA,04.04.SL.2.1.8_LSA,300,2,38.540176,-48.22371673583984,-51.472312927246094,soft_tsl2,4,0.01,41.90534591674805
04,04,2,1,8,LSA,04.04.SL.2.1.8_LSA,310,2,38.5577,-48.19246673583984,-51.49613952636719,soft_tsl2,4,0.01,35.401458740234375
04,04,2,1,8,LSA,04.04.SL.2.1.8_LSA,320,2,38.583145,-48.17304992675781,-51.53469467163086,soft_tsl2,4,0.01,39.48973846435547
04,04,2,1,8,LSA,04.04.SL.2.1.8_LSA,330,2,38.597202,-48.1510124206543,-51.565086364746094,soft_tsl2,4,0.01,40.977664947509766
04,04,2,1,8,LSA,04.04.SL.2.1.8_LSA,340,2,38.60899,-48.13153076171875,-51.59219741821289,soft_tsl2,4,0.01,35.57628631591797
