step,epoch,dev_loss,TRUE_scores,FALSE_scores,model_type,batch_size,lr,mean_loss
0,0,41.0392,-53.788936614990234,-54.01889419555664,sp2,32,0.001,40.29489517211914
10,0,40.61482,-52.892581939697266,-53.72028732299805,sp2,32,0.001,40.76392364501953
20,1,40.230957,-52.043548583984375,-53.48662567138672,sp2,32,0.001,39.55815887451172
30,1,39.87784,-51.22881317138672,-53.302913665771484,sp2,32,0.001,39.96458435058594
40,2,39.553825,-50.4512939453125,-53.16184997558594,sp2,32,0.001,37.89269256591797
50,3,39.25947,-49.707435607910156,-53.068748474121094,sp2,32,0.001,38.036949157714844
60,3,38.994534,-49.00263214111328,-53.018680572509766,sp2,32,0.001,36.925357818603516
70,4,38.756638,-48.3315315246582,-53.00828170776367,sp2,32,0.001,37.67889404296875
80,5,38.542545,-47.69093322753906,-53.033058166503906,sp2,32,0.001,35.67138671875
90,5,38.351276,-47.0805778503418,-53.09061050415039,sp2,32,0.001,35.991172790527344
100,6,38.181557,-46.50159454345703,-53.17793273925781,sp2,32,0.001,35.86817169189453
110,6,38.031464,-45.948150634765625,-53.29281234741211,sp2,32,0.001,34.41749572753906
120,7,37.90115,-45.418792724609375,-53.43829345703125,sp2,32,0.001,34.459800720214844
130,8,37.786793,-44.917213439941406,-53.6002197265625,sp2,32,0.001,35.01301956176758
140,8,37.688194,-44.43913269042969,-53.782630920410156,sp2,32,0.001,33.80369186401367
150,9,37.605865,-43.984405517578125,-53.98633575439453,sp2,32,0.001,34.880615234375
160,10,37.53669,-43.55012130737305,-54.206180572509766,sp2,32,0.001,33.874916076660156
170,10,37.48074,-43.13361740112305,-54.44466018676758,sp2,32,0.001,33.012054443359375
175,10,37.457188,-42.93272018432617,-54.56911087036133,sp2,32,0.001,33.28591537475586
