step,epoch,dev_loss,TRUE_scores,FALSE_scores,model_type,batch_size,lr,mean_loss
0,0,40.94422,-53.61457824707031,-54.56178665161133,sp2,32,0.001,41.52619552612305
10,0,40.661144,-52.856502532958984,-53.822593688964844,sp2,32,0.001,40.812957763671875
20,1,40.424885,-52.16281509399414,-53.14960479736328,sp2,32,0.001,39.736209869384766
30,1,40.231487,-51.54328536987305,-52.551124572753906,sp2,32,0.001,39.60392761230469
40,2,40.060352,-51.028316497802734,-52.052528381347656,sp2,32,0.001,40.06718063354492
50,3,39.92178,-50.57297134399414,-51.61335754394531,sp2,32,0.001,39.56852722167969
60,3,39.80972,-50.16866683959961,-51.225040435791016,sp2,32,0.001,39.34048080444336
70,4,39.69547,-49.85074234008789,-50.91585159301758,sp2,32,0.001,39.34780502319336
80,5,39.5995,-49.564422607421875,-50.638328552246094,sp2,32,0.001,39.26144027709961
90,5,39.514797,-49.3150634765625,-50.39643096923828,sp2,32,0.001,38.757530212402344
100,6,39.438656,-49.09343719482422,-50.181007385253906,sp2,32,0.001,37.931602478027344
110,6,39.36374,-48.906524658203125,-49.99773025512695,sp2,32,0.001,38.161197662353516
120,7,39.295574,-48.7401008605957,-49.83405303955078,sp2,32,0.001,37.36978530883789
130,8,39.239037,-48.584590911865234,-49.68239974975586,sp2,32,0.001,37.680599212646484
140,8,39.184025,-48.450782775878906,-49.55088424682617,sp2,32,0.001,38.420989990234375
150,9,39.126682,-48.33995056152344,-49.44022750854492,sp2,32,0.001,38.275390625
160,10,39.08415,-48.22857666015625,-49.3312873840332,sp2,32,0.001,38.218528747558594
170,10,39.04449,-48.129791259765625,-49.23432922363281,sp2,32,0.001,37.68653106689453
175,10,39.02109,-48.09022903442383,-49.19438934326172,sp2,32,0.001,37.07737350463867
