alpha_size,tier,window_size,threshold,id,gen_method,train_test_class,step,epoch,dev_loss,TRUE_scores,FALSE_scores,model_type,batch_size,lr,mean_loss
04,04,4,1,4,LSR,04.04.SL.4.1.4_LSR,0,0,41.03318,-53.90239715576172,-53.918975830078125,sp2,1,0.001,37.08494567871094
04,04,4,1,4,LSR,04.04.SL.4.1.4_LSR,10,0,40.817917,-53.578834533691406,-53.58638381958008,sp2,1,0.001,41.63426208496094
04,04,4,1,4,LSR,04.04.SL.4.1.4_LSR,20,0,40.601326,-53.25893783569336,-53.27011489868164,sp2,1,0.001,38.14958953857422
04,04,4,1,4,LSR,04.04.SL.4.1.4_LSR,30,0,40.407234,-52.97282028198242,-52.98807144165039,sp2,1,0.001,38.00856018066406
04,04,4,1,4,LSR,04.04.SL.4.1.4_LSR,40,0,40.240494,-52.7217903137207,-52.74212646484375,sp2,1,0.001,45.63677978515625
04,04,4,1,4,LSR,04.04.SL.4.1.4_LSR,50,0,40.07412,-52.47393798828125,-52.50712585449219,sp2,1,0.001,33.06574630737305
04,04,4,1,4,LSR,04.04.SL.4.1.4_LSR,60,0,39.93735,-52.2658805847168,-52.3101692199707,sp2,1,0.001,45.36996078491211
04,04,4,1,4,LSR,04.04.SL.4.1.4_LSR,70,0,39.80526,-52.064884185791016,-52.12398910522461,sp2,1,0.001,43.54170989990234
04,04,4,1,4,LSR,04.04.SL.4.1.4_LSR,80,0,39.688297,-51.8840446472168,-51.95629501342773,sp2,1,0.001,38.88005065917969
04,04,4,1,4,LSR,04.04.SL.4.1.4_LSR,90,0,39.576122,-51.71254348754883,-51.7980842590332,sp2,1,0.001,46.30679702758789
04,04,4,1,4,LSR,04.04.SL.4.1.4_LSR,100,0,39.47435,-51.55622863769531,-51.65569686889648,sp2,1,0.001,38.49928283691406
04,04,4,1,4,LSR,04.04.SL.4.1.4_LSR,110,0,39.387115,-51.42119598388672,-51.53731536865234,sp2,1,0.001,33.993995666503906
04,04,4,1,4,LSR,04.04.SL.4.1.4_LSR,120,0,39.31263,-51.30022811889648,-51.426368713378906,sp2,1,0.001,46.10115051269531
04,04,4,1,4,LSR,04.04.SL.4.1.4_LSR,130,0,39.245068,-51.18817901611328,-51.32753753662109,sp2,1,0.001,37.13790130615234
04,04,4,1,4,LSR,04.04.SL.4.1.4_LSR,140,0,39.178745,-51.08221435546875,-51.235050201416016,sp2,1,0.001,36.98769378662109
04,04,4,1,4,LSR,04.04.SL.4.1.4_LSR,150,0,39.118244,-50.98423385620117,-51.15046691894531,sp2,1,0.001,41.25749969482422
04,04,4,1,4,LSR,04.04.SL.4.1.4_LSR,160,0,39.058823,-50.889007568359375,-51.071868896484375,sp2,1,0.001,41.2181396484375
04,04,4,1,4,LSR,04.04.SL.4.1.4_LSR,170,0,38.996887,-50.79158020019531,-50.99472427368164,sp2,1,0.001,38.345977783203125
04,04,4,1,4,LSR,04.04.SL.4.1.4_LSR,180,0,38.943848,-50.705474853515625,-50.9267807006836,sp2,1,0.001,38.17868041992188
04,04,4,1,4,LSR,04.04.SL.4.1.4_LSR,190,0,38.897434,-50.631046295166016,-50.87099838256836,sp2,1,0.001,40.94805908203125
04,04,4,1,4,LSR,04.04.SL.4.1.4_LSR,200,0,38.855698,-50.56462097167969,-50.8223991394043,sp2,1,0.001,37.937644958496094
04,04,4,1,4,LSR,04.04.SL.4.1.4_LSR,210,0,38.817516,-50.50069046020508,-50.77717208862305,sp2,1,0.001,37.69845199584961
04,04,4,1,4,LSR,04.04.SL.4.1.4_LSR,220,0,38.775,-50.430397033691406,-50.72498321533203,sp2,1,0.001,32.043704986572266
04,04,4,1,4,LSR,04.04.SL.4.1.4_LSR,230,0,38.739002,-50.36665725708008,-50.678009033203125,sp2,1,0.001,37.79979705810547
04,04,4,1,4,LSR,04.04.SL.4.1.4_LSR,240,0,38.706802,-50.31086730957031,-50.63673400878906,sp2,1,0.001,45.310882568359375
04,04,4,1,4,LSR,04.04.SL.4.1.4_LSR,250,0,38.673164,-50.25482940673828,-50.594764709472656,sp2,1,0.001,40.28483581542969
04,04,4,1,4,LSR,04.04.SL.4.1.4_LSR,260,0,38.64234,-50.19872283935547,-50.55050659179688,sp2,1,0.001,45.42228698730469
04,04,4,1,4,LSR,04.04.SL.4.1.4_LSR,270,0,38.61581,-50.145755767822266,-50.50766372680664,sp2,1,0.001,39.33297348022461
04,04,4,1,4,LSR,04.04.SL.4.1.4_LSR,280,0,38.58991,-50.09315490722656,-50.464500427246094,sp2,1,0.001,40.503395080566406
04,04,4,1,4,LSR,04.04.SL.4.1.4_LSR,290,0,38.56654,-50.04524993896485,-50.42900085449219,sp2,1,0.001,32.85674285888672
04,04,4,1,4,LSR,04.04.SL.4.1.4_LSR,300,0,38.54599,-50.00384140014648,-50.40346908569336,sp2,1,0.001,34.096797943115234
04,04,4,1,4,LSR,04.04.SL.4.1.4_LSR,310,0,38.529118,-49.96821212768555,-50.388458251953125,sp2,1,0.001,33.23863983154297
04,04,4,1,4,LSR,04.04.SL.4.1.4_LSR,320,0,38.5089,-49.92887878417969,-50.36349105834961,sp2,1,0.001,35.642635345458984
