score_type,step,epoch,dev_loss,spearman,pearson,model_type,batch_size,lr,mean_loss
score,0,0,31.452328,-0.2094573527973492,-0.1923272559034117,sl2,128,0.01,31.057172775268555
score,10,0,30.607544,0.6414508238257475,0.6589476230989205,sl2,128,0.01,29.96837615966797
score,20,0,29.817938,0.6308605024951265,0.6513505547311655,sl2,128,0.01,29.977914810180664
score,30,0,29.086105,0.6289040947811568,0.6498106431799975,sl2,128,0.01,29.0910758972168
score,40,0,28.413763,0.6309657660840338,0.654840306645387,sl2,128,0.01,29.035722732543945
score,50,0,27.798515,0.6344259767383968,0.6585423697618686,sl2,128,0.01,28.609638214111328
score,60,0,27.242256,0.6331033234683703,0.6576456916210498,sl2,128,0.01,27.05870056152344
score,70,0,26.738256,0.6272434548884931,0.6528829489494039,sl2,128,0.01,26.875940322875977
score,80,0,26.28367,0.6225936192335056,0.6494348813040595,sl2,128,0.01,26.73169708251953
score,90,0,25.880844,0.6227944960018877,0.6504638479093038,sl2,128,0.01,25.7571964263916
score,100,0,25.520042,0.6225523638296835,0.651774073069928,sl2,128,0.01,26.314434051513672
score,110,0,25.192509,0.6245997181887682,0.6539221974155187,sl2,128,0.01,25.15146255493164
score,120,0,24.899643,0.6266454713107182,0.65533755939672,sl2,128,0.01,25.407617568969727
score,130,0,24.640734,0.6266761459907291,0.6554482658845793,sl2,128,0.01,24.740753173828125
score,140,0,24.410091,0.6241465680796625,0.6534844627733516,sl2,128,0.01,24.07214736938477
score,150,0,24.201462,0.6234019928120508,0.6529943657191555,sl2,128,0.01,24.657745361328125
score,160,0,24.015623,0.6216149807729761,0.6513902557910156,sl2,128,0.01,23.849655151367188
score,170,0,23.849522,0.6193535629867534,0.6494576343541723,sl2,128,0.01,23.30533599853516
score,180,0,23.703873,0.6179068923308079,0.6485833566752335,sl2,128,0.01,23.83393096923828
score,190,0,23.576078,0.6196195253351381,0.650157538966885,sl2,128,0.01,23.01358795166016
score,200,0,23.462164,0.6174681219591077,0.6483500963069018,sl2,128,0.01,23.407529830932617
score,210,0,23.362684,0.6181648170967127,0.6482809674164003,sl2,128,0.01,22.413673400878903
score,220,0,23.275415,0.6160655952131879,0.6463922346312876,sl2,128,0.01,22.80545425415039
score,230,0,23.196392,0.6146939629249252,0.6451715436655487,sl2,128,0.01,22.838356018066406
score,240,0,23.127253,0.6150190454600656,0.6456135720455739,sl2,128,0.01,23.430316925048828
score,250,0,23.067469,0.6158532272136045,0.6462581988501637,sl2,128,0.01,22.77464485168457
score,260,0,23.01409,0.6170421300876778,0.6469601727698885,sl2,128,0.01,23.09098243713379
score,270,0,22.966082,0.6164731571591661,0.6462338497584973,sl2,128,0.01,22.55464172363281
score,280,0,22.922804,0.6159446547143121,0.6453665667684315,sl2,128,0.01,22.5350341796875
score,290,0,22.884548,0.6171647032204949,0.6462798811719129,sl2,128,0.01,24.41958236694336
score,300,0,22.849443,0.6169527433793968,0.6452519494053338,sl2,128,0.01,22.04256629943848
score,310,0,22.817442,0.6159173394926034,0.6438763689722369,sl2,128,0.01,22.778223037719727
score,320,0,22.789625,0.6176613065098819,0.6452359863602195,sl2,128,0.01,23.049449920654297
score,330,0,22.763374,0.6195036711189251,0.6466119817841007,sl2,128,0.01,22.98591423034668
score,340,0,22.7389,0.6203820281792964,0.646919326281585,sl2,128,0.01,22.95684814453125
score,350,0,22.717379,0.6209370295288884,0.6469351252880171,sl2,128,0.01,23.089061737060547
score,360,0,22.69876,0.6215065048063052,0.6471823963378545,sl2,128,0.01,22.66533470153809
score,370,0,22.68118,0.6224862421550645,0.6472440064423703,sl2,128,0.01,23.05714225769043
score,380,0,22.664343,0.6242456348040163,0.6486899685300163,sl2,128,0.01,22.060544967651367
