score_type,step,epoch,dev_loss,spearman,pearson,model_type,batch_size,lr,mean_loss
score,0,0,31.445393,-0.1764756126479194,-0.1720895346691193,sp2,128,0.01,31.165136337280277
score,10,0,28.663315,0.5226239265708437,0.5282624076628402,sp2,128,0.01,28.45300674438477
score,20,0,27.097946,0.5526206239407723,0.5608474041370946,sp2,128,0.01,27.479093551635746
score,30,0,26.276796,0.5773516372950047,0.5858841721201253,sp2,128,0.01,27.115873336791992
score,40,0,25.820942,0.6102257577958974,0.6164301933081202,sp2,128,0.01,26.088348388671875
score,50,0,25.504204,0.6349626737497633,0.640071415424235,sp2,128,0.01,25.78946685791016
score,60,0,25.247877,0.649524481236293,0.6529199718897849,sp2,128,0.01,25.85887336730957
score,70,0,25.046165,0.6599815016297472,0.662088499038153,sp2,128,0.01,25.39696502685547
score,80,0,24.874567,0.6620127180302592,0.6643545681713121,sp2,128,0.01,25.5490837097168
score,90,0,24.728083,0.6644102409729269,0.6660042708279263,sp2,128,0.01,24.59898376464844
score,100,0,24.60398,0.665172555436246,0.6654990406573068,sp2,128,0.01,25.27747917175293
score,110,0,24.494675,0.6692249726559767,0.6675345202920607,sp2,128,0.01,24.45547103881836
score,120,0,24.39432,0.6724384358075712,0.6695321047621865,sp2,128,0.01,24.15199279785156
score,130,0,24.308764,0.6720397591578502,0.6691845903845528,sp2,128,0.01,23.980131149291992
score,140,0,24.234829,0.6739646345745376,0.6692014772484209,sp2,128,0.01,24.008567810058597
score,150,0,24.16422,0.6739488733776435,0.6674978649902037,sp2,128,0.01,24.506986618041992
score,160,0,24.107618,0.6735163195736424,0.6665657355095334,sp2,128,0.01,23.371395111083984
score,170,0,24.054941,0.677256966504215,0.6701625911360907,sp2,128,0.01,24.78459930419922
score,180,0,24.005823,0.6761621284626004,0.668865105544693,sp2,128,0.01,22.91294860839844
score,190,0,23.956713,0.672863203203545,0.6663294765692688,sp2,128,0.01,23.99604797363281
score,200,0,23.916887,0.6765064886369696,0.6695460743098597,sp2,128,0.01,23.81291007995605
score,210,0,23.88027,0.6760124912825272,0.6681082529415329,sp2,128,0.01,24.475934982299805
score,220,0,23.847202,0.6738548085451845,0.6651056009576196,sp2,128,0.01,24.33258438110352
score,230,0,23.820847,0.6719211420226598,0.6629847004947964,sp2,128,0.01,23.620830535888672
score,240,0,23.794916,0.6699201921436735,0.6594837231371427,sp2,128,0.01,23.763370513916016
score,250,0,23.772339,0.670751830755881,0.6583078911133264,sp2,128,0.01,23.542896270751957
score,260,0,23.744528,0.6701422617564846,0.6576386453752946,sp2,128,0.01,23.849056243896484
score,270,0,23.722311,0.6691094324078295,0.6566370378492388,sp2,128,0.01,24.03700065612793
score,280,0,23.699158,0.6697386558081334,0.6554707196291486,sp2,128,0.01,23.954490661621094
score,290,0,23.681622,0.6701969235967088,0.6542534338398021,sp2,128,0.01,24.382179260253903
score,300,0,23.663721,0.668723188893507,0.6537323962895056,sp2,128,0.01,23.901058197021484
score,310,0,23.649662,0.6675311149419708,0.6528103979735491,sp2,128,0.01,23.423873901367188
score,320,0,23.635187,0.6622642692444318,0.6485484894945892,sp2,128,0.01,23.578033447265625
score,330,0,23.624205,0.6562362079718034,0.6416103544348524,sp2,128,0.01,24.27440643310547
score,340,0,23.608036,0.6510827047459524,0.6356730489494875,sp2,128,0.01,24.15038299560547
score,350,0,23.593935,0.6497557501134268,0.634963596016432,sp2,128,0.01,22.870332717895508
score,360,0,23.582888,0.6504625550227447,0.6355429691179669,sp2,128,0.01,23.19268798828125
score,370,0,23.575022,0.6531416445266583,0.6366932526023724,sp2,128,0.01,23.5745906829834
score,380,0,23.565119,0.653091095668094,0.6352051818699782,sp2,128,0.01,23.071916580200195
score,390,0,23.554138,0.6526381339398277,0.6342332714499225,sp2,128,0.01,24.433080673217773
score,400,0,23.548183,0.6547269634803804,0.6354300708027745,sp2,128,0.01,23.57541275024414
score,410,0,23.539768,0.6535715609989083,0.6330872736190241,sp2,128,0.01,23.03106117248535
score,420,1,23.534868,0.6531045021044958,0.6319990486126978,sp2,128,0.01,23.35134696960449
score,430,1,23.53024,0.6515391829165537,0.6287738772206352,sp2,128,0.01,23.21256446838379
score,440,1,23.524448,0.6520902910621319,0.6289308213332552,sp2,128,0.01,23.21966361999512
score,450,1,23.51546,0.6444501293597843,0.6202221808263437,sp2,128,0.01,23.015949249267575
score,460,1,23.505735,0.6442799272714129,0.6191388169414949,sp2,128,0.01,23.345346450805664
score,470,1,23.502409,0.6492193356733195,0.6236528631167947,sp2,128,0.01,23.032323837280277
score,480,1,23.502213,0.6521318918308262,0.6260932099706639,sp2,128,0.01,23.23360824584961
score,490,1,23.496265,0.6484926251886415,0.6227098997345233,sp2,128,0.01,23.324926376342773
score,500,1,23.492733,0.6440215315534099,0.6175093158100017,sp2,128,0.01,24.06603240966797
score,510,1,23.489489,0.6421638139059581,0.6140797979138053,sp2,128,0.01,22.96194267272949
score,520,1,23.479452,0.6457449964560036,0.6171406771968422,sp2,128,0.01,24.08953666687012
score,530,1,23.473688,0.6497961264066653,0.6219371013586117,sp2,128,0.01,24.07249641418457
score,540,1,23.474104,0.6497466764363306,0.6209395403675674,sp2,128,0.01,23.53961944580078
score,550,1,23.464283,0.6449073296569362,0.6156640205317401,sp2,128,0.01,23.588245391845703
score,560,1,23.461908,0.6406360452986637,0.6114316586623197,sp2,128,0.01,23.15212631225586
score,570,1,23.457203,0.6385123339060208,0.6076368193928874,sp2,128,0.01,22.63766288757324
score,580,1,23.453894,0.6378471297653971,0.6058996899260559,sp2,128,0.01,22.9931755065918
score,590,1,23.449284,0.6398889896833335,0.6065444701282874,sp2,128,0.01,22.45290756225586
score,600,1,23.449827,0.6434766399755308,0.6099411533596216,sp2,128,0.01,23.8565673828125
score,610,1,23.446762,0.6424271389225915,0.6082117660364951,sp2,128,0.01,22.790266036987305
score,620,1,23.444633,0.6387231006684698,0.6038010029917542,sp2,128,0.01,22.31645393371582
score,630,1,23.446526,0.6364027196795242,0.6028594648653244,sp2,128,0.01,23.035757064819336
score,640,1,23.439392,0.6362194979040517,0.602167385315975,sp2,128,0.01,23.72793960571289
score,650,1,23.432306,0.637420729735482,0.6032941784792443,sp2,128,0.01,23.839622497558597
score,660,1,23.435928,0.6376412295079653,0.6028590878777128,sp2,128,0.01,24.02717018127441
score,670,1,23.432087,0.637848856589758,0.6018623440645955,sp2,128,0.01,23.76946258544922
score,680,1,23.431854,0.6376326581797739,0.5995543629432265,sp2,128,0.01,23.912525177001957
score,690,1,23.42694,0.6373267590934428,0.6005335979966826,sp2,128,0.01,23.38389015197754
score,700,1,23.424421,0.6380062801778587,0.6009835238147709,sp2,128,0.01,23.05599021911621
score,710,1,23.42709,0.6359542476945963,0.5984027090337464,sp2,128,0.01,23.220067977905277
score,720,1,23.42173,0.6352671599797991,0.5975029898442625,sp2,128,0.01,22.798126220703125
score,730,1,23.420048,0.6370852862541765,0.5986356255341556,sp2,128,0.01,23.40396499633789
score,740,1,23.415392,0.6393220261504416,0.5989274728727108,sp2,128,0.01,23.62397766113281
score,750,1,23.415472,0.6375988124223003,0.5965748778942845,sp2,128,0.01,23.34822654724121
score,760,1,23.417402,0.6392693837413377,0.5977506160450206,sp2,128,0.01,23.490915298461918
score,770,1,23.414927,0.638711766421301,0.5970759017657752,sp2,128,0.01,22.26728057861328
score,780,1,23.412256,0.6352185577232414,0.593897118411642,sp2,128,0.01,23.179141998291016
score,790,1,23.410471,0.635262010903523,0.591729042538172,sp2,128,0.01,24.814706802368164
score,800,1,23.408543,0.6330721464394545,0.5888127964506609,sp2,128,0.01,22.94960594177246
score,810,1,23.404966,0.6305330866928064,0.584190792677837,sp2,128,0.01,24.443153381347656
score,820,1,23.407154,0.6283587950447925,0.5788399290037567,sp2,128,0.01,22.93475341796875
