step,epoch,mean_loss,good_scores,bad_scores,diff
0,0,40.21373,-56.11296081542969,-56.154144287109375,0.0411834716796875
1,0,40.24888,-56.11102294921875,-56.15445327758789,0.043430328369140625
2,0,38.80565,-56.10979080200195,-56.15454864501953,0.044757843017578125
3,0,31.860981,-56.108219146728516,-56.15485763549805,0.04663848876953125
4,0,34.699467,-56.10647964477539,-56.15505599975586,0.04857635498046875
5,0,38.7479,-56.104339599609375,-56.15534973144531,0.0510101318359375
6,0,33.27826,-56.102176666259766,-56.155670166015625,0.053493499755859375
7,0,40.09629,-56.10007858276367,-56.156063079833984,0.0559844970703125
8,0,37.39332,-56.097782135009766,-56.156471252441406,0.058689117431640625
9,0,37.354973,-56.095584869384766,-56.156951904296875,0.061367034912109375
10,0,27.743755,-56.093265533447266,-56.157447814941406,0.06418228149414062
11,0,30.41293,-56.091102600097656,-56.1579475402832,0.06684494018554688
12,0,27.716335,-56.088836669921875,-56.1584587097168,0.06962203979492188
13,0,27.676186,-56.08657455444336,-56.158931732177734,0.072357177734375
14,0,27.684757,-56.08437728881836,-56.15944290161133,0.07506561279296875
15,0,36.04036,-56.082061767578125,-56.15998458862305,0.07792282104492188
16,0,29.046833,-56.07978820800781,-56.160526275634766,0.08073806762695312
17,0,31.848442,-56.07749938964844,-56.16106033325195,0.08356094360351562
18,0,33.23302,-56.0753059387207,-56.16156768798828,0.08626174926757812
19,0,33.185165,-56.07307815551758,-56.16213607788086,0.08905792236328125
20,0,27.688616,-56.07091522216797,-56.162696838378906,0.0917816162109375
21,0,40.16404,-56.068729400634766,-56.163299560546875,0.09457015991210938
22,0,33.209908,-56.066558837890625,-56.16390609741211,0.09734725952148438
23,0,40.097313,-56.06434631347656,-56.16455078125,0.1002044677734375
24,0,35.895374,-56.06238555908203,-56.16518020629883,0.10279464721679688
25,0,27.648375,-56.0604362487793,-56.16585159301758,0.10541534423828125
26,0,33.247276,-56.058570861816406,-56.16653060913086,0.10795974731445312
27,0,40.10489,-56.05663299560547,-56.167213439941406,0.1105804443359375
28,0,40.13648,-56.0546760559082,-56.16791534423828,0.11323928833007812
29,0,29.032925,-56.05265808105469,-56.1685905456543,0.11593246459960938
30,0,34.541958,-56.05055618286133,-56.169288635253906,0.11873245239257812
31,0,40.13691,-56.04834747314453,-56.16994857788086,0.12160110473632812
32,0,31.831484,-56.04622268676758,-56.17060852050781,0.12438583374023438
33,0,36.033005,-56.04405212402344,-56.17127990722656,0.127227783203125
34,0,40.16326,-56.04185104370117,-56.17198181152344,0.13013076782226562
35,0,30.49321,-56.039649963378906,-56.17262649536133,0.13297653198242188
36,0,27.676311,-56.03742980957031,-56.17326354980469,0.135833740234375
37,0,33.22233,-56.03504180908203,-56.173866271972656,0.138824462890625
38,0,40.014446,-56.0325927734375,-56.174522399902344,0.14192962646484375
39,0,33.217003,-56.03022766113281,-56.1751708984375,0.1449432373046875
