['a', 'b', 'a', 'b', 'a', 'b', 'a', 'c', 'b', 'd', 'a', 'd', 'c', 'b', 'a', 'b', 'a', 'b', 'c', 'c']
['a', 'a', 'a', 'a', 'a', 'a', 'c', 'b', 'd', 'b', 'c', 'b', 'b', 'b', 'd', 'b', 'd', 'c', 'c', 'c']
['a', 'b', 'a', 'b', 'a', 'b', 'c', 'd', 'a', 'b', 'd', 'b', 'd', 'c', 'd', 'b', 'b', 'b', 'd', 'd', 'c', 'd', 'd', 'd', 'b', 'd', 'a', 'c', 'c', 'a', 'd']
['a', 'a', 'a', 'a', 'a', 'c', 'a', 'c', 'b', 'c', 'a', 'b', 'a', 'd', 'd', 'c', 'a', 'a', 'c', 'd', 'c', 'b', 'a', 'a', 'a', 'c', 'a', 'b', 'b', 'a', 'b']
step,epoch,mean_loss,good_scores,bad_scores,diff
0,0,27.724358,-56.1014404296875,-56.15998458862305,0.058544158935546875
1,0,30.509495,-56.071075439453125,-56.168460845947266,0.09738540649414062
2,0,40.138165,-56.041046142578125,-56.178192138671875,0.13714599609375
3,0,37.413864,-56.01869201660156,-56.18689727783203,0.16820526123046875
4,0,27.705885,-55.995941162109375,-56.194740295410156,0.19879913330078125
5,0,27.680635,-55.9768180847168,-56.201786041259766,0.22496795654296875
6,0,28.870518,-55.95819854736328,-56.210052490234375,0.25185394287109375
7,0,33.19615,-55.93810272216797,-56.21814727783203,0.2800445556640625
8,0,33.22896,-55.917396545410156,-56.22660446166992,0.3092079162597656
9,0,36.048542,-55.89551544189453,-56.2355842590332,0.3400688171386719
10,0,37.16797,-55.875301361083984,-56.24576950073242,0.3704681396484375
11,0,35.727776,-55.855220794677734,-56.256622314453125,0.4014015197753906
12,0,32.97783,-55.83675003051758,-56.26852035522461,0.43177032470703125
13,0,37.21106,-55.818389892578125,-56.28099822998047,0.46260833740234375
14,0,31.642467,-55.79996871948242,-56.29378890991211,0.4938201904296875
15,0,37.610676,-55.78092575073242,-56.305152893066406,0.5242271423339844
16,0,40.024673,-55.76044464111328,-56.3166618347168,0.5562171936035156
17,0,31.98435,-55.738826751708984,-56.327171325683594,0.5883445739746094
18,0,32.852318,-55.71784591674805,-56.338531494140625,0.6206855773925781
19,0,34.202095,-55.69810485839844,-56.35036087036133,0.6522560119628906
20,0,28.87494,-55.67803955078125,-56.36239242553711,0.6843528747558594
21,0,34.922688,-55.65690231323242,-56.37335968017578,0.7164573669433594
22,0,35.690247,-55.6376838684082,-56.38490295410156,0.7472190856933594
23,0,35.73188,-55.61857986450195,-56.39669418334961,0.7781143188476562
24,0,35.43872,-55.60144805908203,-56.40950012207031,0.8080520629882812
25,0,31.074568,-55.58595657348633,-56.42360305786133,0.837646484375
26,0,28.918015,-55.57168960571289,-56.4372673034668,0.8655776977539062
27,0,29.85787,-55.55714797973633,-56.45146560668945,0.894317626953125
28,0,36.677998,-55.54509735107422,-56.46601104736328,0.9209136962890625
29,0,39.713474,-55.533363342285156,-56.480003356933594,0.9466400146484375
30,0,37.543198,-55.52012634277344,-56.49348449707031,0.973358154296875
31,0,30.158176,-55.5069465637207,-56.50753402709961,1.0005874633789062
32,0,29.660316,-55.49502182006836,-56.52230453491211,1.02728271484375
33,0,37.361946,-55.48215103149414,-56.536834716796875,1.0546836853027344
34,0,28.435162,-55.47072219848633,-56.55231857299805,1.0815963745117188
35,0,27.547874,-55.4578971862793,-56.566829681396484,1.1089324951171875
36,0,36.927048,-55.44477081298828,-56.581661224365234,1.1368904113769531
37,0,33.252422,-55.43080520629883,-56.59617233276367,1.1653671264648438
38,0,39.620342,-55.41631317138672,-56.61080551147461,1.1944923400878906
39,0,27.50746,-55.402076721191406,-56.625118255615234,1.2230415344238281
40,0,36.95261,-55.38763427734375,-56.639495849609375,1.251861572265625
41,0,33.016037,-55.37274169921875,-56.65367126464844,1.2809295654296875
42,0,31.545855,-55.35749816894531,-56.6677360534668,1.3102378845214844
43,0,35.68125,-55.34251403808594,-56.681671142578125,1.3391571044921875
44,0,32.749943,-55.327213287353516,-56.695491790771484,1.3682785034179688
45,0,31.507706,-55.31196594238281,-56.70915222167969,1.397186279296875
46,0,30.252096,-55.296852111816406,-56.72228240966797,1.4254302978515625
47,0,39.93345,-55.281219482421875,-56.73508071899414,1.4538612365722656
48,0,27.403522,-55.266822814941406,-56.748207092285156,1.48138427734375
49,0,27.294703,-55.25263595581055,-56.761287689208984,1.5086517333984375
50,0,38.429,-55.238494873046875,-56.77450180053711,1.5360069274902344
51,0,38.21042,-55.22392272949219,-56.78831100463867,1.5643882751464844
52,0,33.98416,-55.21031951904297,-56.80243682861328,1.5921173095703125
53,0,36.519196,-55.197959899902344,-56.817935943603516,1.6199760437011719
54,0,38.238472,-55.1859016418457,-56.833560943603516,1.6476593017578125
55,0,35.25682,-55.17506408691406,-56.84989929199219,1.674835205078125
56,0,39.17758,-55.16554641723633,-56.86709213256836,1.7015457153320312
57,0,38.28076,-55.155391693115234,-56.88447570800781,1.7290840148925781
58,0,35.646507,-55.14471435546875,-56.90202331542969,1.7573089599609375
59,0,29.919542,-55.133968353271484,-56.91912841796875,1.7851600646972656
60,0,35.61181,-55.12313461303711,-56.9360237121582,1.8128890991210938
61,0,39.268158,-55.112850189208984,-56.95340347290039,1.8405532836914062
62,0,38.16582,-55.101436614990234,-56.97063064575195,1.8691940307617188
63,0,31.350235,-55.091026306152344,-56.988277435302734,1.8972511291503906
64,0,37.90806,-55.080223083496094,-57.0061149597168,1.9258918762207031
65,0,35.52997,-55.06970977783203,-57.02424240112305,1.9545326232910156
66,0,39.57204,-55.05960464477539,-57.042327880859375,1.9827232360839844
67,0,31.194223,-55.050254821777344,-57.06051254272461,2.0102577209472656
68,0,33.744606,-55.04116439819336,-57.079673767089844,2.0385093688964844
69,0,28.165226,-55.0333137512207,-57.099246978759766,2.0659332275390625
70,0,35.40972,-55.02626037597656,-57.11836242675781,2.09210205078125
71,0,40.040756,-55.01845169067383,-57.1353874206543,2.1169357299804688
72,0,36.33364,-55.01195526123047,-57.152626037597656,2.1406707763671875
73,0,35.562946,-55.005104064941406,-57.16929626464844,2.1641921997070312
74,0,27.264412,-54.99930953979492,-57.18568420410156,2.1863746643066406
75,0,36.906666,-54.99232864379883,-57.20145797729492,2.2091293334960938
76,0,35.481804,-54.986000061035156,-57.21654510498047,2.2305450439453125
77,0,34.046837,-54.979530334472656,-57.23146438598633,2.251934051513672
78,0,34.39655,-54.9722785949707,-57.24564743041992,2.2733688354492188
79,0,34.68062,-54.965885162353516,-57.261932373046875,2.2960472106933594
